,L2 Norm
0,0.054674308408977614
1,0.0697945556615987
2,0.05341818250579312
3,0.046816450100365344
4,0.04003098799680065
5,0.03798906275349377
6,0.031140471730399903
7,0.018259381150520955
8,0.015038912490233076
9,0.016089748288895003
10,0.011819887988729641
11,0.016875425920550857
12,0.015251407928023628
13,0.01807056463208741
14,0.019848089748554305
15,0.017599680394825346
16,0.018524454985935516
17,0.01773664686391733
18,0.02080366471018894
19,0.02011914511106274
20,0.021116375522156804
21,0.018923482285725896
22,0.017071689163303913
23,0.016223337100198177
24,0.018168103918681205
25,0.01716183325609647
26,0.016508181452530857
27,0.01695836438012167
28,0.01675516070427022
29,0.017254693403374165
30,0.015414970357877264
31,0.013947121118711195
32,0.012931759865661752
33,0.011673457901460158
34,0.012344312083560027
35,0.014257629536497281
36,0.012773074767125333
37,0.012584460364246033
38,0.011733028505991939
39,0.011609478885807052
40,0.010699721735222075
41,0.010854268625397576
42,0.009976519756786158
43,0.009832220602868452
44,0.010047836202172034
45,0.009330532030774863
46,0.009374061474072588
47,0.008934297211681876
48,0.008602453085237664
49,0.008392854103342895
50,0.007403441742511106
51,0.007410938660812088
52,0.006646104756710202
53,0.007118738193704516
54,0.006302878786057635
55,0.005826084903785935
56,0.004786957760884634
57,0.0045483895831643344
58,0.005408125861844068
59,0.005737982611026664
60,0.005989978193034039
61,0.006666586194450141
62,0.006164175305200812
63,0.0061609848543069685
64,0.006620892161767277
65,0.006066430534562341
66,0.0063853376820206436
67,0.005849738999885546
68,0.005662237046997542
69,0.005959591822757453
70,0.006533852457085806
71,0.006300529078312918
72,0.0062171126858249414
73,0.005537000846882584
74,0.005971785513748984
75,0.006350688666388572
76,0.0055820157936411164
77,0.0053623397603524735
78,0.004914400749023201
79,0.004230691432851145
80,0.004875184683404551
81,0.004343770283250106
82,0.004497348777880459
83,0.004361234092753039
84,0.0046185724063464205
85,0.003570560475506378
86,0.003655178197060439
87,0.002979274136457648
88,0.00255570139986011
89,0.0017842936147685286
90,0.0018606079904026115
91,0.0015856874020001711
92,0.002004640240812828
93,0.0017283249950069462
94,0.0017380219278267462
95,0.0018772116585806411
96,0.0016217225588296366
97,0.0012660103372777337
98,0.0006493999019319947
99,0.0
