,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1,4,6,3,4.0,25.0
1,1,12,4,11,12.0,8.333333333333332
2,1,4,6,3,4.0,25.0
3,1,4,6,3,4.0,25.0
4,1,16,4,15,16.0,6.25
5,2,16,4,14,8.0,12.5
6,2,12,4,10,6.0,16.666666666666664
7,1,4,6,3,4.0,25.0
8,2,28,3,26,14.0,7.142857142857142
9,2,12,4,10,6.0,16.666666666666664
10,2,49,2,47,24.5,4.081632653061225
11,1,225,0,224,225.0,0.4444444444444444
12,2,9,4,7,4.5,22.22222222222222
13,1,28,3,27,28.0,3.571428571428571
14,1,105,1,104,105.0,0.9523809523809524
15,2,49,2,47,24.5,4.081632653061225
16,1,12,4,11,12.0,8.333333333333332
17,1,8,5,7,8.0,12.5
18,1,225,0,224,225.0,0.4444444444444444
19,1,12,4,11,12.0,8.333333333333332
20,1,120,1,119,120.0,0.8333333333333334
21,1,225,0,224,225.0,0.4444444444444444
22,1,8,5,7,8.0,12.5
23,1,16,4,15,16.0,6.25
24,1,225,0,224,225.0,0.4444444444444444
25,1,49,2,48,49.0,2.0408163265306123
26,1,4,6,3,4.0,25.0
27,1,56,2,55,56.0,1.7857142857142856
28,1,4,6,3,4.0,25.0
29,2,12,4,10,6.0,16.666666666666664
30,2,225,0,223,112.5,0.8888888888888888
31,2,9,4,7,4.5,22.22222222222222
32,2,105,1,103,52.5,1.9047619047619049
33,2,16,4,14,8.0,12.5
34,1,6,5,5,6.0,16.666666666666664
35,2,16,4,14,8.0,12.5
36,1,225,0,224,225.0,0.4444444444444444
37,2,6,5,4,3.0,33.33333333333333
38,2,32,3,30,16.0,6.25
39,4,12,4,8,3.0,33.33333333333333
40,2,8,5,6,4.0,25.0
41,1,4,6,3,4.0,25.0
42,2,225,0,223,112.5,0.8888888888888888
43,1,12,4,11,12.0,8.333333333333332
44,2,105,1,103,52.5,1.9047619047619049
45,1,8,5,7,8.0,12.5
46,4,16,4,12,4.0,25.0
47,2,64,2,62,32.0,3.125
48,1,16,4,15,16.0,6.25
49,1,64,2,63,64.0,1.5625
50,1,16,4,15,16.0,6.25
51,1,64,2,63,64.0,1.5625
52,2,12,4,10,6.0,16.666666666666664
53,1,4,6,3,4.0,25.0
54,1,4,6,3,4.0,25.0
55,1,225,0,224,225.0,0.4444444444444444
56,1,120,1,119,120.0,0.8333333333333334
57,2,28,3,26,14.0,7.142857142857142
58,1,16,4,15,16.0,6.25
