SRC Query,Depth,BBoxes,Data Size
"[[(0.8530204106137744, 1.1730204106137745), (8.785257037364445, 9.105257037364446)]]",4,"[[0, 3], [8, 11]]",16
"[[(3.9870490050746064, 4.307049005074607), (7.060516691124728, 7.380516691124728)]]",1,"[[0, 7], (0, 15)]",128
"[[(10.25543522180753, 10.575435221807531), (7.7423017772150065, 8.062301777215007)]]",1,"[[8, 15], (0, 15)]",128
"[[(1.0637751940003464, 1.3837751940003464), (5.03968909547705, 5.359689095477051)]]",4,"[[0, 3], [4, 7]]",16
"[[(14.384116054182996, 14.704116054182997), (8.527677510635705, 8.847677510635705)]]",6,"[[14, 15], [8, 9]]",4
"[[(6.584470972186082, 6.904470972186083), (14.917204116181031, 15.0)]]",6,"[[6, 7], [14, 15]]",4
"[[(6.564331008254733, 6.884331008254733), (2.900648547712936, 3.2206485477129356)]]",3,"[[4, 7], [0, 7]]",32
"[[(2.189393751856219, 2.509393751856219), (0.0, 0.25066070154762343)]]",6,"[[2, 3], [0, 1]]",4
"[[(3.2569205546852844, 3.5769205546852842), (1.9113585207826937, 2.2313585207826936)]]",2,"[[0, 7], [0, 7]]",64
"[[(12.675882580262412, 12.995882580262412), (0.25222107460940624, 0.5722210746094063)]]",6,"[[12, 13], [0, 1]]",4
"[[(5.953140581485511, 6.273140581485511), (0.6174753986750081, 0.9374753986750082)]]",4,"[[4, 7], [0, 3]]",16
"[[(8.421197596163507, 8.741197596163508), (13.87657621179634, 14.19657621179634)]]",5,"[[8, 9], [12, 15]]",8
"[[(9.465420645433117, 9.785420645433117), (5.468671486656914, 5.788671486656915)]]",4,"[[8, 11], [4, 7]]",16
"[[(6.91171270694226, 7.23171270694226), (1.7873973856546859, 2.1073973856546857)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.086837043431923, 0.406837043431923), (6.833935808454909, 7.153935808454909)]]",1,"[[0, 7], (0, 15)]",128
"[[(2.6524473217606337, 2.9724473217606335), (15.090147349412558, 15.0)]]",6,"[[2, 3], [14, 15]]",4
"[[(12.956937742438095, 13.276937742438095), (10.537757826218778, 10.857757826218778)]]",4,"[[12, 15], [8, 11]]",16
"[[(3.163186962598884, 3.483186962598884), (15.098411576173577, 15.0)]]",2,"[[0, 7], [8, 15]]",64
"[[(6.083183967721938, 6.403183967721938), (11.002751004698172, 11.322751004698173)]]",3,"[[4, 7], [8, 15]]",32
"[[(2.0123400823122686, 2.3323400823122684), (12.819564916629536, 13.139564916629537)]]",5,"[[2, 3], [12, 15]]",8
"[[(4.068701488359215, 4.3887014883592155), (1.4443571273491778, 1.7643571273491778)]]",5,"[[4, 5], [0, 3]]",8
"[[(13.89063813078062, 14.21063813078062), (6.426490746678032, 6.746490746678032)]]",4,"[[12, 15], [4, 7]]",16
"[[(6.7076390133128845, 7.027639013312885), (6.032572091355589, 6.352572091355589)]]",0,"[(0, 15), (0, 15)]",256
