,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1,64,2,63,64.0,1.5625
1,1,64,2,63,64.0,1.5625
2,1,64,2,63,64.0,1.5625
3,0,32,3,32,inf,0.0
4,1,64,2,63,64.0,1.5625
5,1,256,0,255,256.0,0.390625
6,1,16,4,15,16.0,6.25
7,1,64,2,63,64.0,1.5625
8,1,64,2,63,64.0,1.5625
9,1,256,0,255,256.0,0.390625
10,1,64,2,63,64.0,1.5625
11,1,16,4,15,16.0,6.25
12,1,64,2,63,64.0,1.5625
13,1,8,5,7,8.0,12.5
14,1,32,3,31,32.0,3.125
15,1,8,5,7,8.0,12.5
16,1,64,2,63,64.0,1.5625
17,1,256,0,255,256.0,0.390625
18,1,64,2,63,64.0,1.5625
19,1,256,0,255,256.0,0.390625
20,1,16,4,15,16.0,6.25
21,1,256,0,255,256.0,0.390625
22,1,16,4,15,16.0,6.25
23,1,32,3,31,32.0,3.125
24,0,64,2,64,inf,0.0
25,1,128,1,127,128.0,0.78125
26,1,256,0,255,256.0,0.390625
27,1,64,2,63,64.0,1.5625
28,1,16,4,15,16.0,6.25
29,1,256,0,255,256.0,0.390625
30,1,32,3,31,32.0,3.125
31,0,256,0,256,inf,0.0
32,1,64,2,63,64.0,1.5625
33,1,64,2,63,64.0,1.5625
34,0,32,3,32,inf,0.0
35,1,64,2,63,64.0,1.5625
36,1,16,4,15,16.0,6.25
37,0,16,4,16,inf,0.0
38,1,16,4,15,16.0,6.25
39,1,64,2,63,64.0,1.5625
40,1,16,4,15,16.0,6.25
41,1,16,4,15,16.0,6.25
42,1,16,4,15,16.0,6.25
43,1,64,2,63,64.0,1.5625
44,0,128,1,128,inf,0.0
45,1,128,1,127,128.0,0.78125
46,0,8,5,8,inf,0.0
47,0,64,2,64,inf,0.0
48,1,256,0,255,256.0,0.390625
49,1,32,3,31,32.0,3.125
50,1,256,0,255,256.0,0.390625
51,0,32,3,32,inf,0.0
52,1,32,3,31,32.0,3.125
53,1,16,4,15,16.0,6.25
54,1,64,2,63,64.0,1.5625
55,1,64,2,63,64.0,1.5625
56,1,16,4,15,16.0,6.25
57,1,64,2,63,64.0,1.5625
58,1,32,3,31,32.0,3.125
59,1,32,3,31,32.0,3.125
60,1,64,2,63,64.0,1.5625
61,1,64,2,63,64.0,1.5625
62,1,16,4,15,16.0,6.25
63,1,16,4,15,16.0,6.25
64,1,16,4,15,16.0,6.25
65,1,256,0,255,256.0,0.390625
66,1,16,4,15,16.0,6.25
67,1,16,4,15,16.0,6.25
68,1,128,1,127,128.0,0.78125
69,1,256,0,255,256.0,0.390625
70,1,32,3,31,32.0,3.125
71,1,64,2,63,64.0,1.5625
72,1,64,2,63,64.0,1.5625
73,1,256,0,255,256.0,0.390625
74,1,16,4,15,16.0,6.25
75,1,64,2,63,64.0,1.5625
76,1,64,2,63,64.0,1.5625
77,1,16,4,15,16.0,6.25
78,1,32,3,31,32.0,3.125
79,1,16,4,15,16.0,6.25
80,1,128,1,127,128.0,0.78125
81,1,8,5,7,8.0,12.5
82,1,256,0,255,256.0,0.390625
83,1,128,1,127,128.0,0.78125
84,1,4,6,3,4.0,25.0
85,1,32,3,31,32.0,3.125
86,0,16,4,16,inf,0.0
87,1,16,4,15,16.0,6.25
88,1,16,4,15,16.0,6.25
89,1,256,0,255,256.0,0.390625
90,0,16,4,16,inf,0.0
91,1,16,4,15,16.0,6.25
92,1,64,2,63,64.0,1.5625
93,0,8,5,8,inf,0.0
94,1,16,4,15,16.0,6.25
95,1,8,5,7,8.0,12.5
96,1,16,4,15,16.0,6.25
97,1,64,2,63,64.0,1.5625
98,1,16,4,15,16.0,6.25
99,1,16,4,15,16.0,6.25
100,1,16,4,15,16.0,6.25
101,1,64,2,63,64.0,1.5625
102,1,64,2,63,64.0,1.5625
103,1,16,4,15,16.0,6.25
104,1,256,0,255,256.0,0.390625
105,1,16,4,15,16.0,6.25
106,1,16,4,15,16.0,6.25
107,1,16,4,15,16.0,6.25
108,1,16,4,15,16.0,6.25
109,1,256,0,255,256.0,0.390625
110,1,128,1,127,128.0,0.78125
111,1,64,2,63,64.0,1.5625
112,1,16,4,15,16.0,6.25
113,1,64,2,63,64.0,1.5625
114,1,64,2,63,64.0,1.5625
115,1,32,3,31,32.0,3.125
116,1,128,1,127,128.0,0.78125
117,1,256,0,255,256.0,0.390625
118,1,8,5,7,8.0,12.5
119,1,64,2,63,64.0,1.5625
120,1,8,5,7,8.0,12.5
121,1,256,0,255,256.0,0.390625
122,1,256,0,255,256.0,0.390625
123,1,128,1,127,128.0,0.78125
124,1,32,3,31,32.0,3.125
125,1,8,5,7,8.0,12.5
126,1,64,2,63,64.0,1.5625
127,1,64,2,63,64.0,1.5625
128,1,64,2,63,64.0,1.5625
129,1,128,1,127,128.0,0.78125
130,1,128,1,127,128.0,0.78125
131,1,16,4,15,16.0,6.25
132,1,8,5,7,8.0,12.5
133,1,16,4,15,16.0,6.25
134,1,32,3,31,32.0,3.125
135,1,16,4,15,16.0,6.25
136,1,16,4,15,16.0,6.25
137,1,128,1,127,128.0,0.78125
138,1,16,4,15,16.0,6.25
139,1,64,2,63,64.0,1.5625
140,1,8,5,7,8.0,12.5
141,1,64,2,63,64.0,1.5625
142,1,32,3,31,32.0,3.125
143,1,256,0,255,256.0,0.390625
144,1,128,1,127,128.0,0.78125
145,1,128,1,127,128.0,0.78125
146,0,128,1,128,inf,0.0
147,1,4,6,3,4.0,25.0
148,1,16,4,15,16.0,6.25
149,1,64,2,63,64.0,1.5625
150,1,256,0,255,256.0,0.390625
151,1,128,1,127,128.0,0.78125
152,1,64,2,63,64.0,1.5625
153,1,256,0,255,256.0,0.390625
154,1,128,1,127,128.0,0.78125
155,1,32,3,31,32.0,3.125
156,0,128,1,128,inf,0.0
157,1,128,1,127,128.0,0.78125
158,1,64,2,63,64.0,1.5625
159,1,256,0,255,256.0,0.390625
160,1,256,0,255,256.0,0.390625
161,1,16,4,15,16.0,6.25
162,1,64,2,63,64.0,1.5625
163,1,16,4,15,16.0,6.25
164,1,64,2,63,64.0,1.5625
165,1,16,4,15,16.0,6.25
166,1,32,3,31,32.0,3.125
167,1,256,0,255,256.0,0.390625
168,1,16,4,15,16.0,6.25
169,1,64,2,63,64.0,1.5625
170,1,32,3,31,32.0,3.125
171,1,128,1,127,128.0,0.78125
172,1,16,4,15,16.0,6.25
173,1,256,0,255,256.0,0.390625
174,1,16,4,15,16.0,6.25
175,1,32,3,31,32.0,3.125
176,1,16,4,15,16.0,6.25
177,1,32,3,31,32.0,3.125
178,1,64,2,63,64.0,1.5625
179,1,8,5,7,8.0,12.5
180,1,16,4,15,16.0,6.25
181,1,64,2,63,64.0,1.5625
182,1,128,1,127,128.0,0.78125
183,1,128,1,127,128.0,0.78125
184,1,32,3,31,32.0,3.125
185,1,16,4,15,16.0,6.25
186,1,64,2,63,64.0,1.5625
187,1,32,3,31,32.0,3.125
188,1,64,2,63,64.0,1.5625
189,1,256,0,255,256.0,0.390625
190,0,16,4,16,inf,0.0
191,1,32,3,31,32.0,3.125
192,1,256,0,255,256.0,0.390625
