BRC Query,Data Size
"[[(0.805619, 3.685619), (9.570102, 12.450102)]]",9
"[[(4.671351, 7.551351), (1.5423, 4.4223)]]",9
"[[(7.252547, 10.132547), (1.075568, 3.955568)]]",6
"[[(1.258675, 4.138675), (4.5211, 7.4011)]]",9
"[[(9.369923, 12.249923), (8.098082, 10.978082)]]",6
"[[(9.917688, 12.797688), (3.173754, 6.053754)]]",9
"[[(2.522898, 5.402898), (0.875868, 3.755868)]]",9
"[[(6.222805, 9.102805), (10.757954, 13.637954)]]",9
"[[(3.50169, 6.38169), (5.031174, 7.911174)]]",6
"[[(7.791497, 10.671497), (3.030878, 5.910878)]]",6
"[[(1.541951, 4.421951), (2.811155, 5.691155)]]",9
"[[(5.224706, 8.104706), (8.967246, 11.847246)]]",9
"[[(2.625505, 5.505505), (6.990299, 9.870299)]]",9
"[[(9.652583, 12.532583), (3.452536, 6.332536)]]",9
"[[(1.034069, 3.914069), (11.190145, 14.070145)]]",6
"[[(2.045288, 4.925288), (12.116375, 14.996375)]]",4
"[[(12.091159, 14.971159), (10.553355, 13.433355)]]",6
"[[(2.709262, 5.589262), (5.427896, 8.307896)]]",9
"[[(4.311346, 7.191346), (7.472858, 10.352858)]]",9
"[[(10.994766, 13.874766), (7.258239, 10.138239)]]",9
"[[(7.815966, 10.695966), (2.803011, 5.683011)]]",9
"[[(11.817952, 14.697952), (7.059652, 9.939652)]]",6
"[[(10.908233, 13.788233), (4.210802, 7.090802)]]",9
"[[(8.671713, 11.551713), (0.197407, 3.077407)]]",9
"[[(11.972134, 14.852134), (0.818475, 3.698475)]]",9
"[[(8.095265, 10.975265), (2.767265, 5.647265)]]",6
"[[(5.984818, 8.864818), (6.474691, 9.354691)]]",9
"[[(11.08159, 13.96159), (10.42052, 13.30052)]]",6
"[[(3.551047, 6.431047), (1.513615, 4.393615)]]",9
"[[(6.437886, 9.317886), (11.632793, 14.512793)]]",9
"[[(4.694399, 7.574399), (4.716711, 7.596711)]]",9
"[[(11.403888, 14.283888), (4.906544, 7.786544)]]",9
"[[(12.110061, 14.990061), (3.143033, 6.023033)]]",6
"[[(7.262973, 10.142973), (8.986143, 11.866143)]]",9
