BRC Query,Data Size
"[[(6.68, 10.84), (5.95, 10.11)]]",20
"[[(1.57, 5.73), (1.57, 5.73)]]",16
"[[(10.49, 14.65), (4.33, 8.49)]]",16
"[[(2.08, 6.24), (2.71, 6.87)]]",16
"[[(2.91, 7.07), (8.08, 12.24)]]",20
"[[(5.18, 9.34), (8.27, 12.43)]]",16
"[[(10.4, 14.56), (4.9, 9.06)]]",20
"[[(3.42, 7.58), (3.94, 8.1)]]",20
"[[(7.12, 11.28), (0.7, 4.86)]]",16
"[[(5.76, 9.92), (10.66, 14.82)]]",16
"[[(3.42, 7.58), (5.14, 9.3)]]",16
"[[(7.73, 11.89), (3.56, 7.72)]]",16
"[[(2.16, 6.32), (9.65, 13.81)]]",16
"[[(4.23, 8.39), (2.21, 6.37)]]",16
"[[(5.5, 9.66), (10.39, 14.55)]]",16
"[[(0.65, 4.81), (8.62, 12.78)]]",16
"[[(7.47, 11.63), (2.9, 7.06)]]",20
"[[(3.7, 7.86), (0.11, 4.27)]]",16
"[[(6.39, 10.55), (2.79, 6.95)]]",16
"[[(4.32, 8.48), (3.43, 7.59)]]",16
"[[(8.97, 13.13), (8.24, 12.4)]]",20
"[[(8.66, 12.82), (8.58, 12.74)]]",16
"[[(9.0, 13.16), (0.44, 4.6)]]",20
"[[(7.61, 11.77), (10.37, 14.53)]]",16
"[[(10.19, 14.35), (4.22, 8.38)]]",16
"[[(4.79, 8.95), (3.53, 7.69)]]",16
"[[(4.61, 8.77), (2.73, 6.89)]]",16
"[[(0.69, 4.85), (7.18, 11.34)]]",16
"[[(6.0, 10.16), (6.84, 11.0)]]",25
"[[(4.55, 8.71), (0.01, 4.17)]]",16
"[[(8.38, 12.54), (4.85, 9.01)]]",20
"[[(9.69, 13.85), (8.23, 12.39)]]",16
"[[(1.94, 6.1), (1.96, 6.12)]]",25
"[[(5.86, 10.02), (6.14, 10.3)]]",20
"[[(6.42, 10.58), (6.96, 11.12)]]",20
"[[(6.95, 11.11), (4.05, 8.21)]]",20
"[[(9.58, 13.74), (10.41, 14.57)]]",16
"[[(7.08, 11.24), (3.03, 7.19)]]",16
"[[(8.93, 13.09), (4.67, 8.83)]]",20
"[[(7.93, 12.09), (1.43, 5.59)]]",20
"[[(4.83, 8.99), (6.5, 10.66)]]",16
"[[(9.52, 13.68), (7.39, 11.55)]]",16
"[[(4.58, 8.74), (4.63, 8.79)]]",16
"[[(6.49, 10.65), (3.07, 7.23)]]",16
"[[(5.13, 9.29), (6.87, 11.03)]]",20
"[[(0.43, 4.59), (3.27, 7.43)]]",16
"[[(8.8, 12.96), (0.28, 4.44)]]",16
"[[(7.03, 11.19), (7.05, 11.21)]]",16
"[[(4.94, 9.1), (0.58, 4.74)]]",20
"[[(6.04, 10.2), (4.14, 8.3)]]",16
"[[(8.29, 12.45), (10.21, 14.37)]]",16
"[[(8.47, 12.63), (7.42, 11.58)]]",16
"[[(1.71, 5.87), (10.61, 14.77)]]",16
"[[(5.66, 9.82), (3.48, 7.64)]]",16
"[[(5.64, 9.8), (5.99, 10.15)]]",20
"[[(4.59, 8.75), (9.0, 13.16)]]",20
"[[(8.2, 12.36), (3.19, 7.35)]]",16
"[[(9.29, 13.45), (9.92, 14.08)]]",20
"[[(5.38, 9.54), (3.26, 7.42)]]",16
"[[(10.77, 14.93), (1.82, 5.98)]]",16
"[[(0.66, 4.82), (0.5, 4.66)]]",16
"[[(2.41, 6.57), (7.99, 12.15)]]",20
"[[(3.16, 7.32), (0.86, 5.02)]]",20
"[[(1.15, 5.31), (3.54, 7.7)]]",16
"[[(4.2, 8.36), (9.53, 13.69)]]",16
"[[(2.25, 6.41), (6.05, 10.21)]]",16
"[[(9.15, 13.31), (5.87, 10.03)]]",20
"[[(9.53, 13.69), (10.38, 14.54)]]",16
"[[(0.53, 4.69), (3.06, 7.22)]]",16
"[[(2.31, 6.47), (1.31, 5.47)]]",16
"[[(2.36, 6.52), (7.86, 12.02)]]",20
"[[(10.81, 14.97), (5.84, 10.0)]]",20
"[[(7.35, 11.51), (1.48, 5.64)]]",16
"[[(5.55, 9.71), (0.6, 4.76)]]",16
"[[(5.81, 9.97), (5.78, 9.94)]]",16
"[[(10.4, 14.56), (2.51, 6.67)]]",16
"[[(6.52, 10.68), (5.62, 9.78)]]",16
"[[(10.25, 14.41), (0.25, 4.41)]]",16
"[[(6.03, 10.19), (1.42, 5.58)]]",16
"[[(8.6, 12.76), (6.75, 10.91)]]",16
"[[(5.9, 10.06), (10.5, 14.66)]]",20
"[[(0.62, 4.78), (8.19, 12.35)]]",16
"[[(1.26, 5.42), (3.72, 7.88)]]",16
"[[(8.27, 12.43), (5.96, 10.12)]]",20
"[[(8.86, 13.02), (0.31, 4.47)]]",20
"[[(5.86, 10.02), (1.63, 5.79)]]",20
"[[(7.73, 11.89), (7.97, 12.13)]]",20
"[[(7.47, 11.63), (0.99, 5.15)]]",20
"[[(1.73, 5.89), (10.22, 14.38)]]",16
"[[(4.07, 8.23), (3.62, 7.78)]]",16
"[[(0.32, 4.48), (4.55, 8.71)]]",16
"[[(9.9, 14.06), (8.93, 13.09)]]",25
"[[(1.97, 6.13), (6.56, 10.72)]]",20
"[[(8.12, 12.28), (0.73, 4.89)]]",16
"[[(8.76, 12.92), (10.17, 14.33)]]",16
"[[(5.9, 10.06), (4.82, 8.98)]]",20
"[[(10.24, 14.4), (9.26, 13.42)]]",16
"[[(7.16, 11.32), (9.33, 13.49)]]",16
"[[(0.82, 4.98), (1.38, 5.54)]]",16
"[[(9.12, 13.28), (2.88, 7.04)]]",20
"[[(4.76, 8.92), (9.1, 13.26)]]",16
"[[(7.06, 11.22), (7.5, 11.66)]]",16
"[[(7.61, 11.77), (2.47, 6.63)]]",16
"[[(10.63, 14.79), (5.35, 9.51)]]",16
"[[(9.15, 13.31), (6.49, 10.65)]]",16
"[[(0.34, 4.5), (3.47, 7.63)]]",16
"[[(2.85, 7.01), (6.31, 10.47)]]",20
"[[(4.2, 8.36), (3.51, 7.67)]]",16
"[[(10.35, 14.51), (2.27, 6.43)]]",16
"[[(7.66, 11.82), (6.7, 10.86)]]",16
"[[(0.87, 5.03), (10.22, 14.38)]]",20
"[[(10.57, 14.73), (9.28, 13.44)]]",16
"[[(5.51, 9.67), (1.28, 5.44)]]",16
"[[(5.01, 9.17), (8.43, 12.59)]]",16
"[[(7.51, 11.67), (6.73, 10.89)]]",16
"[[(4.17, 8.33), (1.43, 5.59)]]",16
"[[(10.69, 14.85), (2.68, 6.84)]]",16
"[[(7.56, 11.72), (4.04, 8.2)]]",16
"[[(4.91, 9.07), (3.99, 8.15)]]",25
"[[(8.55, 12.71), (1.31, 5.47)]]",16
"[[(4.3, 8.46), (9.23, 13.39)]]",16
"[[(10.83, 14.99), (1.7, 5.86)]]",16
"[[(4.01, 8.17), (4.23, 8.39)]]",16
"[[(7.78, 11.94), (7.87, 12.03)]]",20
"[[(6.28, 10.44), (8.72, 12.88)]]",16
"[[(0.07, 4.23), (2.31, 6.47)]]",16
"[[(7.57, 11.73), (9.07, 13.23)]]",16
"[[(4.25, 8.41), (6.02, 10.18)]]",16
"[[(4.48, 8.64), (4.14, 8.3)]]",16
"[[(5.87, 10.03), (10.79, 14.95)]]",20
"[[(5.49, 9.65), (4.25, 8.41)]]",16
"[[(1.73, 5.89), (9.74, 13.9)]]",16
"[[(5.62, 9.78), (6.93, 11.09)]]",20
"[[(3.5, 7.66), (3.17, 7.33)]]",16
"[[(5.87, 10.03), (2.31, 6.47)]]",20
"[[(0.82, 4.98), (4.8, 8.96)]]",16
"[[(0.83, 4.99), (0.9, 5.06)]]",20
"[[(5.87, 10.03), (2.78, 6.94)]]",20
