SRC Query,Depth,BBoxes,Data Size
"[[(1.37, 6.17), (8.64, 13.44)]]",2,"[[0, 7], [8, 15]]",64
"[[(7.79, 12.59), (2.6, 7.4)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.05, 9.85), (4.58, 9.38)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.65, 11.45), (8.04, 12.84)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.96, 5.76), (0.29, 5.09)]]",2,"[[0, 7], [0, 7]]",64
"[[(8.52, 13.32), (4.41, 9.21)]]",1,"[[8, 15], (0, 15)]",128
"[[(7.78, 12.58), (0.02, 4.82)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.54, 9.34), (7.36, 12.16)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.33, 7.13), (9.64, 14.44)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.19, 13.99), (0.31, 5.11)]]",2,"[[8, 15], [0, 7]]",64
"[[(0.26, 5.06), (5.52, 10.32)]]",1,"[[0, 7], (0, 15)]",128
"[[(9.58, 14.38), (3.89, 8.69)]]",1,"[[8, 15], (0, 15)]",128
"[[(2.21, 7.01), (4.31, 9.11)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.3, 5.1), (2.26, 7.06)]]",1,"[[0, 7], (0, 15)]",128
"[[(4.47, 9.27), (5.06, 9.86)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.38, 7.18), (2.35, 7.15)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.23, 7.03), (4.69, 9.49)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.96, 7.76), (0.22, 5.02)]]",0,"[(0, 15), (0, 15)]",256
"[[(8.54, 13.34), (5.68, 10.48)]]",1,"[[8, 15], (0, 15)]",128
"[[(6.55, 11.35), (1.9, 6.7)]]",0,"[(0, 15), (0, 15)]",256
"[[(10.12, 14.92), (8.77, 13.57)]]",2,"[[8, 15], [8, 15]]",64
"[[(1.23, 6.03), (3.39, 8.19)]]",1,"[[0, 7], (0, 15)]",128
"[[(7.36, 12.16), (7.25, 12.05)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.55, 14.35), (4.31, 9.11)]]",1,"[[8, 15], (0, 15)]",128
"[[(8.47, 13.27), (6.84, 11.64)]]",1,"[[8, 15], (0, 15)]",128
"[[(3.09, 7.89), (5.99, 10.79)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.0, 13.8), (8.63, 13.43)]]",2,"[[8, 15], [8, 15]]",64
"[[(5.15, 9.95), (6.01, 10.81)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.35, 5.15), (2.48, 7.28)]]",1,"[[0, 7], (0, 15)]",128
"[[(8.13, 12.93), (4.23, 9.03)]]",1,"[[8, 15], (0, 15)]",128
"[[(1.76, 6.56), (5.6, 10.4)]]",1,"[[0, 7], (0, 15)]",128
"[[(7.17, 11.97), (6.88, 11.68)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.82, 8.62), (4.48, 9.28)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.19, 9.99), (7.94, 12.74)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.31, 10.11), (4.01, 8.81)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.99, 9.79), (0.3, 5.1)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.44, 5.24), (7.17, 11.97)]]",1,"[[0, 7], (0, 15)]",128
"[[(10.03, 14.83), (6.05, 10.85)]]",1,"[[8, 15], (0, 15)]",128
"[[(4.01, 8.81), (1.74, 6.54)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.12, 9.92), (10.02, 14.82)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.86, 12.66), (5.5, 10.3)]]",0,"[(0, 15), (0, 15)]",256
"[[(8.77, 13.57), (2.37, 7.17)]]",1,"[[8, 15], (0, 15)]",128
"[[(5.24, 10.04), (9.72, 14.52)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.89, 10.69), (4.68, 9.48)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.75, 7.55), (5.59, 10.39)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.76, 14.56), (0.06, 4.86)]]",2,"[[8, 15], [0, 7]]",64
"[[(7.99, 12.79), (8.37, 13.17)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.04, 13.84), (7.55, 12.35)]]",1,"[[8, 15], (0, 15)]",128
"[[(8.25, 13.05), (5.29, 10.09)]]",1,"[[8, 15], (0, 15)]",128
"[[(5.73, 10.53), (4.35, 9.15)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.57, 5.37), (8.87, 13.67)]]",2,"[[0, 7], [8, 15]]",64
"[[(5.81, 10.61), (2.04, 6.84)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.15, 9.95), (4.95, 9.75)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.64, 8.44), (3.53, 8.33)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.49, 10.29), (6.36, 11.16)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.25, 11.05), (4.67, 9.47)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.29, 5.09), (2.34, 7.14)]]",1,"[[0, 7], (0, 15)]",128
"[[(1.81, 6.61), (5.96, 10.76)]]",1,"[[0, 7], (0, 15)]",128
"[[(8.78, 13.58), (8.14, 12.94)]]",2,"[[8, 15], [8, 15]]",64
"[[(8.13, 12.93), (8.33, 13.13)]]",2,"[[8, 15], [8, 15]]",64
"[[(2.6, 7.4), (8.59, 13.39)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.87, 11.67), (0.85, 5.65)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.17, 4.97), (0.15, 4.95)]]",2,"[[0, 7], [0, 7]]",64
"[[(7.71, 12.51), (2.55, 7.35)]]",0,"[(0, 15), (0, 15)]",256
"[[(1.12, 5.92), (6.37, 11.17)]]",1,"[[0, 7], (0, 15)]",128
"[[(3.51, 8.31), (0.71, 5.51)]]",0,"[(0, 15), (0, 15)]",256
"[[(1.63, 6.43), (5.38, 10.18)]]",1,"[[0, 7], (0, 15)]",128
"[[(1.72, 6.52), (2.78, 7.58)]]",1,"[[0, 7], (0, 15)]",128
"[[(7.26, 12.06), (4.64, 9.44)]]",0,"[(0, 15), (0, 15)]",256
