,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1,256,0,255,256.0,0.390625
1,4,64,2,60,16.0,6.25
2,2,32,3,30,16.0,6.25
3,2,256,0,254,128.0,0.78125
4,2,128,1,126,64.0,1.5625
5,4,16,4,12,4.0,25.0
6,1,64,2,63,64.0,1.5625
7,4,128,1,124,32.0,3.125
8,4,32,3,28,8.0,12.5
9,1,128,1,127,128.0,0.78125
10,2,32,3,30,16.0,6.25
11,2,16,4,14,8.0,12.5
12,2,64,2,62,32.0,3.125
13,1,16,4,15,16.0,6.25
14,2,128,1,126,64.0,1.5625
15,2,128,1,126,64.0,1.5625
16,2,128,1,126,64.0,1.5625
17,2,64,2,62,32.0,3.125
18,2,32,3,30,16.0,6.25
19,2,256,0,254,128.0,0.78125
20,2,64,2,62,32.0,3.125
21,1,256,0,255,256.0,0.390625
22,2,32,3,30,16.0,6.25
23,4,128,1,124,32.0,3.125
24,1,256,0,255,256.0,0.390625
25,4,64,2,60,16.0,6.25
26,2,16,4,14,8.0,12.5
27,2,32,3,30,16.0,6.25
28,4,16,4,12,4.0,25.0
29,4,32,3,28,8.0,12.5
30,2,32,3,30,16.0,6.25
31,2,128,1,126,64.0,1.5625
32,1,16,4,15,16.0,6.25
33,4,256,0,252,64.0,1.5625
34,4,32,3,28,8.0,12.5
35,4,64,2,60,16.0,6.25
36,2,256,0,254,128.0,0.78125
37,4,256,0,252,64.0,1.5625
38,4,16,4,12,4.0,25.0
39,4,128,1,124,32.0,3.125
40,1,64,2,63,64.0,1.5625
41,1,128,1,127,128.0,0.78125
42,4,64,2,60,16.0,6.25
43,2,16,4,14,8.0,12.5
44,2,32,3,30,16.0,6.25
45,4,256,0,252,64.0,1.5625
46,2,64,2,62,32.0,3.125
47,4,64,2,60,16.0,6.25
48,4,64,2,60,16.0,6.25
49,2,32,3,30,16.0,6.25
50,2,64,2,62,32.0,3.125
51,4,64,2,60,16.0,6.25
52,2,64,2,62,32.0,3.125
53,4,128,1,124,32.0,3.125
54,4,256,0,252,64.0,1.5625
55,1,64,2,63,64.0,1.5625
56,2,16,4,14,8.0,12.5
57,1,16,4,15,16.0,6.25
58,4,128,1,124,32.0,3.125
59,1,256,0,255,256.0,0.390625
60,2,32,3,30,16.0,6.25
61,1,16,4,15,16.0,6.25
62,2,256,0,254,128.0,0.78125
63,4,32,3,28,8.0,12.5
64,2,64,2,62,32.0,3.125
65,2,32,3,30,16.0,6.25
66,2,256,0,254,128.0,0.78125
67,2,256,0,254,128.0,0.78125
68,1,64,2,63,64.0,1.5625
69,4,64,2,60,16.0,6.25
70,2,64,2,62,32.0,3.125
71,4,64,2,60,16.0,6.25
72,2,64,2,62,32.0,3.125
73,2,32,3,30,16.0,6.25
74,2,32,3,30,16.0,6.25
75,4,64,2,60,16.0,6.25
76,2,32,3,30,16.0,6.25
77,4,64,2,60,16.0,6.25
78,2,256,0,254,128.0,0.78125
79,1,32,3,31,32.0,3.125
80,4,32,3,28,8.0,12.5
81,2,32,3,30,16.0,6.25
82,4,64,2,60,16.0,6.25
83,2,32,3,30,16.0,6.25
84,2,64,2,62,32.0,3.125
85,2,16,4,14,8.0,12.5
86,4,32,3,28,8.0,12.5
87,2,64,2,62,32.0,3.125
88,4,256,0,252,64.0,1.5625
89,2,256,0,254,128.0,0.78125
90,2,64,2,62,32.0,3.125
91,2,128,1,126,64.0,1.5625
92,2,64,2,62,32.0,3.125
93,2,64,2,62,32.0,3.125
94,4,256,0,252,64.0,1.5625
95,4,32,3,28,8.0,12.5
96,4,64,2,60,16.0,6.25
97,1,16,4,15,16.0,6.25
98,2,128,1,126,64.0,1.5625
99,2,256,0,254,128.0,0.78125
100,4,128,1,124,32.0,3.125
101,2,64,2,62,32.0,3.125
102,2,64,2,62,32.0,3.125
103,2,64,2,62,32.0,3.125
104,4,256,0,252,64.0,1.5625
105,1,256,0,255,256.0,0.390625
106,4,256,0,252,64.0,1.5625
107,2,64,2,62,32.0,3.125
108,1,16,4,15,16.0,6.25
109,4,128,1,124,32.0,3.125
110,2,16,4,14,8.0,12.5
111,4,64,2,60,16.0,6.25
112,1,128,1,127,128.0,0.78125
113,1,16,4,15,16.0,6.25
114,4,16,4,12,4.0,25.0
115,4,64,2,60,16.0,6.25
116,4,256,0,252,64.0,1.5625
117,2,16,4,14,8.0,12.5
118,2,64,2,62,32.0,3.125
119,4,128,1,124,32.0,3.125
120,4,32,3,28,8.0,12.5
121,4,16,4,12,4.0,25.0
122,1,256,0,255,256.0,0.390625
123,4,128,1,124,32.0,3.125
124,2,16,4,14,8.0,12.5
125,4,128,1,124,32.0,3.125
126,4,256,0,252,64.0,1.5625
127,4,64,2,60,16.0,6.25
128,1,16,4,15,16.0,6.25
129,4,256,0,252,64.0,1.5625
130,2,64,2,62,32.0,3.125
131,2,128,1,126,64.0,1.5625
132,2,256,0,254,128.0,0.78125
133,4,256,0,252,64.0,1.5625
134,2,64,2,62,32.0,3.125
135,2,32,3,30,16.0,6.25
136,2,32,3,30,16.0,6.25
137,2,64,2,62,32.0,3.125
138,2,256,0,254,128.0,0.78125
139,4,64,2,60,16.0,6.25
140,4,64,2,60,16.0,6.25
141,2,16,4,14,8.0,12.5
142,4,64,2,60,16.0,6.25
143,4,64,2,60,16.0,6.25
144,2,64,2,62,32.0,3.125
145,2,256,0,254,128.0,0.78125
146,2,128,1,126,64.0,1.5625
147,4,64,2,60,16.0,6.25
148,2,32,3,30,16.0,6.25
149,2,256,0,254,128.0,0.78125
150,4,128,1,124,32.0,3.125
151,2,64,2,62,32.0,3.125
152,2,64,2,62,32.0,3.125
153,4,64,2,60,16.0,6.25
154,2,64,2,62,32.0,3.125
155,1,128,1,127,128.0,0.78125
156,2,64,2,62,32.0,3.125
157,2,32,3,30,16.0,6.25
158,2,64,2,62,32.0,3.125
159,2,32,3,30,16.0,6.25
160,2,256,0,254,128.0,0.78125
161,4,64,2,60,16.0,6.25
162,4,64,2,60,16.0,6.25
163,4,128,1,124,32.0,3.125
164,4,64,2,60,16.0,6.25
165,2,64,2,62,32.0,3.125
166,1,16,4,15,16.0,6.25
167,1,256,0,255,256.0,0.390625
168,4,128,1,124,32.0,3.125
169,4,64,2,60,16.0,6.25
170,2,64,2,62,32.0,3.125
171,2,64,2,62,32.0,3.125
172,2,64,2,62,32.0,3.125
