,L2 Norm
0,-0.0454900612584137
1,0.013618517591343499
2,0.05073843749751129
3,0.0179018653026672
4,0.0005646062871511974
5,0.001700094821164299
6,-0.0062825053865033995
7,-0.002116665947044301
8,0.006268688724748702
9,0.0113158721332424
10,0.005626113886811897
11,0.004195617459307199
12,0.0062926141305863995
13,-0.0012557029268872033
14,-0.0003417360326905018
15,-0.006826562500354301
16,-0.0108212275267534
17,-0.012888223059192001
18,-0.006952602580592299
19,-0.0071725757890125
20,-0.004859542448131998
21,-0.0024694585914273003
22,-0.0013166115455197011
23,-0.0019679454423220995
24,0.00034537740063700015
25,0.001189324794755
26,0.0009292987485356998
27,0.0016758162719485003
28,0.0024335887871946996
29,0.0009971950850639006
30,-0.0012771801421572002
31,-0.0028929373770314997
32,-0.0027015931633117994
33,-0.0035305627418649997
34,-0.0032977534712985003
35,-0.0053824418772577
36,-0.0046707487020601
37,-0.0067539706091872004
38,-0.005323128340990101
39,-0.0032520441835032
40,-0.0047258922291905
41,-0.0042354388498442
42,-0.0049367459646805995
43,-0.005082355339401601
44,-0.0044414423934011
45,-0.0041339979431639
46,-0.0032412031449126
47,-0.003120375730581
48,-0.0024066552238647004
49,-0.0030315640410925005
50,-0.0028921803258443995
51,-0.0018277026435054
52,-0.0030528515542468
53,-0.0017313390124011003
54,-0.0003255024416450999
55,-0.0005740316623509003
56,-0.0007858516193345998
57,-0.0013928123364147001
58,-0.0025813417816078
59,-0.0032293790252754
60,-0.0028993178988966
61,-0.0027854440119694
62,-0.0027237451992898
63,-0.0021560205182252997
64,-0.0027546690437495
65,-0.0023523067996264998
66,-0.0015703871215248001
67,-0.0029749155703528997
68,-0.0026679570799816
69,0.00027460267982569995
70,-5.7007534258299904e-05
71,-0.000785979235447
72,-0.0013198282029645001
73,-0.0012246292779167002
74,-0.0007232542014299001
75,-0.0018852286218290003
76,-0.0012760669721462998
77,-0.0004949116524026
78,-0.001157078158464
79,-0.000989919191144
80,-0.0006961834481361
81,-0.00018121624328870005
82,0.0005038134810816997
83,-0.0007007475515096004
84,-0.0009529744737063002
85,-0.0003438117159265
86,-0.0018279517469233
87,-0.0021433640764923
88,-0.0025738279318549997
89,-0.0014955179006994998
90,-0.0022974387536843
91,-0.0016217437073239001
92,-0.0015742557622655
93,-0.00024046425065759984
94,-0.0006453216688762
95,-0.00021354678232010004
96,-0.00032548083029099997
97,-0.000546713748014922
98,0.00047941427448569996
99,0.0
