,L2 Norm
0,0.046198183146615196
1,-0.0453400072157269
2,-0.0493761587624416
3,-0.0343352590020538
4,-0.016614953068472903
5,-0.0031063722722883026
6,0.0007107259219049991
7,0.005996685157607498
8,0.0011523074499382013
9,-0.0041734323971446
10,0.009056938966235299
11,0.009909871932963901
12,0.009862198251703399
13,0.004076973440239801
14,0.0042539585934365
15,0.0047343569552601005
16,0.007094695582275899
17,0.006887406029248701
18,0.0083326597697598
19,0.0112745183098248
20,0.0093732245482799
21,0.006333622663643601
22,0.0040889318765404
23,0.002398124667164799
24,0.0059846588216082
25,0.002315764628482599
26,0.0012630875941229986
27,0.006044497861086501
28,0.002769289501513599
29,0.0009414841380691995
30,9.671088751100378e-06
31,0.0009447947723757004
32,0.0025096434778528994
33,0.004394641438286601
34,0.0022639821808511
35,-4.537016220660002e-05
36,0.0034559828731709997
37,0.0047323555977687
38,0.0057452612293756
39,0.0035331930850665003
40,0.004931153170978301
41,0.0043784038605852995
42,0.005806032834400799
43,0.0049619346459172
44,0.005633555205038901
45,0.0044208063641671
46,0.0035997424408638
47,0.003268346931833899
48,0.0045602488519749995
49,0.003491553442008301
50,0.0029466783527056003
51,0.0017308672202389006
52,0.0009822551614269
53,0.0016450292225670005
54,0.0037001774577802
55,0.004439029376461001
56,0.0042465289446354994
57,0.005197943071621301
58,0.004291139053831601
59,0.0045719370624896
60,0.0035751638104055006
61,0.0037327614977325993
62,0.0030979884551328996
63,0.0012565277362363006
64,0.0005097769222498997
65,0.0020806904726608996
66,0.002537511005564
67,0.0026691776095590994
68,0.0023217798789202
69,0.0018321682072380005
70,0.0002338973381019998
71,0.00020562350371780037
72,-0.0003265070453606
73,-0.0011824817164637
74,-0.0019306334178067997
75,-0.0014444264393983003
76,-0.0013950202425435
77,-0.0018196348064045994
78,-0.0010538871573435998
79,-0.0021166043731123
80,-0.0027186103308348003
81,-0.0034034671585701
82,-0.0035804533400878
83,-0.0028639960239258003
84,-0.0033196958624543
85,-0.0030858972194109
86,-0.0029119194994832
87,-0.0031415324551502003
88,-0.0027454498111823
89,-0.001619940612519
90,-0.0012695133765599999
91,-0.0007523729084971001
92,-0.00038138973560769996
93,0.0008588420339344001
94,0.0011500944480578998
95,0.0011370741011122
96,0.00042532693708920003
97,0.0004820795006445
98,0.00016671315420550001
99,0.0
