SRC Query,Depth,BBoxes,Data Size
"[[(8.42, 11.42), (5.09, 8.09)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.08, 10.08), (0.0, 2.69)]]",1,"[(0, 15), [0, 8]]",128
"[[(3.03, 6.029999999999999), (5.84, 8.84)]]",0,"[(0, 15), (0, 15)]",256
"[[(1.62, 4.62), (0.38, 3.38)]]",3,"[[0, 8], [0, 4]]",32
"[[(2.9, 5.9), (0.15, 3.15)]]",3,"[[0, 8], [0, 4]]",32
"[[(7.62, 10.620000000000001), (2.98, 5.98)]]",1,"[(0, 15), [0, 8]]",128
"[[(1.01, 4.01), (3.47, 6.470000000000001)]]",2,"[[0, 8], [0, 8]]",64
"[[(3.64, 6.640000000000001), (7.34, 10.34)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.08, 9.08), (11.73, 14.73)]]",1,"[(0, 15), [8, 15]]",128
"[[(11.33, 14.33), (1.14, 4.14)]]",2,"[[8, 15], [0, 8]]",64
"[[(9.99, 12.99), (9.48, 12.48)]]",2,"[[8, 15], [8, 15]]",64
"[[(7.0, 10.0), (1.42, 4.42)]]",1,"[(0, 15), [0, 8]]",128
"[[(11.66, 14.66), (3.92, 6.92)]]",2,"[[8, 15], [0, 8]]",64
"[[(0.62, 3.62), (2.55, 5.55)]]",2,"[[0, 8], [0, 8]]",64
"[[(2.84, 5.84), (2.63, 5.63)]]",2,"[[0, 8], [0, 8]]",64
"[[(4.45, 7.45), (7.09, 10.09)]]",0,"[(0, 15), (0, 15)]",256
"[[(11.16, 14.16), (11.29, 14.29)]]",2,"[[8, 15], [8, 15]]",64
"[[(0.99, 3.99), (0.0, 2.91)]]",4,"[[0, 4], [0, 4]]",16
"[[(6.95, 9.95), (0.76, 3.76)]]",1,"[(0, 15), [0, 8]]",128
"[[(5.57, 8.57), (0.42, 3.42)]]",1,"[(0, 15), [0, 8]]",128
"[[(8.05, 11.05), (11.43, 14.43)]]",2,"[[8, 15], [8, 15]]",64
"[[(1.77, 4.77), (0.09, 3.09)]]",3,"[[0, 8], [0, 4]]",32
"[[(4.99, 7.99), (3.54, 6.54)]]",2,"[[0, 8], [0, 8]]",64
"[[(9.05, 12.05), (6.78, 9.780000000000001)]]",0,"[(0, 15), (0, 15)]",256
"[[(8.39, 11.39), (5.88, 8.879999999999999)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.28, 6.279999999999999), (9.69, 12.69)]]",2,"[[0, 8], [8, 15]]",64
"[[(1.71, 4.71), (11.63, 14.63)]]",2,"[[0, 8], [8, 15]]",64
"[[(3.55, 6.55), (8.28, 11.28)]]",3,"[[0, 8], [8, 12]]",32
"[[(2.16, 5.16), (2.48, 5.48)]]",2,"[[0, 8], [0, 8]]",64
"[[(6.26, 9.26), (8.45, 11.45)]]",1,"[(0, 15), [8, 15]]",128
"[[(6.4, 9.4), (12.02, 15.0)]]",1,"[(0, 15), [8, 15]]",128
"[[(4.64, 7.64), (3.01, 6.01)]]",2,"[[0, 8], [0, 8]]",64
"[[(5.55, 8.55), (9.21, 12.21)]]",1,"[(0, 15), [8, 15]]",128
"[[(3.52, 6.52), (6.67, 9.67)]]",0,"[(0, 15), (0, 15)]",256
"[[(1.59, 4.59), (4.28, 7.28)]]",3,"[[0, 8], [4, 8]]",32
"[[(0.09, 3.09), (7.01, 10.01)]]",0,"[(0, 15), (0, 15)]",256
"[[(11.7, 14.7), (10.45, 13.45)]]",2,"[[8, 15], [8, 15]]",64
"[[(8.15, 11.15), (10.4, 13.4)]]",2,"[[8, 15], [8, 15]]",64
"[[(10.86, 13.86), (0.89, 3.89)]]",3,"[[8, 15], [0, 4]]",32
"[[(10.45, 13.45), (3.5, 6.5)]]",2,"[[8, 15], [0, 8]]",64
"[[(10.26, 13.26), (0.12, 3.12)]]",3,"[[8, 15], [0, 4]]",32
"[[(2.97, 5.970000000000001), (12.43, 15.0)]]",3,"[[0, 8], [12, 15]]",32
"[[(11.08, 14.08), (3.01, 6.01)]]",2,"[[8, 15], [0, 8]]",64
"[[(4.68, 7.68), (8.77, 11.77)]]",4,"[[4, 8], [8, 12]]",16
"[[(1.94, 4.9399999999999995), (5.06, 8.059999999999999)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.72, 6.720000000000001), (5.05, 8.05)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.67, 3.67), (12.31, 15.0)]]",4,"[[0, 4], [12, 15]]",16
"[[(0.66, 3.66), (1.65, 4.65)]]",2,"[[0, 8], [0, 8]]",64
"[[(1.54, 4.54), (2.01, 5.01)]]",2,"[[0, 8], [0, 8]]",64
"[[(5.89, 8.89), (8.31, 11.31)]]",1,"[(0, 15), [8, 15]]",128
"[[(11.52, 14.52), (0.11, 3.11)]]",3,"[[8, 15], [0, 4]]",32
"[[(11.78, 14.78), (0.68, 3.68)]]",3,"[[8, 15], [0, 4]]",32
