,DAG,KD
0,4,1
1,2,2
2,3,3
3,4,3
4,4,4
5,4,2
6,4,4
7,4,4
8,4,4
9,4,4
10,4,3
11,4,1
12,4,4
13,3,2
14,2,1
15,2,2
16,2,0
17,2,2
18,4,4
19,2,0
20,2,0
21,2,0
22,4,4
23,3,2
24,4,4
25,2,0
26,2,0
27,2,2
28,4,3
29,2,2
30,2,1
31,4,2
32,2,2
33,3,1
34,4,2
35,4,4
36,4,1
37,4,4
38,3,2
39,3,3
40,3,3
41,4,0
42,2,2
43,4,3
44,4,4
45,4,4
46,4,4
47,4,1
48,2,2
49,4,4
50,4,4
51,4,4
52,4,3
53,3,3
54,2,2
55,3,3
56,4,1
57,4,4
58,2,2
59,2,0
60,3,1
61,4,4
62,4,4
63,4,4
64,3,3
65,2,0
66,4,1
67,2,1
68,4,4
69,4,3
70,4,4
71,3,3
72,2,2
73,2,1
74,2,2
75,4,2
76,2,0
77,2,2
78,4,4
79,4,1
80,4,4
81,3,3
82,2,2
83,4,3
84,4,3
85,2,2
86,2,2
87,4,4
88,2,2
89,4,4
90,3,3
91,3,1
92,4,0
93,2,0
94,4,4
95,2,1
96,4,4
97,3,3
98,4,4
99,2,0
100,2,0
101,4,4
102,4,3
103,2,2
104,4,4
105,3,3
106,3,3
107,4,4
108,3,3
109,4,4
110,5,5
111,2,2
112,3,3
113,4,4
114,4,4
115,3,2
116,2,2
117,3,3
118,2,1
119,4,4
120,2,0
121,2,2
122,2,2
123,3,3
124,3,3
125,2,2
126,3,3
127,3,1
128,3,3
129,4,4
130,2,2
131,4,0
132,4,4
133,2,2
134,4,4
135,3,3
136,3,2
137,2,2
138,4,1
139,2,0
140,2,2
141,4,3
142,2,2
143,4,3
144,4,4
145,4,4
146,3,2
147,4,4
148,3,1
149,3,1
150,3,3
151,4,4
152,2,2
153,2,0
154,4,4
155,2,0
156,4,4
157,4,4
158,4,0
159,2,0
160,4,4
161,4,4
162,4,4
163,2,1
164,2,2
165,2,2
166,2,0
167,2,2
168,4,4
169,3,1
170,4,2
171,2,1
172,4,4
173,4,0
174,3,3
175,2,2
176,2,2
177,2,0
178,2,0
179,3,3
180,4,3
181,2,2
182,4,4
183,3,1
184,3,3
185,3,0
186,2,2
187,4,4
188,4,0
189,4,3
190,2,0
191,4,3
192,3,1
193,2,0
194,4,4
195,2,2
196,4,4
197,2,0
198,4,4
199,4,4
200,2,0
201,4,0
202,4,4
203,3,3
204,4,2
205,3,3
206,2,0
207,2,1
208,3,1
209,4,1
210,3,1
211,2,2
212,4,4
213,4,1
214,2,2
215,4,4
216,2,0
217,2,0
218,4,2
219,3,3
220,3,1
221,3,3
222,4,4
223,4,4
224,2,2
225,3,1
226,3,3
227,4,4
228,4,4
229,2,1
230,4,0
231,3,3
232,2,2
233,2,2
234,2,1
235,4,1
236,2,1
237,5,5
238,3,3
239,2,2
240,4,4
241,2,2
242,4,4
243,2,0
244,4,1
245,4,4
246,3,1
247,4,4
248,2,2
249,3,2
250,4,4
251,2,0
252,4,4
253,4,4
254,2,2
255,4,2
256,4,1
257,4,4
258,4,4
259,5,5
260,2,0
261,3,3
262,3,3
263,4,4
264,4,4
265,2,0
266,4,4
267,2,2
268,2,0
269,4,1
270,2,1
271,2,0
272,2,2
273,4,3
274,4,0
275,4,3
276,4,4
277,4,4
278,4,2
279,4,4
280,4,2
281,3,3
282,4,4
283,2,2
284,4,4
285,2,0
286,4,4
287,4,4
288,3,3
289,2,2
290,2,0
291,4,4
292,2,0
293,4,2
294,2,2
295,3,1
296,4,4
297,2,0
298,3,1
299,2,0
300,4,4
301,4,4
302,4,2
303,4,4
304,2,2
305,2,2
306,2,2
307,2,2
308,4,2
309,4,4
310,2,0
311,4,4
312,4,1
313,2,1
314,3,1
315,3,3
316,3,1
317,3,3
318,4,3
319,3,3
320,4,0
321,2,0
322,4,2
323,4,4
324,4,2
325,4,4
326,2,2
327,4,2
328,2,0
329,2,2
330,2,2
331,3,0
332,4,3
333,3,3
334,4,4
335,4,4
336,4,4
337,4,4
338,4,3
339,3,3
340,4,4
341,4,2
342,4,1
343,4,4
344,4,0
345,3,2
346,3,3
347,4,4
348,4,2
349,4,4
350,4,4
351,2,1
352,4,2
353,4,4
354,4,4
355,3,1
356,2,2
357,2,0
358,2,2
359,4,4
360,2,0
361,4,2
362,4,4
363,2,2
364,3,3
365,2,2
366,4,4
367,2,0
368,3,1
369,3,3
370,3,3
371,3,1
372,3,1
373,4,4
374,4,4
375,4,4
376,2,2
377,2,1
378,4,4
379,2,2
380,2,2
381,3,2
382,2,0
383,2,2
384,2,2
385,4,3
386,4,3
387,3,2
388,4,4
389,2,0
390,4,4
391,4,4
392,2,0
393,2,2
394,2,0
395,2,0
396,2,2
397,2,0
398,4,4
399,3,3
400,4,4
401,4,4
402,4,4
403,4,4
404,3,3
405,2,2
406,5,5
407,4,4
408,2,0
409,4,4
410,2,0
411,2,0
412,4,2
413,4,4
414,2,2
415,2,0
416,4,4
417,4,0
418,4,4
419,2,0
420,4,3
421,4,4
422,5,5
423,3,1
424,4,4
425,2,2
426,3,0
427,4,4
428,4,2
429,3,3
430,4,4
431,4,4
432,2,0
433,2,0
434,4,4
435,3,3
436,4,3
437,2,0
438,2,1
439,2,0
440,4,4
441,4,4
442,4,4
443,4,4
444,4,4
445,4,2
446,2,0
447,4,0
448,2,2
449,2,2
450,2,0
451,4,4
452,4,4
453,4,4
454,4,0
455,4,4
456,4,2
457,3,3
458,4,4
459,4,4
460,4,4
461,3,1
462,4,2
463,3,3
464,2,2
465,2,1
466,3,1
467,4,2
468,4,1
469,5,3
470,2,2
471,2,0
472,4,4
473,4,4
474,3,1
475,3,3
476,3,2
477,2,0
478,4,2
479,2,2
480,3,1
481,4,4
482,3,3
483,3,2
484,3,1
485,4,4
486,4,4
487,2,2
488,2,2
489,3,0
490,2,0
491,3,3
492,2,2
493,3,1
494,4,4
495,4,4
496,4,4
497,4,0
498,3,1
499,2,0
500,2,2
501,4,3
502,2,2
503,4,4
504,4,4
505,4,4
506,2,0
507,2,2
508,4,2
509,4,4
510,4,2
511,4,3
512,3,1
513,2,2
514,4,2
515,3,1
516,4,0
517,2,0
518,4,1
519,3,3
520,4,4
521,3,2
522,3,3
523,2,0
524,4,4
525,2,2
526,2,1
527,4,4
528,2,2
529,2,2
530,3,0
531,2,2
532,4,4
533,4,4
534,2,0
535,4,1
536,4,4
537,4,0
538,4,0
539,3,3
540,4,4
541,4,4
542,2,0
543,2,0
544,3,3
545,4,4
546,2,2
547,4,4
548,2,2
549,2,2
550,3,3
551,2,0
552,3,3
553,4,3
554,2,2
555,3,1
556,4,4
557,4,4
558,4,4
559,2,0
560,2,2
561,2,1
562,3,2
563,4,4
564,4,2
565,2,2
566,3,3
567,2,0
568,2,1
569,2,2
570,4,2
571,4,4
572,4,4
573,3,1
574,2,2
575,2,0
576,4,4
577,4,1
578,2,2
579,5,3
580,4,4
581,2,0
582,3,2
583,4,4
584,4,0
585,2,0
586,4,2
587,4,2
588,2,2
589,2,2
590,4,0
591,2,2
592,2,0
593,4,4
594,2,2
595,2,0
596,2,0
597,4,4
598,2,2
599,4,2
600,4,4
601,2,1
602,4,4
603,4,3
604,4,1
605,4,4
606,2,2
607,2,0
608,4,3
609,4,4
610,2,2
611,4,0
612,4,1
613,4,0
614,4,4
615,3,3
616,3,3
617,4,4
618,3,1
619,4,4
620,4,4
621,4,4
622,4,4
623,3,3
624,4,4
625,4,2
626,2,2
627,4,2
628,5,5
629,4,1
630,4,4
631,2,1
632,2,0
633,2,1
634,3,1
635,2,2
636,3,3
637,4,3
638,3,3
639,2,0
640,2,2
641,4,1
642,2,2
643,2,0
644,2,2
645,4,4
646,3,1
647,4,2
648,2,0
649,4,4
650,4,4
651,2,0
652,2,2
653,2,2
654,2,2
655,2,1
656,2,2
657,4,4
658,3,1
659,3,3
660,4,3
661,4,2
662,3,1
663,4,4
664,4,0
665,2,0
666,3,3
667,3,0
668,4,3
669,4,1
670,4,4
671,4,1
672,4,1
673,2,2
674,2,2
675,2,2
676,2,0
677,4,3
678,4,0
679,2,2
680,4,4
681,4,3
682,2,2
683,2,0
684,4,0
685,4,4
686,4,4
687,4,4
688,3,3
689,4,2
690,3,0
691,4,2
692,4,0
693,4,0
694,2,0
695,4,4
696,4,1
697,3,1
698,3,3
699,4,0
700,2,1
701,2,2
702,4,0
703,4,3
704,4,4
705,3,3
706,3,3
707,4,4
708,4,4
709,4,3
710,4,0
711,4,4
712,4,2
713,4,3
714,4,4
715,2,0
716,2,2
717,3,3
718,3,1
719,2,0
720,4,4
721,3,0
722,4,3
723,3,0
724,2,2
725,4,4
726,4,4
727,2,0
728,4,2
729,2,1
730,4,4
731,3,3
732,2,2
733,4,2
734,4,4
735,4,2
736,4,4
737,2,0
738,3,3
739,3,1
740,2,2
741,4,4
742,3,3
743,2,2
744,2,0
745,3,1
746,4,0
747,3,3
748,2,2
749,4,4
750,4,4
751,2,2
752,3,1
753,5,5
754,4,3
755,2,0
756,4,0
757,4,4
758,4,4
759,2,2
760,3,0
761,2,0
762,4,0
763,4,0
764,3,1
765,2,2
766,4,3
767,2,2
768,4,2
769,4,4
770,4,4
771,4,4
772,2,2
773,4,3
774,2,2
775,4,4
776,4,4
777,4,4
778,2,0
779,2,1
780,2,2
781,3,3
782,4,2
783,2,0
784,3,0
785,4,4
786,2,2
787,3,0
788,2,0
789,3,2
790,4,0
791,4,0
792,5,5
793,2,2
794,2,0
795,4,4
796,2,2
797,4,2
798,2,2
799,4,1
800,2,2
801,4,0
802,2,2
803,2,0
804,3,3
805,3,0
806,2,0
807,2,0
808,3,3
809,4,4
810,3,3
811,4,4
812,3,1
813,3,0
814,3,1
815,2,0
816,4,4
817,2,0
818,2,2
819,4,1
820,4,4
821,4,4
822,2,2
823,4,4
824,4,4
825,4,4
826,3,3
827,3,3
828,2,2
829,4,3
830,3,3
831,4,4
832,3,2
833,4,4
834,3,2
835,2,2
836,4,3
837,3,3
838,4,2
839,3,3
840,2,1
841,2,1
842,3,3
843,2,2
844,2,2
845,4,4
846,4,0
847,3,1
848,3,1
849,4,3
850,2,1
851,3,2
852,2,2
853,2,0
854,4,0
855,4,1
856,3,3
857,4,0
858,2,2
859,4,4
860,2,2
861,2,2
862,4,0
863,4,0
864,4,4
865,4,4
866,3,2
867,3,3
868,4,4
869,2,0
870,2,2
871,4,4
872,4,4
873,4,3
874,2,0
875,3,1
876,2,1
877,4,0
878,2,2
879,3,2
880,4,4
881,4,4
882,4,2
883,2,0
884,3,3
885,2,0
886,4,4
887,4,2
888,3,3
889,4,2
890,2,2
891,4,1
892,2,0
893,4,1
894,4,2
895,4,1
896,2,2
897,4,4
898,3,3
899,2,0
900,4,4
901,4,1
902,4,3
903,3,3
904,3,3
905,2,2
906,2,1
907,4,4
908,2,0
909,2,2
910,4,4
911,2,0
912,2,2
913,4,3
914,4,4
915,4,4
916,3,3
917,2,0
918,4,4
919,3,2
920,4,4
921,4,4
922,3,3
923,4,4
924,4,2
925,4,1
926,2,2
927,3,1
928,2,0
929,2,2
930,2,0
931,2,2
932,3,1
933,4,3
934,2,2
935,4,4
936,2,0
937,3,1
938,4,3
939,2,0
940,4,4
941,3,1
942,4,0
943,3,3
944,4,3
945,3,1
946,4,4
947,2,2
948,2,2
949,3,1
950,3,3
951,4,4
952,4,1
953,2,2
954,2,0
955,4,4
956,2,2
957,4,4
958,4,4
959,5,5
960,2,2
961,2,0
962,4,0
963,4,2
964,4,4
965,4,2
966,3,1
967,3,1
968,4,4
969,4,4
970,2,2
971,3,3
972,5,5
973,3,1
974,2,2
975,4,4
976,2,0
977,2,0
978,4,0
979,4,4
980,2,2
981,2,0
982,3,3
983,4,2
984,3,1
985,4,4
986,3,3
987,2,0
988,3,1
989,2,2
990,2,2
991,4,1
