,L2 Norm
0,-0.013821363188822905
1,0.011590705029226298
2,-0.005243638842566699
3,0.007412829661164702
4,0.012151670014500002
5,0.003006011249634996
6,-0.0021081849542329
7,-0.0110113986729286
8,-0.0145696008181735
9,-0.012898427042812199
10,-0.0193192813078054
11,-0.0220269091155788
12,-0.014081792012718001
13,-0.0147345472488449
14,-0.0098936460412604
15,-0.0078049843814960995
16,-0.004008890865078
17,-0.0006487989403184003
18,0.003534924249475999
19,0.0023315201938413996
20,0.0004171530842774999
21,-0.0028785769079229997
22,-0.0022443864425691993
23,-0.000535069981213299
24,-0.0006786172171262001
25,0.00037065540497030133
26,0.0017743547541976008
27,0.0011544298611423018
28,-0.0016770490419082996
29,-0.0025404602072069005
30,-0.0038548460673482002
31,-0.0035688937429135
32,-0.0034737832414859
33,0.0014462492118284005
34,0.00016162653933330003
35,-5.175496614480066e-05
36,0.0023458956394169003
37,0.0017838035134117997
38,0.0022823120215776
39,0.0036752218458608998
40,0.0032171336458600994
41,0.0029146791528276003
42,0.0018139185518029994
43,0.0034416210846652997
44,0.0033546866603722005
45,0.0032317813776868006
46,0.0022825236703013993
47,0.0016806662260641994
48,0.00240460673664
49,0.0031560422451122998
50,0.0025485810814157
51,0.0020271763239408
52,0.0029146753157656994
53,0.0020958232418058003
54,0.0020078734522292006
55,0.0008950218714108005
56,-0.0011432820330529005
57,-0.0007627389145178007
58,-0.0010479394027138001
59,-0.0008313172823888005
60,-0.0014388842729171
61,-0.00020788804177249934
62,-0.0009194062045994999
63,-0.0022150536814101998
64,-0.0024062953632335007
65,-0.0018219975552833
66,-0.0017762369744486004
67,-0.0020287535436019997
68,-0.0013921396213197003
69,-0.0003309233242391003
70,-0.0005808741807748
71,0.0006590638137596999
72,0.0010012307103154997
73,-0.00014386276798360013
74,-0.0002977939493911995
75,8.869198063410008e-05
76,0.0015490461792457
77,0.0022698067258089
78,0.0025537055307827
79,0.0024142102381709005
80,0.0022815932696433
81,0.0024566163482208
82,0.0033833316030908002
83,0.0022038846513208997
84,0.0031146859676013995
85,0.0023630166497907996
86,0.0025187743331062996
87,0.0030087683520859
88,0.0025546842700714
89,0.0021273414477834002
90,0.002111471893306
91,0.0011571970353502
92,0.0008264564627136002
93,0.0002991197374398
94,7.476486015669994e-05
95,-0.0006692361373983001
96,-0.0009829076722412
97,-0.0006104100341013999
98,-0.00022557424593980008
99,0.0
