,L2 Norm
0,-0.09616432895529141
1,-0.0320169125816051
2,-0.0216941269915369
3,-0.024226722971089503
4,-0.0007663605611166018
5,0.010265228621329801
6,0.0080345994634696
7,0.001322110973674199
8,-0.002941267448215698
9,-0.0167640205159772
10,-0.0080932934221543
11,-0.005962903537669501
12,-0.0026555924245007002
13,-0.00020409270868820134
14,-0.0006267258524118996
15,-0.0011091774223920998
16,-0.0003756163605213997
17,0.0002041564650373008
18,-0.004335064767005001
19,-0.004109789194497001
20,-0.0049484639279737015
21,-0.0028258991147504017
22,0.0018071894448730003
23,0.005497401967478801
24,0.008565541885386998
25,0.0077244209999381
26,0.003710564348591801
27,0.0025697162880167004
28,0.0016551800905085009
29,0.001727281847532099
30,0.0018315535482081
31,0.0025526956180712997
32,0.0024564190339136007
33,0.0010223735806361989
34,0.0002887707518721
35,0.0037040908852104997
36,0.004725685818247601
37,0.0059961479956214
38,0.0055463812851378
39,0.004784968570448399
40,0.0063747938527022995
41,0.0069320802792748005
42,0.004832297150423499
43,0.0038818377267676
44,0.0020782049317108996
45,0.0005876303616912009
46,0.002781033966680101
47,0.002089367704977199
48,0.0010077320273025993
49,0.0026652321183508005
50,0.0044628495311787
51,0.004681331463886901
52,0.0042429819499153
53,0.0053122339812436
54,0.0046960524394582
55,0.0057488885188529
56,0.0054869283311237
57,0.0052207524255782
58,0.004124800732557601
59,0.0031906519030985
60,0.0028282981217808
61,0.0025934399436254997
62,0.0017011157461350995
63,0.0018104432624644002
64,0.0008283370504278999
65,0.0004322240558127001
66,0.0005558605628659002
67,0.0007543369085939999
68,0.0008965895590394004
69,-0.0003398175175789997
70,-0.0021810149897150003
71,-0.0026782445371652
72,-0.0032896052574072007
73,-0.0012261101783923
74,-0.0011484488811916997
75,-0.0020136408887261002
76,-0.0019218638925515002
77,-0.0018359098793035002
78,-0.0013883309955895
79,-0.0016118712850751
80,-0.0023224584417094003
81,-0.0028402807790653
82,-0.0034087073469296
83,-0.0031505505439636
84,-0.0027934199428179
85,-0.0028186015149559
86,-0.0020836449121054
87,-0.0008238397328844001
88,-0.0020381252771974005
89,-0.0008972880490002999
90,-0.00042661649226959997
91,0.00047207408187580004
92,-0.00018843373795260007
93,-0.0001842996484964
94,0.00020477457445929991
95,0.00034780792062950004
96,-2.527306303979997e-05
97,0.00037588234935700005
98,-7.329401556359995e-05
99,0.0
