,L2 Norm
0,0.06105128991266279
1,0.04125845367921587
2,0.009996332660864499
3,0.02317886968771343
4,0.03320331308770255
5,0.028282974855320046
6,0.016422818868630198
7,0.01507099863977168
8,0.010456293515107249
9,0.01834829692369298
10,0.018960258567822286
11,0.013225984525420648
12,0.004376470167185017
13,0.007510183562527402
14,0.005634615238761982
15,0.008809299064057247
16,0.015504005509906507
17,0.011200231479089407
18,0.014421327312021018
19,0.0129174300849666
20,0.010794898854081079
21,0.01302237743461564
22,0.016917711438089292
23,0.017429110387190992
24,0.01695346572238255
25,0.013047237799671764
26,0.012398534140535284
27,0.012483245914882408
28,0.011524035782374022
29,0.011023913400724216
30,0.010257803810848237
31,0.009435753149590125
32,0.008677474718667469
33,0.007729452054689524
34,0.007737188225230992
35,0.008913202857850015
36,0.009887864340319599
37,0.011834835195292041
38,0.012520974119428877
39,0.012428193754524447
40,0.014164917576409013
41,0.013219982470031366
42,0.012003734320700734
43,0.013147120477865292
44,0.012506028176073365
45,0.011968969014984685
46,0.010180564036950886
47,0.009782687372201096
48,0.011490018122330303
49,0.010993634521849439
50,0.009415466183902318
51,0.009270089331447563
52,0.0094247377542971
53,0.007178456184734929
54,0.007161917191034811
55,0.00772567281265286
56,0.006864151167674899
57,0.006227901240742923
58,0.005771629690039288
59,0.007721830525637457
60,0.007033502581184362
61,0.0055899474959326895
62,0.00629338436954849
63,0.006021627686929861
64,0.005056216514725913
65,0.005786382481501059
66,0.005756361363407901
67,0.00631227178490483
68,0.006861960874002157
69,0.007396000022074792
70,0.007313476539880674
71,0.007047510724178256
72,0.006898270796999852
73,0.006340182243741639
74,0.006235917467916525
75,0.00485049616218699
76,0.004174239724927208
77,0.004267090400556572
78,0.0034270772089058806
79,0.0025551418747302716
80,0.002401000020281877
81,0.002464025521936492
82,0.002170218326137598
83,0.0025209597567668637
84,0.002731680091915487
85,0.003446629317263743
86,0.003495593738497292
87,0.0016130536720023781
88,0.0015997908902616103
89,0.0010833190882254577
90,0.0016463746385769825
91,0.0024872225458206568
92,0.0012856429478435483
93,0.0023761623635790738
94,0.0018518987785169526
95,0.0012446133937894096
96,0.0014677364157069017
97,0.0006626402077909827
98,0.0007224348066025139
99,0.0
