,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,4,128,1,124,32.0,3.125
1,9,64,2,55,7.111111111111111,14.0625
2,4,32,3,28,8.0,12.5
3,4,32,3,28,8.0,12.5
4,6,16,4,10,2.6666666666666665,37.5
5,4,64,2,60,16.0,6.25
6,4,16,4,12,4.0,25.0
7,4,16,4,12,4.0,25.0
8,4,16,4,12,4.0,25.0
9,6,16,4,10,2.6666666666666665,37.5
10,4,32,3,28,8.0,12.5
11,4,128,1,124,32.0,3.125
12,6,16,4,10,2.6666666666666665,37.5
13,9,64,2,55,7.111111111111111,14.0625
14,6,128,1,122,21.333333333333332,4.6875
15,6,64,2,58,10.666666666666666,9.375
16,6,256,0,250,42.666666666666664,2.34375
17,6,64,2,58,10.666666666666666,9.375
18,4,16,4,12,4.0,25.0
19,4,256,0,252,64.0,1.5625
20,6,256,0,250,42.666666666666664,2.34375
21,4,256,0,252,64.0,1.5625
22,4,16,4,12,4.0,25.0
23,6,64,2,58,10.666666666666666,9.375
24,9,16,4,7,1.7777777777777777,56.25
25,4,256,0,252,64.0,1.5625
26,6,256,0,250,42.666666666666664,2.34375
27,4,64,2,60,16.0,6.25
28,4,32,3,28,8.0,12.5
29,4,64,2,60,16.0,6.25
30,4,128,1,124,32.0,3.125
31,4,64,2,60,16.0,6.25
32,6,64,2,58,10.666666666666666,9.375
33,4,128,1,124,32.0,3.125
34,4,64,2,60,16.0,6.25
35,9,16,4,7,1.7777777777777777,56.25
36,4,128,1,124,32.0,3.125
37,4,16,4,12,4.0,25.0
38,4,64,2,60,16.0,6.25
39,4,32,3,28,8.0,12.5
40,4,32,3,28,8.0,12.5
41,4,256,0,252,64.0,1.5625
42,6,64,2,58,10.666666666666666,9.375
43,4,32,3,28,8.0,12.5
44,4,16,4,12,4.0,25.0
45,4,16,4,12,4.0,25.0
46,4,16,4,12,4.0,25.0
47,4,128,1,124,32.0,3.125
48,6,64,2,58,10.666666666666666,9.375
49,4,16,4,12,4.0,25.0
50,4,16,4,12,4.0,25.0
51,4,16,4,12,4.0,25.0
52,4,32,3,28,8.0,12.5
53,9,32,3,23,3.5555555555555554,28.125
54,6,64,2,58,10.666666666666666,9.375
55,6,32,3,26,5.333333333333333,18.75
56,6,128,1,122,21.333333333333332,4.6875
57,6,16,4,10,2.6666666666666665,37.5
58,6,64,2,58,10.666666666666666,9.375
59,6,256,0,250,42.666666666666664,2.34375
60,4,128,1,124,32.0,3.125
61,4,16,4,12,4.0,25.0
62,9,16,4,7,1.7777777777777777,56.25
63,6,16,4,10,2.6666666666666665,37.5
64,6,32,3,26,5.333333333333333,18.75
65,6,256,0,250,42.666666666666664,2.34375
66,4,128,1,124,32.0,3.125
67,6,128,1,122,21.333333333333332,4.6875
68,4,16,4,12,4.0,25.0
69,4,32,3,28,8.0,12.5
70,6,16,4,10,2.6666666666666665,37.5
71,6,32,3,26,5.333333333333333,18.75
72,6,64,2,58,10.666666666666666,9.375
73,6,128,1,122,21.333333333333332,4.6875
74,4,64,2,60,16.0,6.25
75,4,64,2,60,16.0,6.25
76,4,256,0,252,64.0,1.5625
77,9,64,2,55,7.111111111111111,14.0625
78,4,16,4,12,4.0,25.0
79,4,128,1,124,32.0,3.125
80,6,16,4,10,2.6666666666666665,37.5
81,4,32,3,28,8.0,12.5
82,6,64,2,58,10.666666666666666,9.375
83,4,32,3,28,8.0,12.5
84,4,32,3,28,8.0,12.5
85,6,64,2,58,10.666666666666666,9.375
86,6,64,2,58,10.666666666666666,9.375
87,6,16,4,10,2.6666666666666665,37.5
88,4,64,2,60,16.0,6.25
89,4,16,4,12,4.0,25.0
90,4,32,3,28,8.0,12.5
91,6,128,1,122,21.333333333333332,4.6875
92,6,256,0,250,42.666666666666664,2.34375
93,6,256,0,250,42.666666666666664,2.34375
94,6,16,4,10,2.6666666666666665,37.5
95,4,128,1,124,32.0,3.125
96,4,16,4,12,4.0,25.0
97,4,32,3,28,8.0,12.5
98,4,16,4,12,4.0,25.0
99,6,256,0,250,42.666666666666664,2.34375
100,9,256,0,247,28.444444444444443,3.515625
101,4,16,4,12,4.0,25.0
102,6,32,3,26,5.333333333333333,18.75
103,6,64,2,58,10.666666666666666,9.375
104,4,16,4,12,4.0,25.0
105,4,32,3,28,8.0,12.5
106,4,32,3,28,8.0,12.5
107,4,16,4,12,4.0,25.0
108,6,32,3,26,5.333333333333333,18.75
109,4,16,4,12,4.0,25.0
110,4,8,5,4,2.0,50.0
111,4,64,2,60,16.0,6.25
112,6,32,3,26,5.333333333333333,18.75
113,4,16,4,12,4.0,25.0
114,4,16,4,12,4.0,25.0
115,4,64,2,60,16.0,6.25
116,9,64,2,55,7.111111111111111,14.0625
117,4,32,3,28,8.0,12.5
118,9,128,1,119,14.222222222222221,7.03125
119,6,16,4,10,2.6666666666666665,37.5
120,6,256,0,250,42.666666666666664,2.34375
121,6,64,2,58,10.666666666666666,9.375
122,4,64,2,60,16.0,6.25
123,4,32,3,28,8.0,12.5
124,6,32,3,26,5.333333333333333,18.75
125,4,64,2,60,16.0,6.25
126,4,32,3,28,8.0,12.5
127,9,128,1,119,14.222222222222221,7.03125
128,4,32,3,28,8.0,12.5
129,6,16,4,10,2.6666666666666665,37.5
130,6,64,2,58,10.666666666666666,9.375
131,6,256,0,250,42.666666666666664,2.34375
132,4,16,4,12,4.0,25.0
133,4,64,2,60,16.0,6.25
134,4,16,4,12,4.0,25.0
135,4,32,3,28,8.0,12.5
136,4,64,2,60,16.0,6.25
137,6,64,2,58,10.666666666666666,9.375
138,6,128,1,122,21.333333333333332,4.6875
139,6,256,0,250,42.666666666666664,2.34375
140,9,64,2,55,7.111111111111111,14.0625
141,4,32,3,28,8.0,12.5
142,4,64,2,60,16.0,6.25
143,4,32,3,28,8.0,12.5
144,6,16,4,10,2.6666666666666665,37.5
145,4,16,4,12,4.0,25.0
146,6,64,2,58,10.666666666666666,9.375
147,4,16,4,12,4.0,25.0
148,4,128,1,124,32.0,3.125
149,6,128,1,122,21.333333333333332,4.6875
150,6,32,3,26,5.333333333333333,18.75
151,6,16,4,10,2.6666666666666665,37.5
152,6,64,2,58,10.666666666666666,9.375
153,4,256,0,252,64.0,1.5625
154,4,16,4,12,4.0,25.0
155,4,256,0,252,64.0,1.5625
156,6,16,4,10,2.6666666666666665,37.5
157,4,16,4,12,4.0,25.0
158,4,256,0,252,64.0,1.5625
159,6,256,0,250,42.666666666666664,2.34375
160,4,16,4,12,4.0,25.0
161,4,16,4,12,4.0,25.0
162,6,16,4,10,2.6666666666666665,37.5
163,6,128,1,122,21.333333333333332,4.6875
164,4,64,2,60,16.0,6.25
165,6,64,2,58,10.666666666666666,9.375
166,4,256,0,252,64.0,1.5625
167,6,64,2,58,10.666666666666666,9.375
168,4,16,4,12,4.0,25.0
169,6,128,1,122,21.333333333333332,4.6875
170,6,64,2,58,10.666666666666666,9.375
171,6,128,1,122,21.333333333333332,4.6875
172,4,16,4,12,4.0,25.0
173,4,256,0,252,64.0,1.5625
174,4,32,3,28,8.0,12.5
175,4,64,2,60,16.0,6.25
176,6,64,2,58,10.666666666666666,9.375
177,4,256,0,252,64.0,1.5625
178,9,256,0,247,28.444444444444443,3.515625
179,6,32,3,26,5.333333333333333,18.75
180,4,32,3,28,8.0,12.5
181,4,64,2,60,16.0,6.25
182,6,16,4,10,2.6666666666666665,37.5
183,4,128,1,124,32.0,3.125
184,6,32,3,26,5.333333333333333,18.75
185,4,256,0,252,64.0,1.5625
186,6,64,2,58,10.666666666666666,9.375
187,4,16,4,12,4.0,25.0
188,4,256,0,252,64.0,1.5625
189,6,32,3,26,5.333333333333333,18.75
190,6,256,0,250,42.666666666666664,2.34375
191,6,32,3,26,5.333333333333333,18.75
192,4,128,1,124,32.0,3.125
193,9,256,0,247,28.444444444444443,3.515625
194,6,16,4,10,2.6666666666666665,37.5
195,6,64,2,58,10.666666666666666,9.375
196,6,16,4,10,2.6666666666666665,37.5
197,6,256,0,250,42.666666666666664,2.34375
198,4,16,4,12,4.0,25.0
199,6,16,4,10,2.6666666666666665,37.5
200,6,256,0,250,42.666666666666664,2.34375
201,6,256,0,250,42.666666666666664,2.34375
202,4,16,4,12,4.0,25.0
203,6,32,3,26,5.333333333333333,18.75
204,6,64,2,58,10.666666666666666,9.375
205,4,32,3,28,8.0,12.5
206,6,256,0,250,42.666666666666664,2.34375
207,6,128,1,122,21.333333333333332,4.6875
208,4,128,1,124,32.0,3.125
209,4,128,1,124,32.0,3.125
210,6,128,1,122,21.333333333333332,4.6875
211,6,64,2,58,10.666666666666666,9.375
212,6,16,4,10,2.6666666666666665,37.5
213,4,128,1,124,32.0,3.125
214,4,64,2,60,16.0,6.25
215,4,16,4,12,4.0,25.0
216,4,256,0,252,64.0,1.5625
217,6,256,0,250,42.666666666666664,2.34375
218,4,64,2,60,16.0,6.25
219,4,32,3,28,8.0,12.5
220,6,128,1,122,21.333333333333332,4.6875
221,6,32,3,26,5.333333333333333,18.75
222,4,16,4,12,4.0,25.0
223,6,16,4,10,2.6666666666666665,37.5
224,4,64,2,60,16.0,6.25
225,6,128,1,122,21.333333333333332,4.6875
226,9,32,3,23,3.5555555555555554,28.125
227,4,16,4,12,4.0,25.0
228,6,16,4,10,2.6666666666666665,37.5
229,9,128,1,119,14.222222222222221,7.03125
230,4,256,0,252,64.0,1.5625
231,6,32,3,26,5.333333333333333,18.75
232,6,64,2,58,10.666666666666666,9.375
233,6,64,2,58,10.666666666666666,9.375
234,4,128,1,124,32.0,3.125
235,4,128,1,124,32.0,3.125
236,4,128,1,124,32.0,3.125
237,4,8,5,4,2.0,50.0
238,4,32,3,28,8.0,12.5
239,4,64,2,60,16.0,6.25
240,6,16,4,10,2.6666666666666665,37.5
241,6,64,2,58,10.666666666666666,9.375
242,6,16,4,10,2.6666666666666665,37.5
243,6,256,0,250,42.666666666666664,2.34375
244,4,128,1,124,32.0,3.125
245,4,16,4,12,4.0,25.0
246,6,128,1,122,21.333333333333332,4.6875
247,4,16,4,12,4.0,25.0
248,4,64,2,60,16.0,6.25
249,6,64,2,58,10.666666666666666,9.375
250,4,16,4,12,4.0,25.0
251,6,256,0,250,42.666666666666664,2.34375
252,4,16,4,12,4.0,25.0
253,4,16,4,12,4.0,25.0
254,4,64,2,60,16.0,6.25
255,4,64,2,60,16.0,6.25
256,4,128,1,124,32.0,3.125
257,4,16,4,12,4.0,25.0
258,6,16,4,10,2.6666666666666665,37.5
259,4,8,5,4,2.0,50.0
260,4,256,0,252,64.0,1.5625
261,4,32,3,28,8.0,12.5
