,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,961,4096,4,3135,4.26222684703434,23.4619140625
1,930,4096,4,3166,4.404301075268817,22.705078125
2,961,1024,6,63,1.065556711758585,93.84765625
3,930,2048,5,1118,2.2021505376344086,45.41015625
4,930,4096,4,3166,4.404301075268817,22.705078125
5,961,4096,4,3135,4.26222684703434,23.4619140625
6,961,8192,3,7231,8.52445369406868,11.73095703125
7,930,32768,1,31838,35.23440860215054,2.838134765625
8,961,8192,3,7231,8.52445369406868,11.73095703125
9,930,4096,4,3166,4.404301075268817,22.705078125
10,961,4096,4,3135,4.26222684703434,23.4619140625
11,961,16384,2,15423,17.04890738813736,5.865478515625
12,930,32768,1,31838,35.23440860215054,2.838134765625
13,961,8192,3,7231,8.52445369406868,11.73095703125
14,961,65536,0,64575,68.19562955254943,1.46636962890625
15,930,4096,4,3166,4.404301075268817,22.705078125
16,930,4096,4,3166,4.404301075268817,22.705078125
17,961,8192,3,7231,8.52445369406868,11.73095703125
18,930,65536,0,64606,70.46881720430108,1.4190673828125
19,961,32768,1,31807,34.09781477627472,2.9327392578125
20,930,4096,4,3166,4.404301075268817,22.705078125
21,961,8192,3,7231,8.52445369406868,11.73095703125
22,961,32768,1,31807,34.09781477627472,2.9327392578125
23,961,4096,4,3135,4.26222684703434,23.4619140625
24,961,4096,4,3135,4.26222684703434,23.4619140625
25,930,65536,0,64606,70.46881720430108,1.4190673828125
26,930,4096,4,3166,4.404301075268817,22.705078125
27,930,8192,3,7262,8.808602150537634,11.3525390625
28,930,4096,4,3166,4.404301075268817,22.705078125
29,900,16384,2,15484,18.204444444444444,5.4931640625
30,961,4096,4,3135,4.26222684703434,23.4619140625
31,961,65536,0,64575,68.19562955254943,1.46636962890625
32,961,65536,0,64575,68.19562955254943,1.46636962890625
33,961,4096,4,3135,4.26222684703434,23.4619140625
34,961,4096,4,3135,4.26222684703434,23.4619140625
35,961,16384,2,15423,17.04890738813736,5.865478515625
36,930,4096,4,3166,4.404301075268817,22.705078125
37,930,16384,2,15454,17.61720430107527,5.67626953125
38,930,32768,1,31838,35.23440860215054,2.838134765625
39,961,8192,3,7231,8.52445369406868,11.73095703125
40,961,4096,4,3135,4.26222684703434,23.4619140625
41,961,32768,1,31807,34.09781477627472,2.9327392578125
42,961,16384,2,15423,17.04890738813736,5.865478515625
43,930,16384,2,15454,17.61720430107527,5.67626953125
44,961,4096,4,3135,4.26222684703434,23.4619140625
45,961,16384,2,15423,17.04890738813736,5.865478515625
46,961,16384,2,15423,17.04890738813736,5.865478515625
47,930,4096,4,3166,4.404301075268817,22.705078125
48,930,65536,0,64606,70.46881720430108,1.4190673828125
49,961,8192,3,7231,8.52445369406868,11.73095703125
50,930,4096,4,3166,4.404301075268817,22.705078125
51,930,4096,4,3166,4.404301075268817,22.705078125
52,961,65536,0,64575,68.19562955254943,1.46636962890625
53,930,8192,3,7262,8.808602150537634,11.3525390625
54,930,4096,4,3166,4.404301075268817,22.705078125
55,961,4096,4,3135,4.26222684703434,23.4619140625
56,961,4096,4,3135,4.26222684703434,23.4619140625
57,961,4096,4,3135,4.26222684703434,23.4619140625
58,961,8192,3,7231,8.52445369406868,11.73095703125
59,900,65536,0,64636,72.81777777777778,1.373291015625
60,961,32768,1,31807,34.09781477627472,2.9327392578125
61,961,32768,1,31807,34.09781477627472,2.9327392578125
62,961,4096,4,3135,4.26222684703434,23.4619140625
63,961,16384,2,15423,17.04890738813736,5.865478515625
64,930,32768,1,31838,35.23440860215054,2.838134765625
65,961,65536,0,64575,68.19562955254943,1.46636962890625
66,900,4096,4,3196,4.551111111111111,21.97265625
67,930,4096,4,3166,4.404301075268817,22.705078125
68,961,16384,2,15423,17.04890738813736,5.865478515625
69,930,4096,4,3166,4.404301075268817,22.705078125
70,961,16384,2,15423,17.04890738813736,5.865478515625
71,930,8192,3,7262,8.808602150537634,11.3525390625
72,930,16384,2,15454,17.61720430107527,5.67626953125
73,930,4096,4,3166,4.404301075268817,22.705078125
74,961,4096,4,3135,4.26222684703434,23.4619140625
75,961,4096,4,3135,4.26222684703434,23.4619140625
76,930,16384,2,15454,17.61720430107527,5.67626953125
77,961,2048,5,1087,2.13111342351717,46.923828125
78,961,8192,3,7231,8.52445369406868,11.73095703125
79,961,8192,3,7231,8.52445369406868,11.73095703125
80,930,4096,4,3166,4.404301075268817,22.705078125
81,900,32768,1,31868,36.40888888888889,2.74658203125
82,930,4096,4,3166,4.404301075268817,22.705078125
83,900,8192,3,7292,9.102222222222222,10.986328125
