BRC Query,Data Size
"[[(18.17, 20.73), (20.57, 23.13)]]",6
"[[(17.65, 20.209999999999997), (20.94, 23.5)]]",9
"[[(24.89, 27.45), (12.65, 15.21)]]",9
"[[(23.67, 26.23), (5.79, 8.35)]]",9
"[[(25.12, 27.68), (5.41, 7.970000000000001)]]",4
"[[(24.81, 27.369999999999997), (26.31, 28.869999999999997)]]",6
"[[(7.15, 9.71), (15.8, 18.36)]]",6
"[[(11.64, 14.200000000000001), (20.57, 23.13)]]",9
"[[(7.41, 9.97), (0.05, 2.61)]]",4
"[[(19.1, 21.66), (25.67, 28.23)]]",6
"[[(21.78, 24.34), (14.13, 16.69)]]",6
"[[(3.81, 6.37), (4.79, 7.35)]]",9
"[[(28.8, 31.0), (12.21, 14.770000000000001)]]",6
"[[(12.92, 15.48), (6.66, 9.22)]]",9
"[[(13.15, 15.71), (25.15, 27.709999999999997)]]",4
"[[(11.41, 13.97), (21.04, 23.599999999999998)]]",4
"[[(22.59, 25.15), (13.25, 15.81)]]",6
"[[(11.63, 14.190000000000001), (22.37, 24.93)]]",6
"[[(20.99, 23.549999999999997), (13.84, 16.4)]]",9
"[[(19.07, 21.63), (17.87, 20.43)]]",6
"[[(0.0, 2.2800000000000002), (15.55, 18.11)]]",9
"[[(24.31, 26.869999999999997), (26.36, 28.919999999999998)]]",4
"[[(23.2, 25.759999999999998), (20.67, 23.23)]]",6
"[[(26.66, 29.22), (2.46, 5.02)]]",9
"[[(17.56, 20.119999999999997), (14.96, 17.52)]]",9
"[[(17.09, 19.65), (2.66, 5.220000000000001)]]",6
"[[(11.8, 14.360000000000001), (7.81, 10.37)]]",9
"[[(2.05, 4.609999999999999), (4.23, 6.790000000000001)]]",4
"[[(13.5, 16.06), (25.55, 28.11)]]",9
"[[(22.92, 25.48), (21.56, 24.119999999999997)]]",9
"[[(15.22, 17.78), (11.03, 13.59)]]",4
"[[(10.16, 12.72), (13.67, 16.23)]]",6
"[[(3.98, 6.54), (21.67, 24.23)]]",9
"[[(16.21, 18.77), (2.95, 5.51)]]",6
"[[(22.3, 24.86), (11.91, 14.47)]]",6
"[[(28.48, 31.0), (16.37, 18.93)]]",6
