SRC Query,Depth,BBoxes,Data Size
"[[(18.17, 20.73), (20.57, 23.13)]]",5,"[[16, 24], [20, 24]]",32
"[[(17.65, 20.209999999999997), (20.94, 23.5)]]",5,"[[16, 24], [20, 24]]",32
"[[(24.89, 27.45), (12.65, 15.21)]]",6,"[[24, 28], [12, 16]]",16
"[[(23.67, 26.23), (5.79, 8.35)]]",2,"[[16, 31], [0, 16]]",256
"[[(25.12, 27.68), (5.41, 7.970000000000001)]]",6,"[[24, 28], [4, 8]]",16
"[[(24.81, 27.369999999999997), (26.31, 28.869999999999997)]]",4,"[[24, 31], [24, 31]]",64
"[[(7.15, 9.71), (15.8, 18.36)]]",0,"[(0, 31), (0, 31)]",1024
"[[(11.64, 14.200000000000001), (20.57, 23.13)]]",5,"[[8, 16], [20, 24]]",32
"[[(7.41, 9.97), (0.05, 2.61)]]",3,"[[0, 16], [0, 8]]",128
"[[(19.1, 21.66), (25.67, 28.23)]]",4,"[[16, 24], [24, 31]]",64
"[[(21.78, 24.34), (14.13, 16.69)]]",0,"[(0, 31), (0, 31)]",1024
"[[(3.81, 6.37), (4.79, 7.35)]]",5,"[[0, 8], [4, 8]]",32
"[[(28.8, 31.0), (12.21, 14.770000000000001)]]",6,"[[28, 31], [12, 16]]",16
"[[(12.92, 15.48), (6.66, 9.22)]]",2,"[[0, 16], [0, 16]]",256
"[[(13.15, 15.71), (25.15, 27.709999999999997)]]",6,"[[12, 16], [24, 28]]",16
"[[(11.41, 13.97), (21.04, 23.599999999999998)]]",5,"[[8, 16], [20, 24]]",32
"[[(22.59, 25.15), (13.25, 15.81)]]",3,"[[16, 31], [8, 16]]",128
"[[(11.63, 14.190000000000001), (22.37, 24.93)]]",2,"[[0, 16], [16, 31]]",256
"[[(20.99, 23.549999999999997), (13.84, 16.4)]]",0,"[(0, 31), (0, 31)]",1024
"[[(19.07, 21.63), (17.87, 20.43)]]",4,"[[16, 24], [16, 24]]",64
"[[(0.0, 2.2800000000000002), (15.55, 18.11)]]",0,"[(0, 31), (0, 31)]",1024
"[[(24.31, 26.869999999999997), (26.36, 28.919999999999998)]]",4,"[[24, 31], [24, 31]]",64
"[[(23.2, 25.759999999999998), (20.67, 23.23)]]",3,"[[16, 31], [16, 24]]",128
"[[(26.66, 29.22), (2.46, 5.02)]]",4,"[[24, 31], [0, 8]]",64
"[[(17.56, 20.119999999999997), (14.96, 17.52)]]",0,"[(0, 31), (0, 31)]",1024
"[[(17.09, 19.65), (2.66, 5.220000000000001)]]",4,"[[16, 24], [0, 8]]",64
"[[(11.8, 14.360000000000001), (7.81, 10.37)]]",2,"[[0, 16], [0, 16]]",256
"[[(2.05, 4.609999999999999), (4.23, 6.790000000000001)]]",5,"[[0, 8], [4, 8]]",32
"[[(13.5, 16.06), (25.55, 28.11)]]",1,"[(0, 31), [16, 31]]",512
"[[(22.92, 25.48), (21.56, 24.119999999999997)]]",2,"[[16, 31], [16, 31]]",256
"[[(15.22, 17.78), (11.03, 13.59)]]",1,"[(0, 31), [0, 16]]",512
"[[(10.16, 12.72), (13.67, 16.23)]]",0,"[(0, 31), (0, 31)]",1024
"[[(3.98, 6.54), (21.67, 24.23)]]",2,"[[0, 16], [16, 31]]",256
"[[(16.21, 18.77), (2.95, 5.51)]]",4,"[[16, 24], [0, 8]]",64
"[[(22.3, 24.86), (11.91, 14.47)]]",3,"[[16, 31], [8, 16]]",128
"[[(28.48, 31.0), (16.37, 18.93)]]",6,"[[28, 31], [16, 20]]",16
"[[(27.71, 30.27), (16.15, 18.709999999999997)]]",5,"[[24, 31], [16, 20]]",32
"[[(13.84, 16.4), (23.38, 25.939999999999998)]]",1,"[(0, 31), [16, 31]]",512
"[[(23.33, 25.889999999999997), (6.71, 9.27)]]",2,"[[16, 31], [0, 16]]",256
"[[(18.66, 21.22), (5.47, 8.03)]]",2,"[[16, 31], [0, 16]]",256
"[[(17.75, 20.31), (0.65, 3.21)]]",5,"[[16, 24], [0, 4]]",32
"[[(19.66, 22.22), (20.5, 23.06)]]",5,"[[16, 24], [20, 24]]",32
"[[(5.72, 8.28), (8.0, 10.56)]]",3,"[[0, 16], [8, 16]]",128
"[[(14.9, 17.46), (7.37, 9.93)]]",1,"[(0, 31), [0, 16]]",512
"[[(3.08, 5.640000000000001), (17.37, 19.93)]]",5,"[[0, 8], [16, 20]]",32
"[[(4.06, 6.619999999999999), (1.14, 3.7)]]",6,"[[4, 8], [0, 4]]",16
"[[(8.17, 10.73), (12.14, 14.700000000000001)]]",6,"[[8, 12], [12, 16]]",16
"[[(18.08, 20.639999999999997), (18.46, 21.02)]]",4,"[[16, 24], [16, 24]]",64
"[[(20.23, 22.79), (0.3, 2.86)]]",6,"[[20, 24], [0, 4]]",16
"[[(25.31, 27.869999999999997), (24.97, 27.529999999999998)]]",6,"[[24, 28], [24, 28]]",16
"[[(11.55, 14.110000000000001), (26.48, 29.04)]]",4,"[[8, 16], [24, 31]]",64
"[[(14.15, 16.71), (19.97, 22.529999999999998)]]",1,"[(0, 31), [16, 31]]",512
"[[(7.8, 10.36), (5.69, 8.25)]]",2,"[[0, 16], [0, 16]]",256
"[[(16.64, 19.2), (18.26, 20.82)]]",4,"[[16, 24], [16, 24]]",64
"[[(17.36, 19.919999999999998), (20.02, 22.58)]]",6,"[[16, 20], [20, 24]]",16
"[[(21.62, 24.18), (20.41, 22.97)]]",3,"[[16, 31], [16, 24]]",128
