SRC Query,Depth,BBoxes,Data Size
"[[(20.0, 34.0), (20.0, 34.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(46.0, 60.0), (8.0, 22.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(31.0, 45.0), (11.0, 25.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(3.0, 17.0), (23.0, 37.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(13.0, 27.0), (23.0, 37.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(14.0, 28.0), (44.0, 58.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(36.0, 50.0), (47.0, 61.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(43.0, 57.0), (7.0, 21.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(32.0, 46.0), (22.0, 36.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(21.0, 35.0), (21.0, 35.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(47.0, 61.0), (38.0, 52.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(30.0, 44.0), (12.0, 26.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(4.0, 18.0), (47.0, 61.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(17.0, 31.0), (30.0, 44.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(46.0, 60.0), (10.0, 24.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(14.0, 28.0), (5.0, 19.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(44.0, 58.0), (14.0, 28.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(8.0, 22.0), (37.0, 51.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(2.0, 16.0), (49.0, 63.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(34.0, 48.0), (36.0, 50.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(10.0, 24.0), (30.0, 44.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(11.0, 25.0), (46.0, 60.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(24.0, 38.0), (5.0, 19.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(39.0, 53.0), (3.0, 17.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(0.0, 14.0), (32.0, 46.0)]]",4,"[[0, 15], [32, 47]]",256
"[[(3.0, 17.0), (38.0, 52.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(32.0, 46.0), (1.0, 15.0)]]",4,"[[32, 47], [0, 15]]",256
"[[(8.0, 22.0), (29.0, 43.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(20.0, 34.0), (45.0, 59.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(24.0, 38.0), (7.0, 21.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(9.0, 23.0), (32.0, 46.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(12.0, 26.0), (37.0, 51.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(2.0, 16.0), (15.0, 29.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(45.0, 59.0), (2.0, 16.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(13.0, 27.0), (1.0, 15.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(18.0, 32.0), (1.0, 15.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(26.0, 40.0), (10.0, 24.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(34.0, 48.0), (9.0, 23.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(32.0, 46.0), (11.0, 25.0)]]",3,"[[32, 47], [0, 31]]",512
"[[(2.0, 16.0), (37.0, 51.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(43.0, 57.0), (20.0, 34.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(26.0, 40.0), (37.0, 51.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(26.0, 40.0), (2.0, 16.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(12.0, 26.0), (48.0, 62.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(21.0, 35.0), (18.0, 32.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(16.0, 30.0), (22.0, 36.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(48.0, 62.0), (9.0, 23.0)]]",3,"[[48, 63], [0, 31]]",512
"[[(36.0, 50.0), (3.0, 17.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(24.0, 38.0), (8.0, 22.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(16.0, 30.0), (7.0, 21.0)]]",3,"[[16, 31], [0, 31]]",512
"[[(10.0, 24.0), (1.0, 15.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(4.0, 18.0), (26.0, 40.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(13.0, 27.0), (26.0, 40.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(5.0, 19.0), (2.0, 16.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(41.0, 55.0), (31.0, 45.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(14.0, 28.0), (8.0, 22.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(14.0, 28.0), (2.0, 16.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(38.0, 52.0), (12.0, 26.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(15.0, 29.0), (45.0, 59.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(6.0, 20.0), (27.0, 41.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(25.0, 39.0), (45.0, 59.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(30.0, 44.0), (41.0, 55.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(3.0, 17.0), (47.0, 61.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(2.0, 16.0), (48.0, 62.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(19.0, 33.0), (34.0, 48.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(24.0, 38.0), (24.0, 38.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(32.0, 46.0), (35.0, 49.0)]]",3,"[[32, 47], [32, 63]]",512
"[[(31.0, 45.0), (28.0, 42.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(43.0, 57.0), (28.0, 42.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(1.0, 15.0), (48.0, 62.0)]]",4,"[[0, 15], [48, 63]]",256
"[[(31.0, 45.0), (23.0, 37.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(13.0, 27.0), (24.0, 38.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(26.0, 40.0), (30.0, 44.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(14.0, 28.0), (46.0, 60.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(22.0, 36.0), (6.0, 20.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(4.0, 18.0), (9.0, 23.0)]]",2,"[[0, 31], [0, 31]]",1024
"[[(38.0, 52.0), (11.0, 25.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(38.0, 52.0), (37.0, 51.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(15.0, 29.0), (27.0, 41.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(3.0, 17.0), (41.0, 55.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(6.0, 20.0), (41.0, 55.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(35.0, 49.0), (27.0, 41.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(22.0, 36.0), (41.0, 55.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(30.0, 44.0), (18.0, 32.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(23.0, 37.0), (20.0, 34.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(31.0, 45.0), (25.0, 39.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(16.0, 30.0), (24.0, 38.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(0.0, 14.0), (20.0, 34.0)]]",1,"[[0, 31], (0, 63)]",2048
"[[(9.0, 23.0), (42.0, 56.0)]]",2,"[[0, 31], [32, 63]]",1024
"[[(23.0, 37.0), (31.0, 45.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(35.0, 49.0), (16.0, 30.0)]]",2,"[[32, 63], [0, 31]]",1024
"[[(34.0, 48.0), (26.0, 40.0)]]",1,"[[32, 63], (0, 63)]",2048
"[[(18.0, 32.0), (29.0, 43.0)]]",0,"[(0, 63), (0, 63)]",4096
"[[(34.0, 48.0), (32.0, 46.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(43.0, 57.0), (47.0, 61.0)]]",2,"[[32, 63], [32, 63]]",1024
"[[(28.0, 42.0), (16.0, 30.0)]]",0,"[(0, 63), (0, 63)]",4096
