,L2 Norm
0,-0.0646682611487273
1,-0.0535871626418118
2,-0.0469380868804854
3,-0.0289773014616613
4,-0.0382651799943499
5,-0.0256611595823554
6,-0.0182069822892656
7,-0.0146870350990252
8,-0.0145842397601903
9,-0.0118584990618543
10,-0.0180156185682505
11,-0.0171316990141407
12,-0.0215578066970134
13,-0.0199935785609647
14,-0.0232992512993682
15,-0.0210462942106205
16,-0.0204156612656434
17,-0.0188401017008604
18,-0.0156981767559995
19,-0.0176154477660943
20,-0.0183638054736463
21,-0.0216672171152794
22,-0.0202735142479589
23,-0.0203027940058614
24,-0.0195202459000904
25,-0.0217263094130148
26,-0.0211859212511341
27,-0.0199187205555835
28,-0.0179331478860641
29,-0.0188011110782787
30,-0.0153411237203511
31,-0.0158983961455236
32,-0.0146615873999794
33,-0.0153028228619183
34,-0.0153072585156619
35,-0.0154354506187046
36,-0.0167745436548462
37,-0.0162773931907376
38,-0.0143900959439288
39,-0.0134316417462646
40,-0.0122834339963873
41,-0.0126917710408829
42,-0.0121226831265659
43,-0.0125325572703872
44,-0.0135511395357013
45,-0.0137363326815694
46,-0.0136278523413874
47,-0.0127385831237229
48,-0.0121120890246662
49,-0.0117125573637869
50,-0.0115965496200861
51,-0.010839931657681
52,-0.0108989771256384
53,-0.0098974672183756
54,-0.0101551208431432
55,-0.0102262078274701
56,-0.0112302576816466
57,-0.0110238280456483
58,-0.0092698555733031
59,-0.0096017128101651
60,-0.0093979599471928
61,-0.0088176240130894
62,-0.0091864384583748
63,-0.0108463530737294
64,-0.01107087869275
65,-0.0109857565350912
66,-0.0111619098978848
67,-0.0106634057154966
68,-0.0118306703252379
69,-0.011291622323381
70,-0.0114763977629727
71,-0.0109723721508743
72,-0.0106684271550259
73,-0.0099791929625634
74,-0.0093001314208157
75,-0.0096251379095778
76,-0.009538286344638
77,-0.0101135325073123
78,-0.0099486692833531
79,-0.0101318310289897
80,-0.010275597395978
81,-0.010213069277015
82,-0.0102986622381776
83,-0.009913817289149
84,-0.0103477286343078
85,-0.0096823205653684
86,-0.009432619071598
87,-0.0094435092930856
88,-0.0088693675989812
89,-0.0096964190921121
90,-0.0097612849427648
91,-0.0091550533526768
92,-0.0093118454394034
93,-0.0100424688059923
94,-0.0102360267568677
95,-0.0100618990503781
96,-0.0095631938708452
97,-0.0094320645530345
98,-0.0093522327343057
99,-0.0090341574039862
100,-0.0090899241637008
101,-0.0091670469460808
102,-0.0089953824834293
103,-0.0089164833065627
104,-0.0084414676696196
105,-0.0082629674348551
106,-0.0081077554747492
107,-0.0078574085858188
108,-0.0079620591765646
109,-0.0077663950815023
110,-0.0074661504569549
111,-0.0075178576518493
112,-0.0075462647292192
113,-0.0079226604806736
114,-0.0075412333459502
115,-0.0075711248196343
116,-0.007495059740931
117,-0.00748750379055
118,-0.0075049319941615
119,-0.0075396433750026
120,-0.0072095781292757
121,-0.0074970363041587
122,-0.0073130302109691
123,-0.0071697148935314
124,-0.0069602298812611
125,-0.0071079126877387
126,-0.00666958386998
127,-0.0067751928593398
128,-0.0067940195053886
129,-0.0069953221901767
130,-0.0071802170448653
131,-0.0072569194363829
132,-0.0070114294809213
133,-0.0069595396257355
134,-0.0069552770819496
135,-0.0070848725242675
136,-0.0075334906644919
137,-0.0076763072451312
138,-0.0074973157869406
139,-0.0076065707363664
140,-0.0080195623203432
141,-0.0077607620434171
142,-0.0078738824690049
143,-0.0078148108434253
144,-0.0072651746969313
145,-0.0072206249492363
146,-0.0071341140400652
147,-0.007212697593421
148,-0.0073638774956296
149,-0.0073396942110084
150,-0.0069487247953665
151,-0.0067687001661366
152,-0.0066765102772838
153,-0.0065583944449895
154,-0.0068115638957228
155,-0.0068492053124598
156,-0.0069695268036131
157,-0.0072498915008816
158,-0.0071616258692821
159,-0.0069062200225593
160,-0.0070634606074678
161,-0.0068616904560943
162,-0.006950402289573
163,-0.0070116332330551
164,-0.0070038750916444
165,-0.0072571514425793
166,-0.0075907347498653
167,-0.0073890499360145
168,-0.0073741776484593
169,-0.0074792853497216
170,-0.0073764899290194
171,-0.0075810891648829
172,-0.007678181432644
173,-0.0078437921593634
174,-0.0079496784686616
175,-0.0079594732788064
176,-0.0080312763129396
177,-0.0079307702671731
178,-0.0080463478744265
179,-0.0081658306450389
180,-0.0080707008042025
181,-0.008042874364311
182,-0.0082121555526249
183,-0.008249830839762
184,-0.0081537855710128
185,-0.0081046472168394
186,-0.0077503131438462
187,-0.0075483009639442
188,-0.0074941864388263
189,-0.0075847609282
190,-0.0075942532074955
191,-0.007525977465124
192,-0.0072799546678652
193,-0.0070221720127613
194,-0.0068115684556328
195,-0.0066219028736186
196,-0.006502466061569
197,-0.0066304878743646
198,-0.0066117095951128
199,-0.0065843754449454
200,-0.0065720582999742
201,-0.0065469954256154
202,-0.00668749766786
203,-0.0067227938343845
204,-0.0067061544003375
205,-0.0065581216777118
206,-0.0062424619360388
207,-0.0062894064216024
208,-0.0063164808668975
