,DAG,KD
0,4,2
1,4,2
2,4,2
3,4,4
4,2,2
5,4,2
6,4,3
7,4,3
8,2,1
9,4,1
10,3,1
11,4,4
12,4,0
13,4,2
14,4,4
15,4,3
16,4,0
17,4,4
18,4,3
19,3,1
20,4,2
21,4,4
22,4,4
23,3,3
24,4,4
25,4,2
26,4,2
27,2,2
28,4,3
29,4,1
30,4,4
31,2,0
32,4,1
33,2,2
34,4,2
35,4,4
36,4,1
37,3,0
38,4,2
39,4,2
40,4,1
41,4,4
42,4,4
43,4,2
44,4,0
45,4,2
46,4,3
47,4,4
48,4,2
49,4,3
50,4,2
51,4,2
52,2,2
53,4,2
54,2,0
55,4,3
56,4,1
57,4,4
58,4,2
59,4,0
60,4,3
61,3,3
62,2,0
63,4,2
64,4,3
65,4,4
66,4,0
67,4,3
68,2,2
69,4,1
70,4,0
71,4,4
72,4,2
73,4,4
74,2,0
75,4,4
76,4,3
77,4,4
78,4,1
79,4,0
80,4,4
81,2,1
82,2,0
83,3,2
84,4,1
85,3,1
86,2,1
87,3,2
88,4,1
89,4,2
90,4,3
91,4,3
92,4,4
93,4,4
94,4,4
95,4,0
96,4,1
97,4,4
98,4,3
99,2,2
100,4,4
101,4,1
102,4,4
103,2,1
104,4,2
105,3,0
106,4,4
107,4,4
108,4,0
109,4,2
110,4,2
111,4,4
112,3,2
113,4,4
114,4,4
115,4,2
116,4,4
117,4,4
118,4,2
119,3,3
120,4,1
121,4,3
122,4,1
123,4,3
124,4,3
125,4,0
126,4,4
127,4,3
128,4,4
129,4,2
130,4,2
131,4,0
132,4,4
133,4,4
134,4,1
135,4,4
136,4,4
137,4,0
138,4,3
139,4,4
140,4,3
141,3,1
142,3,3
143,4,3
144,3,3
145,4,4
146,4,4
147,3,3
148,4,2
149,4,2
150,4,2
151,4,3
152,4,1
153,4,0
154,2,0
155,4,1
156,4,4
157,3,2
158,2,2
159,2,2
160,4,0
161,4,2
162,4,4
163,4,1
164,4,4
165,4,3
166,4,2
167,4,4
168,4,1
169,4,4
170,4,4
171,2,1
172,4,3
173,3,2
174,3,3
175,4,3
176,3,1
177,4,3
178,4,2
179,4,3
180,4,1
181,2,2
182,4,0
183,4,4
184,4,4
185,4,3
186,3,2
187,3,0
188,4,4
189,4,4
190,4,2
191,3,2
192,4,1
193,3,1
194,2,2
195,4,0
196,4,4
197,4,4
198,4,2
199,4,4
200,4,2
201,3,3
202,3,1
203,3,1
204,4,4
205,3,3
206,4,3
207,2,2
208,4,4
209,4,3
210,2,2
211,4,2
212,4,4
213,4,2
214,4,4
215,4,3
