,DAG,KD
0,3,0
1,2,2
2,4,4
3,3,2
4,2,2
5,4,1
6,3,0
7,4,4
8,4,4
9,4,1
10,4,0
11,2,3
12,3,2
13,4,2
14,4,1
15,4,2
16,3,2
17,4,4
18,2,1
19,4,4
20,4,2
21,4,2
22,4,3
23,4,4
24,4,4
25,2,1
26,2,1
27,4,4
28,2,1
29,2,1
30,3,0
31,2,2
32,4,2
33,3,0
34,2,1
35,4,4
36,2,3
37,3,2
38,3,0
39,2,2
40,2,0
41,2,3
42,2,0
43,2,1
44,4,1
45,3,2
46,4,3
47,4,4
48,2,1
49,2,1
50,4,3
51,4,3
52,2,3
53,4,1
54,3,0
55,2,1
56,3,2
57,2,3
58,3,1
59,4,2
60,4,4
61,3,2
62,2,3
63,4,4
64,3,2
65,3,0
66,2,0
67,2,3
68,3,2
69,3,2
70,3,2
71,4,0
72,3,2
73,4,1
74,4,0
75,4,2
76,2,0
77,4,4
78,2,1
79,4,3
80,2,1
81,4,2
82,2,3
83,3,0
84,4,3
85,3,1
86,2,2
87,4,4
88,4,3
89,4,4
90,3,0
91,4,2
92,4,3
93,2,3
94,4,3
95,3,0
96,3,2
97,3,2
98,3,2
99,3,2
100,2,1
101,4,4
102,4,2
103,4,0
104,2,0
105,4,4
106,2,0
107,4,4
108,4,2
109,4,4
110,4,4
111,3,2
112,3,1
113,4,1
114,4,4
115,3,2
116,3,2
117,4,4
118,2,1
119,3,2
120,3,2
121,3,2
122,4,4
123,2,2
124,2,1
125,4,2
126,4,2
127,3,0
128,4,4
129,4,1
130,4,1
131,3,2
132,4,1
133,3,2
134,4,1
135,3,0
136,4,4
137,3,1
138,3,2
139,3,2
140,2,1
141,4,0
142,2,2
143,2,3
144,3,2
145,4,4
146,3,2
147,4,2
148,2,0
149,4,2
150,2,1
151,3,1
152,4,2
153,4,4
154,2,2
155,2,2
156,3,2
157,2,2
158,4,2
159,4,1
160,2,0
161,2,2
162,4,4
163,2,2
164,2,3
165,4,3
166,2,2
167,4,3
168,2,3
169,2,0
170,3,0
171,4,3
172,2,1
173,2,2
174,2,0
175,4,0
176,2,3
177,2,3
178,2,1
179,4,4
180,4,4
181,2,3
182,4,2
183,3,0
184,4,4
185,3,0
186,2,3
187,4,4
188,4,4
189,4,0
190,2,0
191,2,1
192,2,0
193,2,3
194,3,2
195,2,1
196,4,2
197,2,1
198,3,0
199,2,3
200,2,1
201,4,4
202,2,3
203,4,4
204,2,1
205,3,2
206,2,2
207,2,2
208,4,4
209,3,2
210,4,2
211,2,1
212,3,2
213,4,0
214,4,4
215,4,2
216,3,0
217,4,2
218,4,2
219,4,4
220,2,2
221,4,4
222,4,2
223,4,4
224,3,0
225,4,1
226,4,1
227,3,0
228,2,1
229,3,0
230,4,2
231,2,3
232,3,0
233,2,2
234,4,3
235,4,4
236,4,4
237,4,3
238,3,2
239,2,1
240,3,2
241,3,1
242,4,3
243,4,1
244,4,4
245,3,2
246,4,3
247,3,2
248,4,3
249,4,4
250,3,0
251,4,3
252,4,4
253,4,1
254,4,4
255,4,3
256,4,3
257,3,2
258,4,3
259,4,2
260,3,2
261,4,4
262,2,1
263,3,0
264,4,0
265,4,4
266,2,1
267,3,0
268,3,2
269,4,4
270,2,1
271,4,1
272,4,0
273,4,2
274,2,2
275,2,3
276,4,4
277,3,2
278,3,2
279,4,4
280,2,1
281,4,4
282,3,1
283,4,4
284,2,0
285,4,2
286,4,3
287,4,2
288,4,4
289,2,2
290,4,2
291,4,0
292,2,1
293,4,4
294,4,1
295,2,1
296,4,4
297,2,2
298,3,1
299,2,3
300,2,3
301,4,1
302,2,3
303,3,2
304,3,2
305,4,3
306,3,0
307,4,4
308,4,4
309,4,4
310,4,4
311,2,3
