BRC Query,Data Size
"[62.629618598173025, 16.286137752062253, 82.03274256340033, 34.2052839326252]",360
"[18.88352520411626, 8.10967610110438, 74.32077410156543, 9.43844406784368]",56
"[0, 0.19364775079557778, 84.29934641154863, 3.8890554944165494]",255
"[0, 81.93322941854058, 99, 83.15063977442735]",200
"[48.41983743626826, 2.5937511225999246, 57.46605606230365, 23.346728441947356]",189
"[0.9549499888747167, 37.508854986643186, 16.390832701725675, 44.627853208595354]",112
"[13.81308704094142, 35.15029767186154, 23.1636352714442, 42.38650860045348]",70
"[75.37902566055472, 0.6608488416705157, 80.83264810957421, 19.68838620821873]",95
"[0, 30.94636560756127, -22.95045872317012, 35.54139760534589]",0
"[0, 75.35173872015973, 38.08337372675445, 81.1904578147818]",234
"[29.26843887122364, 68.59872496700427, 72.79352662445771, 78.15467270428205]",430
"[0.31390325807340436, 71.11967835654589, 22.895468124954895, 75.77020372141612]",88
"[37.53567566301652, 47.333551324563096, 59.34844880444881, 58.758825023653664]",242
"[15.4976681076345, 44.86645996315701, 69.05684459475364, 50.53588202794624]",324
"[0.687596964960892, 61.444193038469486, 4.938302720163198, 72.90987587678833]",44
"[3.3439156390189284, 44.82660407430095, 19.5908965920887, 54.416230034787965]",160
"[0, 21.216650883468212, 90.69113314535558, 25.616942337721852]",364
"[0, 24.982670187369397, 40.92517803524949, 28.84540822302558]",164
"[0, 76.14516249554632, 99, 81.74890058566585]",500
"[0, 51.13370416732527, 48.197910468499956, 55.078282032804296]",196
"[74.00224834354222, 7.139590222254956, 82.37857398117558, 39.570231610887106]",256
"[8.53765417792405, 46.982227278256616, 35.171965415314176, 54.684794068274456]",216
"[2.6337836132043746, 20.55899841833668, 6.214510118958785, 23.058079155709038]",12
"[8.38558766157063, 71.03560351031804, 79.85640078957655, 79.28734063813125]",568
"[47.69770799416429, 6.505905659704051, 76.52066598901094, 7.836982500136658]",29
"[68.74655648407966, 0, 71.49738166302878, 67.92260088224211]",204
"[3.0558318423749458, 43.758821372096904, 12.682142611895834, 47.28538004214395]",36
"[38.534955532143044, 25.54471775287024, 59.472113360959554, 35.38955525554989]",210
"[34.67055977127873, 0.798570679095932, 39.16811845675775, 11.99532428323835]",55
"[0, 55.97885423663713, 10.88938147764475, 61.53145088879233]",66
"[1.6094534554416757, 0, 3.7676479339818942, 16.68882933991269]",34
"[0, 20.010336309384854, 53.394631651067826, 28.123600407029265]",432
"[0, 59.42221771030533, 16.806795486818217, 62.93797706179061]",51
"[3.52323114322389, 5.2306974074202035, 59.43626426123103, 8.924134413945126]",168
"[0, 79.73122272056759, 5.457332528489339, 82.32303030308053]",18
