SRC Query,Depth,BBoxes,Data Size
"[0.19194522618151602, 19.49994463904313, 20.748040256228208, 21.331765829934874]",4,"[0, 0, 25, 25]",625
"[29.14476130612687, 73.83011059585313, 36.271322854268206, 75.53614530199783]",6,"[25, 68, 37, 81]",156
"[38.97565416027877, 45.911815361915174, 56.49597154683025, 49.376294276522074]",4,"[37, 25, 62, 50]",625
"[38.02775020430307, 86.84126860435373, 80.9374876667029, 88.18355206292031]",0,"[0, 0, 99, 99]",10000
"[11.01562794617248, 45.97553686687116, 31.09468186969367, 47.008479565722034]",2,"[0, 0, 50, 50]",2500
"[89.73277400540432, 13.343743299228356, 92.89076237073219, 34.287432135833]",5,"[87, 12, 99, 37]",313
"[62.513845256605336, 28.209359429062346, 73.30263913039977, 31.05234958949553]",6,"[62, 25, 75, 37]",156
"[21.466441858109416, 44.707397792359515, 23.52559835965583, 53.73740850821699]",7,"[18, 43, 25, 55]",78
"[40.75849480097697, 52.3422996157012, 55.93280287170007, 53.80772180008208]",4,"[37, 50, 62, 75]",625
"[39.82980456212877, 28.16999630474502, 48.00721530955746, 29.917469833312904]",6,"[37, 25, 50, 37]",156
"[33.883669123234604, 54.39081413669075, 69.04559510790742, 56.27974249842477]",2,"[25, 50, 74, 99]",2500
"[24.491295539362625, 5.801154169172989, 26.76788930453441, 8.970136636314278]",10,"[24, 5, 27, 9]",10
"[56.08417817388353, 87.76219057855836, 60.47753484070208, 91.53730150742571]",8,"[56, 87, 62, 93]",39
"[50.46985874119974, 46.64359657086781, 56.078611405520924, 49.66270596072448]",6,"[50, 37, 62, 50]",156
"[33.65078804405467, 92.42162221510661, 40.62646399116884, 94.16279806357294]",6,"[31, 87, 43, 99]",156
"[37.40237151662322, 23.628348892158197, 56.98244839087781, 25.48116263192774]",4,"[37, 12, 62, 37]",625
"[42.630264725470425, 8.645848734572613, 54.69098143491598, 10.31277970076472]",4,"[37, 0, 62, 25]",625
"[6.6260866634610744, 20.144082764011856, 20.016682995157783, 21.144536716809753]",4,"[0, 0, 25, 25]",625
"[30.79581132752306, 2.4594154298451376, 50.066225257554926, 3.8251647270453306]",2,"[25, 0, 74, 50]",2500
"[1.2600857702661896, 83.03852936252258, 16.065571152389243, 84.65387428943097]",4,"[0, 75, 25, 99]",625
"[19.044790016930378, 29.541382855733627, 57.66285342710763, 31.017931165853714]",0,"[0, 0, 99, 99]",10000
"[39.649595241509275, 45.27887649866383, 53.07855081158709, 46.53976143127588]",4,"[37, 25, 62, 50]",625
"[76.93636472341777, 55.1712022009496, 80.43280208177438, 67.64067851928098]",5,"[75, 50, 87, 75]",312
"[49.45951436533554, 83.68498847623945, 52.69342123988725, 85.77280086652671]",8,"[49, 81, 55, 87]",39
"[18.778319027371243, 17.543916348565876, 24.66620685763546, 20.902823563795902]",8,"[18, 16, 25, 22]",40
"[40.52761126567119, 34.18787949886238, 41.69386946249845, 37.92456759619024]",9,"[40, 31, 43, 38]",20
"[44.00722061957944, 56.13380283668946, 65.33717968334793, 58.03041596218083]",2,"[25, 50, 74, 99]",2500
"[2.3720745964415375, 57.99227530221999, 14.726367181403624, 60.087290977013126]",4,"[0, 50, 25, 75]",625
"[80.07344939437063, 57.59644312356498, 87.15785965675504, 59.55852222020492]",4,"[75, 50, 99, 75]",625
"[24.965463603171425, 25.393495667897227, 34.53210300901044, 27.668194717918034]",6,"[24, 25, 37, 37]",156
"[61.96972203181061, 79.58423398226151, 79.39590739579356, 82.25396048205118]",2,"[50, 50, 99, 99]",2500
"[57.80027274112391, 24.701113904139252, 59.23331864689394, 65.58233412332554]",1,"[50, 0, 99, 99]",5000
"[17.6255044401378, 17.430575371007947, 40.07431223137857, 20.04321271551792]",2,"[0, 0, 50, 50]",2500
"[32.510539893539374, 82.46789054747083, 37.66056629991884, 85.57194635757419]",6,"[31, 75, 43, 87]",156
"[77.51366115517634, 42.245151274521845, 80.23257589593675, 43.60267579509729]",10,"[77, 41, 81, 44]",10
"[59.857778280539954, 70.83162091219121, 62.19053157730063, 76.67485997294723]",7,"[59, 68, 65, 80]",78
"[51.755083821631146, 90.26393558641408, 64.2039956827131, 91.77820405056028]",4,"[50, 75, 75, 99]",625
"[35.66937295663763, 27.348294068088084, 55.148066559287585, 30.924870978629805]",2,"[25, 0, 74, 50]",2500
"[44.29279772744038, 8.012476291084784, 68.3027443381241, 10.22377257443727]",2,"[25, 0, 74, 50]",2500
"[47.20765187927695, 71.15696443299477, 66.04416993984313, 72.47651168575477]",2,"[25, 50, 74, 99]",2500
"[9.444960987381, 76.72106899030554, 15.364726373268269, 83.11238774451277]",6,"[6, 75, 18, 87]",156
"[11.330068208258767, 24.971371679235624, 19.168934889380413, 26.57009702600045]",4,"[0, 12, 25, 37]",625
