BRC Query,Data Size
"[6.86, 49.71, 7.81, 50.41]",15
"[7.81, 48.58, 8.44, 49.51]",9
"[10.45, 53.71, 11.27, 54.41]",7
"[12.84, 51.93, 13.45, 52.84]",274
"[8.17, 49.74, 9.0, 50.36]",87
"[11.89, 52.43, 12.72, 53.19]",14
"[12.67, 53.57, 13.52, 54.44]",0
"[8.35, 49.76, 9.34, 50.61]",107
"[10.66, 48.49, 11.2, 49.19]",0
"[11.39, 49.09, 11.82, 49.69]",0
"[11.65, 52.87, 12.24, 53.61]",5
"[10.68, 48.51, 11.13, 49.14]",0
"[11.19, 53.46, 11.82, 53.89]",0
"[9.19, 54.25, 9.68, 54.79805556]",8
"[8.54, 53.66, 9.04, 54.26]",0
"[9.56, 48.19, 9.99, 48.99]",0
"[7.31, 50.91, 8.2, 51.61]",91
"[7.0, 49.31, 7.94, 49.84]",0
"[11.46, 53.87, 12.04, 54.79805556]",0
"[10.16, 52.36, 10.95, 53.23]",29
"[7.73, 48.65, 8.2, 49.48]",0
"[10.37, 53.83, 10.89, 54.7]",6
"[9.88, 53.46, 10.68, 54.33]",28
"[8.57, 48.45, 9.28, 49.2]",36
"[12.12, 53.95, 12.97, 54.66]",8
"[9.21, 54.12, 9.76, 54.72]",5
"[12.12, 49.8, 12.57, 50.49]",0
"[9.26, 52.24, 10.18, 52.98]",61
"[10.69, 53.53, 11.53, 53.99]",2
"[9.25, 48.4, 10.2, 49.01]",0
"[7.55, 52.45, 8.01, 53.17]",0
"[12.92, 51.84, 13.7, 52.46]",38
"[11.22, 51.4, 11.73, 52.14]",3
"[11.71, 52.5, 12.28, 53.27]",16
"[11.44, 49.77, 12.22, 50.25]",0
"[8.89, 52.74, 9.84, 53.43]",0
"[8.24, 50.46, 8.88, 51.21]",0
"[7.87, 52.29, 8.39, 53.09]",0
"[11.33, 50.75, 11.83, 51.49]",17
"[10.83, 48.13, 11.41, 48.86]",0
"[9.15, 53.19, 9.78, 53.88]",4
"[11.16, 51.15, 11.62, 51.6]",0
"[13.28, 52.26, 13.80833333, 52.73]",232
"[10.26, 51.02, 10.94, 51.94]",5
"[10.19, 54.08, 11.1, 54.77]",2
"[9.57, 52.76, 10.52, 53.43]",0
"[7.62, 52.48, 8.52, 53.29]",0
"[6.79, 49.8, 7.3, 50.72]",14
"[9.4, 53.16, 10.16, 53.94]",18
"[8.42, 50.59, 9.22, 51.03]",0
"[7.59, 48.77, 8.04, 49.51]",0
"[12.19, 52.22, 12.63, 53.0]",11
"[13.09, 50.75, 13.56, 51.28]",0
"[10.82, 53.63, 11.49, 54.32]",2
