SRC Query,Depth,BBoxes,Data Size
"[11.12, 51.13, 11.71, 51.6]",5,"[11.0775, 50.84472222, 12.26444444, 52.43388889]",51
"[13.34, 49.68, 13.80833333, 50.27]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[12.96, 52.61, 13.63, 53.0]",2,"[9.675277778, 52.43388889, 13.80833333, 54.79805556]",411
"[10.82, 48.78, 11.02, 49.38]",6,"[10.71777778, 48.11722222, 11.0775, 49.56916667]",25
"[10.26, 50.93, 10.82, 51.1]",6,"[10.04444444, 49.90583333, 10.98944444, 51.21472222]",26
"[7.34, 51.35, 8.27, 51.56]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[9.54, 51.06, 10.21, 51.57]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[8.72, 53.18, 9.19, 53.55]",6,"[8.6275, 52.22194444, 9.222222222, 54.79805556]",26
"[10.25, 54.54, 10.5, 54.79805556]",11,"[10.25, 53.93972222, 10.77722222, 54.79805556]",1
"[10.44, 53.0, 11.32, 53.93]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[10.32, 51.44, 10.91, 52.22]",6,"[9.983333333, 51.21472222, 11.0775, 52.36138889]",26
"[8.53, 53.34, 9.09, 53.83]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[9.33, 54.07, 10.18, 54.79805556]",4,"[8.608055556, 52.30055556, 10.18388889, 54.79805556]",103
"[8.41, 52.83, 9.38, 53.1]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[8.28, 48.81, 8.64, 49.46]",4,"[7.015555556, 48.11722222, 8.818611111, 50.11861111]",102
"[10.22, 51.08, 11.19, 51.99]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[10.74, 50.88, 11.64, 51.36]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.09, 48.76, 8.32, 49.71]",10,"[7.600833333, 48.11722222, 8.394166667, 50.05388889]",1
"[8.37, 53.66, 8.9, 54.64]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[10.08, 53.44, 10.32, 53.59]",7,"[9.978888889, 52.68833333, 10.37972222, 53.68222222]",12
"[8.54, 50.51, 8.94, 51.29]",4,"[8.401944444, 50.04666667, 9.675277778, 51.34805556]",103
"[7.84, 50.7, 8.13, 51.68]",3,"[7.186388889, 50.40638889, 9.675277778, 51.70611111]",205
"[8.47, 54.16, 8.86, 54.79805556]",6,"[7.676666667, 52.06805556, 8.877777778, 54.79805556]",26
"[12.6, 48.26, 13.22, 48.56]",7,"[11.64555556, 48.14444444, 13.80833333, 50.84472222]",13
"[10.6, 49.84, 11.04, 50.79]",4,"[9.675277778, 48.11722222, 11.0775, 51.21472222]",102
"[8.0, 54.39, 8.58, 54.57]",11,"[7.676666667, 52.15166667, 8.6675, 54.79805556]",1
"[7.57, 48.51, 8.01, 49.3]",6,"[7.219722222, 48.11722222, 8.401944444, 50.43166667]",25
"[12.24, 54.35, 12.53, 54.79805556]",11,"[12.15777778, 54.09027778, 13.32694444, 54.79805556]",1
"[10.92, 52.59, 11.45, 53.47]",5,"[9.675277778, 52.53805556, 12.80666667, 53.57861111]",51
"[9.63, 54.54, 9.86, 54.79805556]",6,"[9.598333333, 52.39222222, 9.941388889, 54.79805556]",26
"[9.03, 49.85, 9.23, 50.12]",3,"[8.401944444, 48.11722222, 9.675277778, 51.34805556]",205
"[13.03, 51.33, 13.80833333, 52.16]",5,"[12.26444444, 50.84472222, 13.80833333, 52.43388889]",52
"[13.0, 49.62, 13.75, 50.49]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[7.84, 54.07, 8.77, 54.54]",6,"[7.676666667, 52.06805556, 8.877777778, 54.79805556]",26
"[13.53, 50.5, 13.80833333, 51.47]",5,"[11.50222222, 48.26055556, 13.80833333, 51.47916667]",51
"[9.62, 50.1, 9.82, 50.8]",6,"[9.6025, 49.90583333, 11.20555556, 50.91222222]",26
"[10.12, 52.04, 11.11, 52.37]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.54, 51.84, 7.92, 52.76]",4,"[7.419722222, 51.70416667, 8.536111111, 54.79805556]",103
"[12.59, 51.17, 13.54, 51.49]",7,"[12.36472222, 50.84472222, 13.80833333, 51.9575]",13
"[11.25, 52.85, 11.59, 53.25]",10,"[10.08861111, 52.68833333, 11.74083333, 53.2975]",1
"[10.99, 50.98, 11.58, 51.5]",6,"[10.84972222, 50.97138889, 11.59583333, 52.43388889]",26
"[8.58, 52.1, 9.0, 52.3]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[12.51, 53.82, 13.22, 54.2]",7,"[12.12277778, 53.52138889, 13.32694444, 54.79805556]",13
"[10.56, 52.63, 11.41, 53.52]",7,"[9.675277778, 52.59277778, 11.84861111, 53.52138889]",13
"[13.08, 50.18, 13.29, 50.39]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[6.9, 50.16, 7.81, 50.64]",4,"[6.7375, 48.11722222, 8.401944444, 50.94805556]",102
"[9.76, 48.39, 9.94, 49.19]",8,"[9.675277778, 48.11722222, 9.975277778, 50.54388889]",6
"[10.47, 50.89, 10.93, 51.77]",5,"[10.12972222, 49.93166667, 11.0775, 52.36555556]",51
"[12.03, 49.03, 12.18, 49.28]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[7.32, 54.45, 7.71, 54.79805556]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[10.79, 52.19, 11.14, 52.94]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[7.09, 49.86, 7.72, 50.38]",4,"[6.7375, 48.11722222, 8.401944444, 50.94805556]",102
"[10.55, 51.96, 11.51, 52.24]",4,"[10.25361111, 49.62833333, 11.59583333, 52.43388889]",103
"[11.87, 52.77, 12.12, 53.68]",7,"[10.68222222, 52.68833333, 12.42472222, 54.07166667]",13
