BRC Query,Data Size
"[7.59, 52.68, 8.34, 53.61]",0
"[11.59, 50.78, 12.59, 51.57]",38
"[8.12, 48.29, 9.0, 49.23]",13
"[12.07, 51.95, 12.91, 52.9]",20
"[12.02, 49.93, 12.82, 50.76]",0
"[7.84, 52.32, 8.68, 53.12]",0
"[7.01, 53.99, 7.8, 54.79805556]",0
"[10.01, 51.57, 10.73, 52.44]",25
"[11.89, 51.47, 12.74, 52.35]",16
"[10.16, 51.78, 10.98, 52.65]",45
"[8.36, 52.14, 9.11, 53.12]",34
"[7.75, 49.12, 8.6, 50.04]",33
"[7.43, 51.16, 8.17, 52.1]",166
"[11.05, 49.44, 11.89, 50.15]",15
"[7.11, 53.9, 8.02, 54.64]",0
"[12.33, 53.01, 13.32, 53.73]",11
"[8.05, 50.7, 8.85, 51.64]",4
"[8.02, 54.01, 8.92, 54.78]",0
"[9.82, 49.52, 10.53, 50.31]",14
"[8.9, 53.3, 9.81, 54.12]",5
"[11.75, 50.15, 12.51, 50.97]",0
"[12.62, 49.77, 13.49, 50.54]",0
"[13.03, 48.81, 13.80833333, 49.76]",0
"[8.35, 48.72, 9.21, 49.53]",43
"[12.55, 53.91, 13.27, 54.79805556]",0
"[8.69, 48.6, 9.62, 49.52]",36
"[8.75, 53.45, 9.5, 54.36]",0
"[10.25, 48.57, 11.23, 49.38]",1
"[12.78, 52.75, 13.73, 53.46]",16
"[12.53, 50.01, 13.52, 50.75]",0
"[11.29, 49.63, 12.09, 50.61]",5
"[8.38, 51.98, 9.37, 52.86]",78
"[9.29, 49.51, 10.11, 50.51]",24
"[9.78, 50.58, 10.71, 51.42]",23
"[7.75, 53.39, 8.53, 54.3]",0
"[12.85, 49.17, 13.68, 50.1]",0
"[7.79, 48.36, 8.58, 49.07]",11
"[10.94, 50.78, 11.73, 51.51]",34
"[12.84, 51.71, 13.80833333, 52.59]",276
"[10.73, 53.11, 11.55, 54.05]",2
"[12.93, 51.05, 13.77, 51.8]",0
"[10.21, 52.66, 10.93, 53.37]",0
"[9.55, 49.94, 10.42, 50.82]",17
"[10.54, 53.07, 11.28, 53.92]",5
"[10.68, 50.26, 11.52, 51.26]",41
"[9.87, 51.94, 10.65, 52.75]",36
"[11.93, 50.2, 12.75, 51.12]",0
"[9.98, 50.64, 10.76, 51.54]",26
"[8.07, 53.41, 9.01, 54.33]",0
"[11.28, 49.73, 12.04, 50.55]",4
"[11.23, 48.3, 11.98, 49.04]",24
"[12.93, 53.57, 13.8, 54.36]",0
"[8.27, 52.41, 9.06, 53.32]",0
"[8.12, 52.32, 9.11, 53.08]",0
"[9.89, 49.12, 10.78, 50.05]",16
"[13.07, 52.88, 13.80833333, 53.63]",6
"[12.55, 48.98, 13.55, 49.79]",0
"[12.09, 49.75, 13.08, 50.72]",0
"[10.75, 51.95, 11.47, 52.88]",22
"[8.99, 49.31, 9.87, 50.05]",21
"[7.7, 53.22, 8.43, 53.97]",0
"[9.56, 50.48, 10.52, 51.27]",38
"[11.4, 48.89, 12.31, 49.66]",1
"[11.72, 51.61, 12.44, 52.58]",14
"[12.03, 49.06, 12.94, 49.95]",0
