BRC Query,Data Size
"[21.04, -14.32, 22.62, -12.55]",0
"[56.07, -92.45, 57.36, -90.86]",0
"[50.02, 65.05, 51.49, 66.93]",0
"[16.18, -140.54, 18.33, -138.97]",0
"[7.31, -25.26, 8.94, -23.06]",0
"[-38.75, -2.46, -37.65, -0.33]",0
"[-4.06, -17.93, -2.58, -16.23]",0
"[-16.98, 96.09, -15.22, 98.0]",0
"[7.21, 169.14, 9.29, 170.35]",0
"[10.22, 86.1, 11.39, 87.21]",0
"[8.37, 2.51, 9.96, 3.82]",0
"[-19.87, 104.28, -18.24, 106.02]",0
"[-7.37, 143.53, -6.16, 144.76]",0
"[-21.76, 76.96, -20.72, 79.01]",0
"[-23.88, -139.09, -21.96, -137.59]",0
"[6.79, -17.23, 7.83, -16.09]",0
"[15.01, -27.93, 16.15, -26.19]",0
"[-26.82, -141.74, -24.71, -140.67]",0
"[-22.46, 121.44, -20.78, 122.47]",0
"[4.54, 109.72, 6.64, 111.94]",0
"[-19.74, -47.79, -17.87, -46.48]",0
"[-30.9, -37.71, -28.87, -36.69]",0
"[-20.92, 148.53, -19.04, 149.78]",0
"[44.3, -168.67, 45.85, -166.67]",0
"[12.72, -83.83, 14.52, -82.76]",0
"[-28.31, 160.75, -26.71, 162.93]",0
"[-35.11, -155.18, -33.31, -153.88]",0
"[38.69, 158.78, 40.7, 159.8]",0
"[17.86, 64.3, 19.53, 65.48]",0
"[-2.63, 169.0, -0.52, 170.94]",0
"[-12.0, -82.99, -9.86, -80.94]",0
"[51.08, -3.34, 52.09, -2.09]",16
"[50.63, -95.4, 51.99, -94.22]",0
"[-30.89, 143.55, -29.79, 145.31]",0
"[59.05, -48.09, 60.89, -47.04]",0
"[-2.73, -69.85, -0.58, -68.41]",0
"[5.11, 34.66, 6.12, 36.62]",0
"[-35.61, 23.98, -33.72, 25.09]",0
"[44.21, -12.42, 45.28, -10.45]",0
"[23.05, 78.21, 24.99, 80.07]",0
"[18.93, -22.41, 20.52, -20.72]",0
"[-19.18, 38.03, -17.35, 40.18]",0
"[42.87, 130.31, 44.28, 132.2]",0
"[12.15, 66.11, 13.37, 67.27]",0
"[51.92, -65.64, 54.05, -63.51]",0
"[-45.64, -66.26, -44.51, -64.51]",0
"[-0.45, -161.77, 1.73, -160.48]",0
"[10.74, -27.34, 12.51, -26.17]",0
"[35.28, -127.45, 37.5, -125.37]",0
"[-38.97, 164.24, -37.09, 165.5]",0
"[15.75, 42.62, 17.68, 43.98]",0
"[-42.63, -82.88, -41.1, -81.2]",0
"[11.92, 30.28, 12.98, 32.32]",0
"[32.75, 73.9, 34.83, 75.03]",0
"[11.24, 171.24, 13.03, 172.3]",0
"[-33.83, 84.54, -32.16, 86.39]",0
"[7.87, 91.95, 9.31, 93.87]",0
"[-4.32, -16.96, -2.24, -15.24]",0
"[10.11, -154.96, 11.39, -153.04]",0
"[-30.96, 54.88, -29.12, 56.3]",0
"[44.54, -154.41, 46.45, -153.15]",0
"[17.97, 32.69, 20.2, 34.81]",0
"[43.14, -62.14, 44.41, -60.82]",0
"[52.66, -67.87, 53.74, -66.22]",0
"[-48.07, 76.02, -46.11, 78.04]",0
"[-17.3, 47.28, -15.15, 49.0]",0
"[40.31, 112.17, 41.9, 113.21]",0
"[7.48, 8.93, 9.19, 10.59]",0
"[-23.09, 72.45, -21.84, 73.65]",0
"[14.21, 0.38, 15.66, 1.5]",0
"[56.26, -100.33, 57.72, -98.69]",0
"[35.58, 137.61, 36.83, 138.84]",0
"[-1.86, 113.53, -0.17, 114.96]",0
"[14.99, 95.04, 16.12, 96.84]",0
"[47.4, 115.47, 49.59, 117.51]",0
"[-4.22, 3.74, -3.0, 5.3]",0
"[-42.17, -23.85, -40.03, -22.71]",0
"[0.46, 130.16, 2.46, 131.5]",0
"[40.54, -41.03, 41.71, -39.52]",0
"[4.28, 43.92, 5.73, 45.6]",0
"[-10.22, 155.52, -8.12, 156.55]",0
"[-37.7, -45.42, -35.82, -44.29]",0
"[-12.58, 50.84, -10.82, 52.77]",0
"[53.54, -13.96, 54.61, -12.66]",0
"[18.7, 162.76, 20.35, 164.7]",0
"[15.35, 2.54, 17.26, 4.3]",0
"[18.39, -17.96, 20.31, -16.48]",0
"[57.28, 172.87, 58.38, 174.34]",0
"[30.67, 27.09, 32.16, 29.23]",0
"[-20.6, -162.31, -18.85, -160.31]",0
"[-43.18, -121.64, -42.16, -119.42]",0
"[11.17, 85.21, 12.7, 86.42]",0
"[-35.47, 149.06, -33.98, 150.55]",0
"[20.6, 127.5, 22.34, 129.45]",0
"[-39.51, -14.8, -37.71, -13.05]",0
"[53.47, 102.64, 54.86, 104.57]",0
"[-30.84, 44.67, -29.17, 46.86]",0
"[-14.54, -22.03, -12.73, -20.74]",0
"[35.0, 156.08, 36.01, 157.5]",0
"[-7.15, -40.65, -6.07, -39.36]",0
"[16.86, 170.48, 18.84, 172.09]",0
"[-16.96, -26.61, -15.49, -25.06]",0
"[36.61, -1.18, 38.8, 0.6]",0
"[46.04, 3.45, 47.85, 5.16]",0
"[48.59, 138.61, 50.18, 140.34]",0
"[-8.3, -160.57, -6.97, -159.32]",0
"[31.87, -89.47, 33.13, -88.19]",0
"[11.19, 35.28, 12.52, 36.93]",0
"[24.7, 170.59, 26.69, 172.53]",0
"[-8.04, -163.96, -6.16, -162.04]",0
"[-31.82, -115.6, -30.58, -114.25]",0
"[-1.11, -94.97, 0.83, -93.48]",0
"[-18.44, 59.0, -17.25, 60.5]",0
"[20.1, -159.96, 22.22, -158.32]",5
"[-7.15, -1.46, -4.92, -0.22]",0
"[-36.69, 134.94, -35.07, 136.6]",0
"[46.83, -38.51, 49.0, -37.39]",0
"[6.07, 68.84, 7.24, 70.98]",0
"[-8.22, 103.53, -6.25, 105.61]",0
"[-16.29, -168.77, -14.7, -166.97]",0
"[-12.98, 14.06, -11.83, 15.49]",0
"[-37.2, 96.36, -35.47, 97.68]",0
"[-26.47, 164.91, -24.99, 166.96]",0
"[54.43, 95.16, 55.59, 97.27]",0
"[-47.02, 58.13, -45.64, 60.1]",0
"[-34.78, -161.19, -33.6, -160.09]",0
"[-40.95, -169.51, -39.21, -167.82]",0
"[21.39, -109.81, 23.1, -108.02]",2
"[-0.99, 20.99, 1.06, 22.53]",0
"[-5.25, -126.52, -3.18, -124.77]",0
"[-20.22, 122.63, -18.3, 124.55]",0
