SRC Query,Depth,BBoxes,Data Size
"[31.85, 42.47, 58.89, 68.03]",0,"[-48.2246696949, -176.30859375, 63.40343715, 177.45290404]",40356
"[34.31, -58.78, 51.41, -37.82]",0,"[-48.2246696949, -176.30859375, 63.40343715, 177.45290404]",40356
"[4.07, -174.43, 24.74, -148.92]",5,"[-48.2246696949, -176.30859375, 33.6800326268, -117.8483600167]",1261
"[18.69, -32.82, 36.34, -30.05]",2,"[-48.2246696949, -97.80779924, 37.7596465333, 177.45290404]",10089
"[-25.76, -35.53, -14.5, -32.03]",12,"[-33.42150682, -46.67346882, 18.4374157482, 55.2741909027]",10
"[-22.56, 50.36, 3.7, 56.36]",12,"[-23.58720582, -80.1882907333, 13.0629032294, 76.5931798333]",10
"[-9.88, -122.62, -0.81, -96.95]",1,"[-48.2246696949, -176.30859375, 37.7596465333, 177.45290404]",20178
"[17.8, 147.04, 32.35, 166.52]",2,"[-48.2246696949, -97.80779924, 37.7596465333, 177.45290404]",10089
"[10.83, 95.24, 13.29, 100.36]",12,"[-27.49000215, 80.2480137348, 25.033476381, 121.569266]",10
"[25.62, -13.41, 41.61, -9.01]",0,"[-48.2246696949, -176.30859375, 63.40343715, 177.45290404]",40356
"[-43.0, -117.06, -22.76, -99.4]",11,"[-48.2246696949, -117.8483600167, 23.0088264, -98.6999058667]",19
"[-1.61, 144.39, 5.96, 146.16]",15,"[-27.2809503, 121.569266, 25.079669, 153.0325043]",1
"[31.66, -53.91, 51.6, -40.25]",0,"[-48.2246696949, -176.30859375, 63.40343715, 177.45290404]",40356
"[-20.25, -120.8, -1.38, -108.71]",3,"[-48.2246696949, -176.30859375, 34.0736532784, -97.80779924]",5044
"[-43.0, 110.2, -23.37, 118.98]",8,"[-48.2246696949, 55.2741909027, 26.0722728814, 177.45290404]",158
"[-14.45, -1.41, -3.13, 14.18]",14,"[-23.58720582, -43.96218752, 0.0, 55.2741909027]",3
