,DAG,KD
0,15,15
1,9,9
2,9,9
3,2,2
4,14,14
5,4,4
6,14,14
7,11,9
8,3,3
9,10,10
10,1,1
11,15,15
12,15,15
13,3,3
14,14,12
15,11,11
16,15,15
17,15,15
18,15,15
19,5,5
20,2,2
21,7,7
22,15,12
23,4,4
24,15,15
25,15,15
26,15,15
27,0,0
28,15,15
29,15,15
30,15,15
31,5,5
32,16,16
33,14,14
34,6,6
35,5,5
36,13,9
37,15,15
38,2,2
39,15,15
40,8,8
41,14,12
42,16,12
43,15,15
44,12,10
45,4,4
46,15,15
47,2,2
48,15,15
49,0,0
50,4,4
51,4,4
52,10,10
53,8,8
54,10,10
55,15,15
56,4,4
57,1,1
58,15,15
59,11,11
60,14,14
61,2,2
62,16,16
63,15,15
64,15,15
65,12,9
66,0,0
67,10,10
68,4,4
69,6,6
70,5,5
71,5,5
72,15,15
73,15,15
74,12,12
75,15,15
76,6,6
77,4,2
78,15,15
79,14,14
80,15,15
81,14,14
82,4,4
83,4,4
84,16,16
85,0,0
86,15,15
87,15,15
88,15,15
89,12,12
90,2,2
91,15,15
92,2,2
93,11,11
94,3,3
95,0,0
96,2,2
97,12,12
98,2,2
99,15,15
100,6,6
101,6,6
102,0,0
103,14,14
104,6,6
105,12,8
106,15,15
107,0,0
108,4,4
109,15,15
110,4,4
111,0,0
112,0,0
113,2,2
114,15,15
115,15,15
116,3,3
117,5,5
118,15,15
119,13,12
120,11,11
121,16,16
122,9,9
123,8,6
124,16,16
125,16,16
126,12,12
127,14,14
128,12,12
129,5,1
130,15,15
131,15,10
132,6,6
133,2,2
134,16,4
135,14,14
136,12,10
137,8,0
138,11,11
139,2,2
140,11,11
141,15,15
142,15,15
143,11,11
144,6,6
145,10,10
146,15,15
147,5,5
148,0,0
149,0,0
150,12,8
151,15,15
152,12,10
153,15,15
154,8,8
155,15,15
156,15,15
157,0,0
158,11,11
159,6,6
160,11,10
161,16,16
162,0,0
163,14,14
164,11,11
165,6,6
166,14,12
167,15,15
168,15,15
169,14,14
170,15,15
171,15,15
172,11,11
173,2,2
174,8,8
175,3,3
176,15,15
177,13,9
178,11,11
179,2,2
180,13,13
181,15,15
182,0,0
183,14,14
184,8,6
185,16,16
186,0,0
187,8,8
188,15,15
189,16,16
190,2,2
191,15,15
192,15,15
193,15,15
194,15,15
195,16,16
196,15,15
197,0,0
198,15,15
199,0,0
200,15,15
201,15,15
202,6,6
203,14,14
204,1,1
205,15,15
206,15,15
207,2,2
208,12,12
209,15,15
210,4,4
211,6,6
212,16,16
213,12,7
214,4,4
215,15,15
216,12,12
217,14,14
218,15,15
219,12,12
220,12,12
221,16,16
222,9,9
223,15,15
224,14,12
225,11,11
226,15,15
227,15,15
228,16,12
229,15,15
230,15,15
231,16,16
232,1,1
233,4,4
234,14,14
235,15,15
236,3,3
237,2,2
238,15,15
239,6,6
240,15,15
241,5,5
242,4,4
243,15,15
244,14,14
245,15,15
246,5,5
247,9,9
248,12,12
249,15,15
250,14,14
251,4,4
252,16,16
253,15,15
254,0,0
255,15,15
256,15,15
257,2,0
258,14,14
259,0,0
260,2,2
261,15,15
262,15,15
263,15,15
264,4,4
265,4,4
266,0,0
267,15,15
268,4,0
269,15,15
270,15,15
271,14,14
272,3,3
273,4,4
274,15,15
275,12,12
276,8,8
277,15,15
278,15,15
279,5,5
280,5,5
281,8,8
282,3,3
283,15,15
284,10,10
285,15,15
286,15,15
287,4,4
288,15,15
289,5,5
290,16,16
291,9,9
292,0,0
293,11,7
294,14,14
295,11,11
296,15,15
297,15,15
298,15,15
299,16,16
300,12,10
301,15,15
302,16,16
303,15,15
304,15,15
305,2,2
306,15,15
307,8,8
308,10,10
309,2,2
310,6,6
311,15,15
312,2,2
313,2,2
314,5,5
315,11,11
316,16,16
317,3,3
318,15,15
319,4,4
320,14,14
321,10,10
322,9,9
323,15,15
324,15,15
325,0,0
326,15,15
327,15,15
328,4,4
329,0,0
330,15,15
331,5,5
332,15,15
333,10,10
334,9,9
335,12,12
336,15,15
337,1,1
338,12,10
339,2,2
340,6,6
341,15,15
342,16,16
343,15,15
344,15,15
345,12,12
346,15,15
347,9,9
348,11,11
349,2,2
350,11,11
351,16,16
352,15,15
353,15,15
354,3,3
355,11,11
356,2,2
357,15,15
358,4,3
359,8,6
360,15,15
361,15,15
362,15,15
363,15,15
364,6,6
365,15,15
366,0,0
367,2,2
368,10,10
369,15,15
370,2,2
371,11,11
372,4,4
373,15,15
374,15,15
375,2,2
376,3,3
377,11,11
378,15,15
379,13,9
380,1,1
381,15,15
382,1,1
383,14,14
384,2,2
385,15,15
386,14,14
387,15,15
388,15,15
389,4,4
390,4,4
391,8,8
392,4,4
393,4,4
394,9,9
395,15,15
396,15,15
397,4,2
398,11,11
399,15,15
400,15,15
401,15,15
402,16,16
403,15,10
404,14,14
405,15,15
406,5,5
407,6,6
408,14,14
409,0,0
410,0,0
411,14,14
412,15,15
413,6,6
414,15,12
415,15,15
416,14,14
417,4,4
418,5,5
419,11,11
420,16,16
421,15,7
422,15,7
423,15,15
424,15,15
425,15,15
426,11,11
427,5,3
428,15,15
429,15,15
430,15,15
431,12,10
432,15,15
433,15,15
434,14,12
435,4,4
436,8,8
437,15,15
438,15,15
439,14,7
440,15,15
441,11,11
442,15,15
443,0,0
444,15,15
445,12,10
446,4,4
447,14,14
448,12,12
449,2,2
450,15,15
451,4,4
452,15,15
453,6,2
454,15,2
455,1,1
456,6,6
457,4,4
458,2,2
459,15,15
460,15,15
461,15,15
462,12,12
463,6,6
464,0,0
465,4,4
466,4,4
467,16,7
468,2,2
469,8,8
470,6,6
471,4,4
472,6,0
473,16,16
474,15,15
475,11,11
476,15,15
477,15,15
478,2,2
479,15,15
480,15,15
481,6,6
482,16,16
483,15,15
484,6,6
485,2,2
486,11,11
487,15,15
488,2,2
489,7,7
490,15,15
491,14,14
492,12,12
493,14,12
494,10,10
495,15,15
496,2,2
497,8,8
498,6,6
499,15,15
500,10,10
501,3,3
502,15,15
503,5,5
504,15,15
505,15,15
506,9,9
507,2,2
508,15,15
509,15,15
510,12,12
511,2,2
512,2,2
513,7,7
514,12,12
515,0,0
516,4,2
517,2,2
518,15,15
519,4,4
520,16,16
521,15,15
522,16,16
523,7,5
524,15,15
525,2,2
526,4,4
527,2,2
528,2,2
529,2,2
530,15,15
531,12,12
532,15,15
533,15,15
534,14,14
535,15,12
536,8,6
537,8,8
538,2,2
539,15,15
540,15,15
541,3,3
542,15,15
543,14,14
544,15,15
545,6,6
546,16,16
547,10,10
548,15,15
549,0,0
550,14,14
551,14,14
552,4,4
553,15,15
554,15,15
555,14,14
556,15,12
557,0,0
558,12,10
559,14,14
560,16,16
561,8,8
562,15,15
563,15,15
564,8,8
565,15,15
566,15,15
567,0,0
568,2,2
569,13,13
570,6,6
571,16,7
572,15,15
573,15,15
574,15,15
575,5,5
576,6,6
577,15,15
578,2,2
579,15,15
580,15,15
581,15,15
582,15,15
583,15,15
584,10,7
585,2,2
586,14,14
587,16,16
588,15,15
589,2,2
590,15,15
591,15,15
592,8,6
593,15,15
594,15,9
595,15,10
596,0,0
597,2,2
598,15,15
599,15,15
600,6,6
601,6,6
602,15,15
603,11,11
604,15,15
605,2,2
606,14,14
607,6,6
608,6,6
609,5,5
610,15,9
611,1,1
612,15,15
613,12,10
614,4,4
615,12,12
616,3,1
617,12,8
618,15,15
619,16,7
620,14,14
621,0,0
622,15,15
623,2,2
624,15,15
625,15,15
626,15,15
627,12,10
628,4,4
629,15,15
630,4,4
631,15,15
632,0,0
633,9,9
634,2,2
635,15,15
636,8,6
637,16,12
638,13,13
639,2,0
640,4,0
641,15,15
642,15,15
643,6,6
644,14,14
645,14,14
646,15,15
647,14,12
648,16,16
649,15,15
650,2,2
651,4,4
652,15,15
653,14,14
654,7,7
655,0,0
656,15,15
657,8,6
658,15,15
659,15,15
660,15,15
661,15,15
662,2,2
663,2,2
664,16,16
665,15,15
666,15,15
667,15,15
668,15,15
669,14,14
670,15,15
671,15,15
672,14,14
673,4,4
674,4,4
675,2,2
676,15,15
677,3,3
678,7,7
679,11,11
680,5,5
681,15,15
682,15,15
683,8,8
684,15,15
685,15,15
686,0,0
687,14,14
688,5,5
689,8,8
690,15,15
691,15,15
692,10,10
693,6,6
694,4,4
695,12,10
696,16,16
697,4,4
698,14,14
699,12,8
700,15,15
701,16,7
702,15,15
703,15,15
704,15,15
705,0,0
706,6,6
707,14,14
708,12,10
709,12,10
710,8,8
711,15,15
712,5,5
713,15,15
714,4,4
715,2,2
716,15,15
717,15,15
718,2,2
719,15,15
720,15,15
721,4,4
722,16,16
723,15,15
724,15,15
725,4,4
726,15,15
727,8,8
728,8,6
729,0,0
730,15,15
731,15,15
732,15,15
733,15,15
734,15,15
735,15,15
736,4,2
737,1,1
738,14,14
739,15,15
740,15,15
741,15,15
742,13,13
743,15,15
744,5,5
745,2,2
746,11,11
747,15,15
748,0,0
749,1,1
750,13,13
751,15,15
752,8,8
753,14,14
754,15,15
755,15,15
756,15,15
757,15,15
758,15,15
759,15,15
760,11,11
761,15,15
762,15,15
763,15,15
764,15,15
765,13,12
766,15,15
767,15,15
768,4,4
769,15,15
770,15,15
771,15,15
772,9,9
773,12,12
774,15,15
775,15,15
776,15,15
777,15,15
778,1,1
779,15,7
780,8,8
781,4,4
782,6,6
783,6,6
784,15,15
785,15,15
786,16,16
787,15,15
788,3,0
789,12,10
790,15,15
791,4,4
792,15,15
793,15,15
794,16,16
795,10,10
796,15,15
797,15,15
798,3,3
799,15,15
800,2,2
801,2,2
802,15,15
803,12,12
804,14,14
805,15,15
806,15,15
807,5,5
808,4,4
809,15,15
810,2,0
811,6,6
812,12,10
813,11,11
814,15,15
815,5,5
816,4,4
817,12,12
818,15,15
819,4,4
820,15,15
821,12,12
822,15,15
823,15,15
824,15,15
825,0,0
826,15,15
827,8,6
828,15,7
829,1,1
830,5,5
831,15,15
832,15,15
833,12,12
834,0,0
835,11,11
836,15,15
837,12,12
838,12,10
839,8,8
840,15,15
841,0,0
842,15,15
843,16,7
844,15,15
845,7,7
846,0,0
847,15,15
848,14,14
849,6,6
850,7,7
851,7,7
852,0,0
853,15,15
854,0,0
855,12,12
856,4,4
857,4,4
858,12,12
859,15,15
860,0,0
861,8,6
862,7,2
863,15,15
864,8,6
865,15,15
866,15,15
867,2,2
868,6,6
869,14,12
870,15,15
871,0,0
872,12,12
873,0,0
874,15,15
875,15,15
876,14,14
877,14,14
878,6,4
879,12,12
880,15,15
881,16,16
882,16,16
883,14,12
884,2,2
885,15,15
886,11,11
887,15,15
888,5,5
889,2,0
890,14,14
891,15,15
892,14,14
893,6,6
894,15,15
895,16,16
896,15,15
897,2,2
898,15,15
899,2,0
900,13,13
901,15,7
902,16,16
903,15,15
904,8,6
905,8,8
906,4,4
907,15,15
908,15,7
909,16,16
910,16,16
911,15,15
912,2,2
913,15,15
914,15,15
915,2,2
916,7,7
917,14,14
918,15,15
919,15,15
920,15,15
921,15,15
922,6,6
923,0,0
924,9,9
925,9,9
926,15,15
927,15,15
928,5,5
929,10,10
930,5,5
931,16,12
932,15,15
933,2,2
934,15,15
935,0,0
936,4,4
937,0,0
938,4,0
939,13,13
940,2,0
941,15,15
942,7,7
943,15,15
944,1,1
945,10,10
946,11,11
947,15,15
948,15,15
949,15,15
950,15,15
951,8,8
952,15,15
953,5,5
954,3,3
955,1,1
956,9,9
957,15,15
958,15,15
959,15,15
960,0,0
961,16,16
962,10,10
963,15,15
964,15,15
965,15,15
966,15,15
967,15,15
968,14,14
969,10,10
970,5,5
971,15,15
972,11,11
973,6,6
974,2,0
975,12,12
976,11,11
977,12,8
978,8,6
979,15,15
980,8,8
981,15,15
982,14,3
983,12,12
984,15,15
985,14,14
986,12,12
987,11,11
988,1,1
989,15,15
990,15,15
991,14,14
992,12,10
993,12,12
994,15,15
995,2,2
996,15,15
997,15,15
998,15,15
999,15,7
1000,6,6
1001,0,0
1002,5,5
1003,15,15
1004,2,2
1005,15,15
1006,5,5
1007,15,15
1008,8,8
1009,15,15
1010,4,4
1011,15,15
1012,15,15
1013,8,8
1014,15,15
1015,15,15
1016,5,5
1017,15,15
1018,15,15
1019,7,7
1020,8,6
1021,14,14
1022,15,12
1023,16,16
1024,15,15
1025,14,14
1026,2,2
1027,15,7
1028,11,9
1029,15,15
1030,14,14
1031,2,2
1032,10,8
1033,13,13
1034,4,4
1035,15,15
1036,15,15
1037,10,8
1038,3,3
1039,11,11
1040,13,13
1041,4,4
1042,0,0
1043,15,15
1044,15,10
1045,15,15
1046,15,15
1047,15,15
1048,15,15
1049,2,2
1050,1,1
1051,2,2
1052,1,1
1053,6,6
1054,14,12
1055,15,15
1056,2,2
1057,15,15
1058,11,11
1059,8,8
1060,12,10
1061,3,3
1062,10,10
1063,5,5
1064,15,15
1065,15,10
1066,15,15
1067,15,15
1068,8,8
1069,0,0
1070,4,4
1071,16,16
1072,5,5
1073,2,2
1074,15,15
1075,0,0
1076,15,15
1077,15,15
1078,15,15
1079,14,14
1080,6,6
1081,4,4
1082,12,10
1083,10,10
1084,15,15
1085,8,8
1086,8,8
1087,6,0
1088,15,15
1089,0,0
1090,15,15
1091,6,6
1092,15,15
1093,16,16
1094,12,10
1095,12,10
1096,2,0
1097,15,15
1098,4,4
1099,15,15
1100,2,2
1101,15,15
1102,12,12
1103,4,4
1104,15,15
1105,6,6
1106,0,0
1107,15,15
1108,4,4
1109,15,15
1110,1,1
1111,15,15
1112,15,15
1113,15,15
1114,11,11
1115,15,15
1116,11,11
1117,15,15
1118,15,15
1119,3,3
1120,15,15
1121,2,2
1122,16,16
1123,8,0
1124,12,7
1125,2,2
1126,11,11
1127,12,10
1128,2,2
1129,0,0
1130,11,11
1131,15,15
1132,15,15
1133,15,15
1134,12,12
1135,12,10
1136,15,15
1137,11,11
1138,15,15
1139,15,15
1140,3,3
1141,15,15
1142,16,16
1143,1,1
1144,15,15
1145,8,6
1146,8,6
1147,2,2
1148,15,15
1149,11,11
1150,13,13
1151,13,12
1152,8,8
1153,15,15
1154,16,16
1155,10,10
1156,6,6
