,L2 Norm
0,0.0916624241442479
1,0.07108445681019164
2,0.04903740069239668
3,0.0372827037646145
4,0.03906404996924921
5,0.0377756535350482
6,0.029473613242203944
7,0.02787247746433746
8,0.025361095898741932
9,0.02513563207878408
10,0.028414872139034618
11,0.030117363024600184
12,0.025554675112752702
13,0.02433692080534664
14,0.023912804566219796
15,0.021390710600632225
16,0.02271989814295604
17,0.02418753887928734
18,0.02244179914869729
19,0.021372880011828053
20,0.020274197490905196
21,0.01993066494020401
22,0.02031398151497012
23,0.01861824075708789
24,0.02035485200142706
25,0.01935085582866491
26,0.0195155314321232
27,0.020855430458080602
28,0.01837811343712212
29,0.01608449909419347
30,0.014394399997941159
31,0.013704185035966189
32,0.013305963644291749
33,0.013947256058346869
34,0.01667308719867721
35,0.016350331291240958
36,0.016204500272218064
37,0.014412117862210194
38,0.013686880706886768
39,0.012274974541725119
40,0.011370040053882334
41,0.011626266297793576
42,0.00984432641547223
43,0.010364433781124066
44,0.010144146277716209
45,0.010340150606048506
46,0.009467774319546634
47,0.008914524664837708
48,0.008775225434392346
49,0.009103845341392818
50,0.009126813861211846
51,0.008416312703709803
52,0.008044288231888966
53,0.008113393894901635
54,0.008287200127329681
55,0.008062257748298544
56,0.008237024267925698
57,0.007796306939987484
58,0.008565713337899688
59,0.008004859635107772
60,0.008067939144026301
61,0.0071791407866793845
62,0.007475971418622024
63,0.007578237756893088
64,0.006941002434295733
65,0.007480491923149487
66,0.007445712038263274
67,0.006761891997880717
68,0.006813690704191984
69,0.007330116796129361
70,0.007650727042634349
71,0.007435421563513425
72,0.007035550292011851
73,0.007189951189041786
74,0.00711805216802086
75,0.007551943852789069
76,0.0073961010455737015
77,0.0065530756739835185
78,0.005780529119755569
79,0.0060904638575399045
80,0.00551800754394116
81,0.0054780943898368375
82,0.004970109523702872
83,0.0046831584202454155
84,0.004730670011142728
85,0.004845252704411314
86,0.004167360227651324
87,0.00430080234682393
88,0.004071696797250035
89,0.00426990617759126
90,0.003860757205801675
91,0.003755776898781592
92,0.0032482018291872723
93,0.0027710264517317985
94,0.0023277204618416696
95,0.0018561553006146774
96,0.0014690631216939796
97,0.0016419378845314682
98,0.0009667463526468949
99,0.0
