BRC Query,Data Size
"[36.15, -118.39, 37.99, -117.13]",519
"[34.79, -122.9, 36.54, -121.5]",91
"[35.5, -116.77, 36.59, -114.91]",254
"[37.15, -116.99, 38.3, -115.19]",0
"[33.01, -123.68, 34.06, -121.63]",0
"[38.38, -120.34, 39.43, -118.96]",331
"[37.56, -122.96, 38.95, -121.7]",1294
"[37.06, -121.59, 38.38, -119.77]",1121
"[36.01, -116.64, 37.62, -114.72]",41
"[37.93, -117.63, 39.03, -116.01]",0
"[33.25, -116.7, 34.88, -115.05]",826
"[39.89, -117.18, 41.26, -115.97]",0
"[39.68, -117.67, 40.8, -116.05]",0
"[35.36, -121.72, 36.94, -119.79]",1235
"[38.5, -122.04, 39.57, -120.1]",1132
"[36.39, -116.52, 37.68, -115.3]",1
"[39.33, -119.92, 41.22, -118.8]",0
"[39.91, -123.52, 41.77, -121.71]",1281
"[36.17, -121.46, 37.93, -119.75]",1254
"[38.98, -121.95, 40.85, -120.2]",1655
"[39.11, -123.22, 40.51, -121.67]",888
"[37.74, -118.11, 39.65, -116.97]",0
"[39.3, -123.85, 40.78, -122.39]",1177
"[39.63, -120.27, 41.41, -119.11]",186
"[37.7, -119.35, 38.89, -117.97]",204
"[37.33, -123.31, 38.79, -121.56]",1665
"[38.41, -117.71, 40.41, -116.68]",0
"[38.87, -122.42, 40.13, -121.02]",857
"[36.41, -118.96, 38.14, -117.21]",845
"[35.87, -121.77, 37.05, -120.18]",752
"[36.7, -123.12, 38.45, -121.05]",1885
"[32.72, -121.24, 34.47, -119.55]",63
"[38.15, -116.51, 39.63, -115.0]",0
"[36.1, -119.56, 37.23, -117.62]",980
"[33.7, -118.07, 35.49, -116.69]",1608
"[37.2, -121.83, 39.26, -120.47]",1475
"[39.91, -120.59, 41.1, -118.61]",261
"[38.54, -117.1, 39.86, -115.86]",0
"[35.22, -117.78, 36.83, -116.51]",571
"[37.33, -120.31, 39.05, -118.55]",947
"[37.61, -122.29, 38.97, -120.81]",1240
"[38.8, -122.52, 40.78, -121.39]",1113
"[33.89, -123.79, 35.36, -122.52]",0
"[37.31, -118.66, 39.21, -117.24]",119
"[37.68, -120.96, 38.96, -119.47]",935
"[34.5, -119.56, 36.5, -118.18]",1321
"[39.75, -117.24, 41.31, -115.64]",0
"[37.58, -120.58, 39.07, -119.3]",794
"[35.29, -121.96, 37.33, -119.95]",1596
"[38.01, -117.89, 39.49, -116.24]",0
"[39.78, -123.93, 41.45, -122.49]",1098
"[38.18, -117.97, 40.17, -116.7]",0
"[39.63, -121.93, 41.7, -119.91]",1721
"[38.77, -118.56, 40.44, -117.4]",0
"[38.09, -123.42, 39.25, -121.41]",1426
"[39.84, -122.01, 40.84, -120.7]",665
"[38.15, -118.47, 39.32, -116.75]",0
"[37.24, -122.26, 38.34, -121.05]",942
"[39.69, -122.17, 40.88, -121.01]",639
"[37.08, -118.43, 38.42, -117.32]",157
"[32.61, -124.07, 34.11, -122.09]",0
"[33.47, -121.96, 34.78, -120.81]",0
"[34.56, -121.45, 35.59, -119.49]",815
"[38.97, -120.69, 41.05, -119.66]",646
"[38.94, -116.66, 41.02, -114.93]",0
"[33.72, -123.55, 35.69, -122.03]",0
"[33.46, -122.11, 34.86, -120.17]",177
"[39.41, -117.3, 41.19, -115.62]",0
"[38.77, -118.9, 40.0, -116.97]",0
"[36.44, -118.31, 38.11, -116.71]",376
"[34.91, -122.5, 36.88, -120.49]",964
"[35.06, -117.99, 37.02, -116.82]",626
"[32.73, -119.37, 33.79, -117.6]",195
"[34.38, -119.16, 36.24, -117.44]",1315
"[36.69, -120.63, 38.06, -119.14]",896
"[38.6, -124.12, 40.68, -122.75]",1479
"[34.15, -117.62, 36.13, -115.97]",1076
"[37.28, -119.96, 39.06, -118.35]",743
"[39.27, -121.18, 41.01, -119.5]",948
"[33.05, -117.5, 34.57, -116.0]",1607
"[39.44, -121.38, 40.6, -120.25]",630
"[33.36, -119.64, 35.09, -117.75]",1703
"[37.71, -116.56, 39.66, -115.23]",0
"[34.44, -123.91, 36.04, -122.57]",0
"[33.7, -119.48, 35.09, -117.78]",1544
"[32.68, -120.42, 33.88, -118.52]",0
"[32.66, -119.32, 34.39, -117.81]",1032
"[39.11, -116.47, 41.19, -114.53]",0
"[37.96, -118.01, 39.85, -116.4]",0
"[34.87, -117.78, 36.54, -115.71]",843
"[34.01, -117.07, 35.42, -115.78]",551
"[37.48, -120.0, 38.9, -118.77]",541
"[38.1, -117.39, 39.85, -115.83]",0
"[37.57, -118.82, 39.5, -117.68]",109
"[33.08, -122.65, 34.64, -121.23]",0
"[33.92, -122.88, 35.57, -121.86]",0
"[36.7, -122.36, 38.08, -120.78]",1325
"[34.96, -121.38, 36.12, -119.55]",930
"[32.76, -119.45, 33.88, -117.84]",249
"[35.03, -119.24, 36.42, -117.5]",1115
"[34.96, -116.67, 36.55, -115.11]",462
"[37.2, -122.37, 38.66, -120.57]",1723
"[37.52, -122.23, 39.4, -120.15]",2243
"[37.05, -119.67, 38.67, -118.32]",586
"[36.66, -120.46, 38.51, -118.76]",1316
"[36.57, -121.34, 38.61, -119.37]",1753
"[33.26, -120.24, 34.94, -118.54]",805
"[39.91, -118.67, 41.85, -117.3]",0
"[34.46, -124.21, 36.09, -122.59]",0
"[35.54, -117.61, 36.75, -116.56]",404
"[36.69, -122.45, 37.8, -120.45]",1256
"[37.96, -120.77, 39.96, -118.71]",1064
"[38.21, -120.69, 40.18, -119.25]",820
"[33.83, -121.55, 35.89, -119.48]",1261
"[33.72, -120.61, 35.46, -119.43]",797
"[35.53, -117.42, 37.05, -116.39]",392
"[34.55, -118.8, 35.9, -117.46]",693
