,DAG,KD
0,2,1
1,2,0
2,1,1
3,3,3
4,3,3
5,2,2
6,2,2
7,4,0
8,2,2
9,2,2
10,2,2
11,2,2
12,1,1
13,2,2
14,3,1
15,2,1
16,2,2
17,4,0
18,2,2
19,1,1
20,2,2
21,2,0
22,3,3
23,2,2
24,4,2
25,3,3
26,1,0
27,2,0
28,14,14
29,2,2
30,2,2
31,3,1
32,4,4
33,2,2
34,1,1
35,9,9
36,2,2
37,2,0
38,2,2
39,1,1
40,1,1
41,1,0
42,2,2
43,0,0
44,2,1
45,4,2
46,4,0
47,2,2
48,2,2
49,4,4
50,0,0
51,2,2
52,1,1
53,2,2
54,2,0
55,2,2
56,2,2
57,1,1
58,1,1
59,14,14
60,1,1
61,2,2
62,2,2
63,1,1
64,4,2
65,2,2
66,2,2
67,2,2
68,2,0
69,2,2
70,3,3
71,2,0
72,2,2
73,2,2
74,1,1
75,2,2
76,4,4
77,1,1
78,0,0
79,2,2
80,4,4
81,5,0
82,2,2
83,2,1
84,6,6
85,1,1
86,2,2
87,1,1
88,2,2
89,3,3
90,2,1
91,4,4
92,3,2
93,1,1
94,3,0
95,1,1
96,5,0
97,2,0
98,2,1
99,2,0
100,1,1
101,3,3
102,1,1
103,2,2
104,2,2
105,1,1
106,2,1
107,1,1
108,2,2
109,1,1
110,6,6
111,0,0
112,4,4
113,4,4
114,6,6
115,6,6
116,9,9
117,4,0
118,2,2
119,1,1
120,4,4
121,2,2
122,2,2
123,2,0
124,3,3
125,4,0
126,3,0
127,2,2
128,2,2
129,4,0
130,4,4
131,2,1
132,2,0
133,2,2
134,4,0
135,2,0
136,3,0
137,2,2
138,1,1
139,2,2
140,3,2
141,2,0
142,1,0
143,2,2
144,2,2
145,2,2
146,2,0
147,1,1
148,2,2
149,1,1
150,1,1
151,2,0
152,2,2
153,4,4
154,2,0
155,2,2
156,2,1
157,4,4
158,1,1
159,1,1
160,1,1
161,2,2
162,4,0
163,4,2
164,2,2
165,4,4
166,1,1
167,2,0
168,1,1
169,6,6
170,2,2
171,3,1
172,1,1
173,2,2
174,0,0
175,2,2
176,2,0
177,2,2
178,2,0
179,1,1
180,1,1
181,1,1
182,4,0
183,2,2
184,4,2
185,3,3
186,1,1
187,1,1
188,2,2
189,2,2
190,6,0
191,2,2
192,1,1
193,1,0
194,3,3
195,2,2
196,3,0
197,2,2
198,2,0
199,2,2
200,1,1
201,2,2
202,3,3
203,2,2
204,2,2
205,4,0
206,4,0
207,2,0
208,1,1
209,1,1
210,0,0
211,2,2
212,4,4
213,1,1
214,2,2
215,2,2
216,1,1
217,3,3
218,2,2
219,1,0
220,2,2
221,2,2
222,2,0
223,4,4
224,2,0
225,2,2
226,1,0
227,2,0
