BRC Query,Data Size
"[23.98, 14.83, 38.49, 16.05]",30
"[59.22, 46.08, 76.67, 60.41]",238
"[20.19, 36.62, 22.06, 49.81]",26
"[75.27, 58.24, 86.6, 64.22]",66
"[60.03, 37.64, 73.3, 50.9]",169
"[21.7, 77.43, 26.25, 92.54]",75
"[58.44, 2.25, 69.1, 13.85]",121
"[50.62, 81.09, 63.46, 88.3]",91
"[59.43, 36.94, 76.96, 42.86]",102
"[24.2, 43.86, 29.69, 54.34]",55
"[73.69, 41.63, 90.21, 44.92]",51
"[54.15, 80.92, 66.06, 86.68]",72
"[62.21, 28.7, 67.63, 37.56]",45
"[40.85, 17.77, 49.81, 23.24]",54
"[75.0, 37.3, 77.88, 55.11]",54
"[68.51, 44.16, 72.61, 59.15]",60
"[65.16, 15.37, 77.62, 28.6]",156
"[24.39, 58.56, 37.38, 76.13]",234
"[74.55, 29.74, 91.82, 40.99]",187
"[31.18, 14.16, 48.45, 15.67]",17
"[25.64, 3.59, 31.94, 15.2]",72
"[70.73, 15.95, 83.13, 21.62]",78
"[65.3, 32.48, 74.7, 41.38]",81
"[24.3, 16.88, 31.57, 25.19]",63
"[36.78, 74.43, 39.21, 78.92]",12
"[41.99, 75.65, 59.61, 89.55]",252
"[1.71, 76.47, 16.49, 88.35]",180
"[18.21, 23.56, 20.29, 38.71]",30
"[71.7, 62.32, 74.96, 78.52]",48
"[28.54, 76.49, 33.77, 89.69]",65
"[62.45, 64.28, 65.01, 69.6]",15
"[68.91, 33.89, 81.46, 41.54]",104
"[27.05, 43.4, 29.87, 45.3]",4
"[70.87, 9.13, 78.65, 15.41]",48
"[74.79, 35.97, 84.12, 53.45]",180
"[1.91, 15.71, 6.62, 20.36]",25
"[57.24, 44.59, 63.44, 58.42]",84
"[71.6, 64.68, 75.23, 65.75]",4
"[23.33, 52.88, 26.5, 65.31]",39
"[68.57, 30.5, 82.67, 42.81]",168
"[63.68, 1.54, 72.13, 3.28]",18
"[35.63, 61.19, 44.08, 70.36]",81
"[79.7, 3.83, 81.0, 17.67]",28
"[68.3, 72.65, 79.95, 89.73]",187
"[31.8, 44.25, 39.63, 57.97]",104
"[34.05, 71.51, 36.76, 82.61]",22
"[59.69, 2.72, 62.53, 13.51]",33
"[77.12, 2.0, 92.59, 4.95]",45
"[73.45, 20.26, 76.76, 31.1]",33
"[32.48, 6.33, 49.77, 24.0]",306
"[11.05, 20.56, 22.33, 36.31]",176
"[58.31, 9.08, 69.79, 24.59]",165
"[42.94, 50.41, 45.15, 67.13]",51
"[71.42, 48.08, 82.81, 63.44]",165
"[70.15, 39.5, 81.91, 46.94]",77
"[78.54, 66.7, 88.67, 82.0]",160
"[30.92, 65.81, 47.54, 79.78]",238
"[60.31, 50.36, 67.34, 55.01]",35
"[31.5, 41.08, 39.87, 56.84]",120
"[1.71, 19.98, 17.55, 27.57]",128
"[79.75, 37.48, 86.77, 53.14]",112
"[44.19, 18.28, 58.26, 27.57]",126
"[30.0, 2.02, 43.31, 13.86]",154
"[13.77, 58.63, 27.77, 71.37]",182
"[18.36, 25.35, 22.26, 34.63]",36
"[65.99, 76.03, 74.56, 92.53]",144
"[1.93, 75.22, 13.45, 87.2]",144
"[56.2, 69.99, 61.36, 76.67]",35
"[50.99, 62.4, 53.48, 70.8]",24
"[55.3, 66.85, 63.3, 78.04]",96
"[1.25, 63.83, 13.28, 75.24]",144
"[5.79, 40.19, 19.11, 53.55]",182
"[20.13, 48.65, 30.17, 58.51]",100
"[68.97, 80.62, 78.36, 98.2]",180
"[27.53, 21.87, 33.78, 37.37]",96
"[42.27, 73.23, 52.76, 83.6]",100
"[63.52, 44.37, 71.78, 47.86]",24
"[26.23, 5.38, 36.19, 11.14]",60
"[62.27, 4.07, 71.43, 12.86]",72
"[17.58, 40.18, 32.08, 41.54]",15
"[45.42, 5.25, 51.62, 8.0]",18
"[57.41, 7.76, 61.63, 15.5]",32
"[22.49, 73.45, 36.75, 88.69]",210
"[25.07, 40.17, 30.27, 56.83]",80
"[29.13, 58.22, 31.71, 70.24]",24
"[10.96, 53.28, 24.43, 62.53]",126
"[70.08, 36.31, 73.08, 38.81]",6
"[54.53, 75.61, 57.99, 80.01]",15
"[70.54, 10.46, 81.95, 24.26]",154
"[65.58, 80.22, 71.39, 82.95]",12
"[48.09, 65.32, 63.27, 68.54]",45
"[9.05, 17.07, 18.25, 26.0]",81
"[74.28, 72.23, 78.58, 73.95]",4
"[22.14, 6.59, 26.84, 21.01]",60
"[63.19, 42.2, 75.09, 57.92]",180
"[50.45, 78.78, 57.62, 93.27]",105
"[45.27, 11.37, 53.43, 28.14]",136
"[78.3, 73.14, 93.69, 75.54]",30
"[9.26, 51.91, 26.01, 60.15]",153
"[17.43, 32.44, 31.16, 41.15]",126
"[21.31, 47.52, 30.06, 52.45]",45
"[29.69, 21.96, 36.58, 33.67]",84
"[73.09, 57.78, 81.42, 65.09]",64
"[77.04, 22.45, 91.18, 26.19]",56
"[62.97, 39.33, 69.93, 50.11]",77
"[9.15, 51.52, 10.19, 63.53]",12
"[58.86, 71.21, 64.02, 80.27]",54
"[51.23, 66.26, 55.11, 75.11]",36
"[70.54, 54.93, 79.97, 61.72]",63
"[8.9, 3.16, 17.72, 17.8]",126
"[7.64, 26.62, 15.76, 42.84]",128
"[55.8, 55.53, 64.43, 58.23]",27
"[77.05, 60.21, 83.14, 62.33]",12
"[45.83, 67.47, 60.81, 84.95]",255
"[58.76, 31.23, 74.35, 48.03]",272
"[29.23, 34.75, 39.33, 52.24]",180
"[2.13, 34.02, 13.31, 38.95]",44
"[19.53, 31.56, 25.29, 39.67]",48
"[36.51, 25.92, 37.74, 33.51]",8
"[18.24, 52.49, 28.96, 57.09]",50
"[21.19, 5.74, 36.49, 18.4]",195
"[36.06, 40.89, 45.7, 46.02]",54
"[80.19, 6.02, 95.54, 9.41]",45
"[1.75, 56.5, 7.58, 58.93]",12
"[74.04, 52.85, 86.24, 55.47]",36
"[77.37, 22.23, 79.2, 35.08]",26
"[77.1, 75.58, 85.23, 93.3]",144
"[57.0, 2.0, 61.05, 16.76]",75
"[80.0, 9.3, 87.68, 16.89]",56
"[43.43, 25.93, 46.89, 36.86]",33
"[61.52, 42.4, 66.63, 57.86]",75
"[54.12, 45.01, 55.49, 48.22]",3
"[71.09, 60.08, 75.0, 76.83]",64
"[50.3, 3.07, 65.16, 10.56]",105
"[14.31, 50.46, 18.13, 52.49]",8
"[61.84, 23.87, 73.35, 34.73]",132
"[48.32, 23.15, 64.82, 39.86]",256
"[35.09, 35.89, 37.82, 41.06]",12
"[25.8, 40.29, 43.58, 48.45]",144
"[18.56, 72.41, 25.17, 73.45]",7
"[69.42, 10.68, 75.14, 17.81]",42
"[26.55, 8.23, 34.25, 13.63]",40
"[9.21, 12.83, 16.32, 17.96]",35
"[27.47, 80.16, 40.38, 87.33]",91
"[26.97, 72.36, 38.26, 82.6]",120
"[48.9, 36.55, 50.16, 46.12]",20
"[42.4, 73.61, 59.19, 79.53]",102
"[72.37, 2.85, 83.04, 11.52]",99
"[60.2, 25.33, 61.62, 40.83]",15
"[61.78, 38.01, 71.8, 48.26]",100
"[11.71, 75.5, 25.78, 86.71]",154
"[29.99, 55.21, 43.36, 71.63]",224
"[26.94, 53.47, 38.28, 59.83]",72
"[40.34, 29.48, 51.64, 36.34]",77
"[36.4, 59.54, 45.02, 74.55]",135
"[69.4, 57.36, 84.91, 66.55]",135
"[55.48, 56.77, 57.29, 61.24]",10
"[60.27, 75.27, 77.48, 77.92]",34
"[72.27, 25.0, 80.4, 41.53]",136
"[33.4, 52.7, 50.89, 63.8]",187
"[64.02, 11.41, 65.5, 26.26]",15
"[61.92, 56.38, 68.13, 67.01]",77
"[37.07, 41.39, 52.08, 55.73]",210
"[75.58, 7.97, 85.86, 14.17]",70
"[23.55, 6.29, 37.78, 16.97]",140
"[57.08, 74.28, 63.09, 77.91]",18
"[8.22, 64.12, 10.43, 80.73]",32
"[1.69, 3.31, 12.88, 18.04]",165
"[24.07, 57.84, 36.15, 62.53]",60
"[42.84, 78.87, 45.67, 91.26]",39
"[77.27, 11.74, 82.28, 29.38]",90
"[9.52, 9.23, 25.55, 15.95]",96
"[36.62, 45.28, 46.79, 58.55]",130
"[24.37, 68.47, 29.22, 79.96]",55
"[40.76, 62.74, 42.03, 77.67]",30
"[19.52, 34.23, 26.67, 45.07]",77
"[55.02, 14.29, 60.49, 15.34]",5
"[73.01, 80.69, 80.8, 93.52]",91
"[76.26, 58.85, 92.0, 64.54]",96
"[41.2, 56.05, 56.88, 59.25]",45
"[41.71, 73.29, 53.48, 86.42]",156
"[11.62, 0.67, 19.43, 11.77]",88
"[52.85, 21.16, 66.07, 33.11]",168
"[14.43, 62.98, 27.23, 78.68]",208
"[51.66, 25.77, 65.46, 38.8]",182
"[55.95, 64.17, 66.09, 67.93]",33
"[57.94, 25.55, 67.68, 29.15]",40
"[40.52, 53.08, 57.49, 67.02]",238
"[80.39, 6.2, 83.3, 9.73]",9
"[15.07, 52.04, 31.54, 59.98]",112
"[3.72, 18.08, 20.61, 25.02]",119
"[32.29, 51.0, 49.08, 65.01]",255
"[25.11, 80.32, 37.7, 88.22]",96
"[53.09, 75.34, 67.98, 87.13]",168
"[68.75, 70.57, 85.97, 77.36]",119
"[62.56, 53.25, 73.82, 62.71]",99
"[78.26, 77.31, 92.71, 89.0]",168
"[67.79, 53.85, 72.08, 68.87]",75
"[38.96, 4.51, 43.92, 20.7]",80
"[42.98, 22.08, 49.69, 32.3]",70
"[70.68, 46.54, 82.14, 56.02]",120
"[27.59, 9.82, 32.66, 23.46]",70
"[35.52, 51.27, 36.8, 60.72]",9
"[75.95, 12.9, 80.77, 22.13]",50
"[50.04, 45.47, 59.41, 48.41]",27
"[75.55, 14.38, 91.63, 27.29]",208
"[26.34, 45.29, 29.56, 49.15]",12
"[23.05, 54.34, 36.32, 71.9]",221
"[79.98, 37.01, 96.93, 54.82]",289
"[8.77, 2.32, 15.4, 3.84]",7
"[14.21, 38.05, 22.98, 53.78]",120
"[42.26, 72.47, 48.49, 85.24]",78
"[4.45, 13.41, 13.76, 27.84]",126
"[9.22, 5.18, 25.89, 8.22]",48
"[49.62, 55.33, 58.97, 58.06]",27
"[69.5, 62.31, 79.49, 72.41]",100
"[0.57, 79.99, 7.45, 81.39]",14
"[25.68, 79.3, 40.82, 92.86]",195
"[22.43, 53.62, 25.25, 68.86]",45
"[48.37, 6.3, 62.54, 14.5]",112
"[32.64, 77.31, 47.84, 91.49]",210
"[59.47, 20.87, 61.98, 26.24]",12
"[72.77, 8.99, 79.29, 21.18]",91
"[74.81, 8.85, 77.62, 23.02]",45
"[9.46, 16.08, 13.98, 29.06]",52
"[34.15, 51.11, 38.76, 63.45]",48
"[12.28, 66.31, 23.15, 77.88]",121
"[74.36, 6.36, 90.06, 21.69]",240
"[19.54, 25.55, 35.46, 33.98]",128
"[1.36, 39.63, 5.08, 46.35]",28
"[55.33, 63.71, 60.97, 79.28]",80
