SRC Query,Depth,BBoxes,Data Size
"[61.43, 44.71, 62.89, 46.32]",10,"[60, 44, 63, 47]",11
"[92.5, 23.14, 93.73, 24.61]",12,"[92, 23, 94, 25]",4
"[87.13, 66.61, 88.5, 68.31]",10,"[87, 66, 89, 69]",7
"[57.12, 9.87, 59.04, 11.32]",10,"[57, 9, 60, 12]",9
"[49.25, 41.69, 50.75, 43.64]",10,"[49, 41, 51, 44]",7
"[8.41, 47.98, 9.49, 49.88]",11,"[8, 46, 10, 50]",8
"[39.17, 43.71, 40.55, 45.26]",10,"[38, 43, 41, 46]",9
"[27.71, 75.18, 29.32, 76.9]",8,"[25, 75, 31, 81]",36
"[49.17, 95.34, 51.03, 96.51]",10,"[49, 94, 52, 97]",11
"[51.84, 72.42, 52.97, 73.5]",11,"[51, 71, 53, 75]",8
"[50.19, 49.35, 51.66, 50.6]",10,"[50, 48, 52, 51]",7
"[25.15, 77.44, 26.65, 79.03]",9,"[25, 75, 28, 81]",18
"[36.24, 88.27, 37.41, 89.45]",10,"[35, 87, 38, 90]",9
"[23.47, 69.9, 24.5, 71.74]",11,"[23, 69, 25, 72]",8
"[21.59, 10.27, 23.32, 11.67]",10,"[21, 9, 25, 12]",12
"[48.79, 43.91, 49.82, 45.02]",11,"[48, 43, 50, 46]",6
"[56.08, 40.95, 57.19, 42.54]",10,"[56, 40, 59, 43]",9
"[18.98, 9.54, 20.86, 10.59]",10,"[18, 9, 21, 12]",9
"[22.85, 82.18, 24.39, 83.21]",10,"[21, 81, 25, 84]",12
"[46.79, 78.94, 48.66, 80.91]",10,"[46, 78, 50, 81]",12
"[25.26, 35.47, 26.95, 36.72]",10,"[25, 34, 28, 37]",9
"[15.37, 38.25, 17.19, 39.27]",10,"[15, 37, 18, 40]",9
"[24.22, 89.65, 25.92, 90.85]",10,"[24, 88, 27, 91]",9
"[82.06, 2.11, 83.5, 3.9]",12,"[82, 2, 84, 4]",4
"[54.05, 25.52, 55.69, 26.57]",11,"[54, 25, 56, 28]",6
"[17.66, 93.03, 19.14, 94.97]",8,"[15, 93, 21, 99]",42
"[11.63, 5.83, 13.27, 7.07]",8,"[9, 5, 15, 12]",43
"[77.08, 92.48, 78.89, 93.5]",11,"[77, 91, 79, 94]",6
"[58.61, 66.41, 60.14, 67.55]",8,"[56, 62, 62, 68]",36
"[40.44, 95.3, 42.32, 97.05]",9,"[40, 93, 43, 99]",21
"[32.13, 25.76, 34.04, 27.59]",10,"[32, 25, 35, 28]",9
"[88.07, 47.74, 89.08, 48.94]",11,"[88, 46, 90, 50]",8
"[87.67, 22.33, 88.96, 23.48]",10,"[87, 21, 90, 25]",12
"[15.37, 88.28, 16.45, 89.89]",10,"[15, 87, 18, 90]",9
"[95.14, 35.39, 96.81, 36.43]",10,"[94, 34, 97, 37]",12
"[40.34, 29.38, 42.26, 30.73]",10,"[40, 28, 43, 31]",9
"[47.3, 58.23, 48.31, 59.99]",10,"[46, 57, 50, 60]",12
"[11.19, 55.28, 12.9, 56.37]",10,"[10, 55, 13, 58]",9
"[81.98, 45.23, 83.04, 47.0]",10,"[81, 44, 84, 47]",11
"[63.21, 70.25, 64.96, 71.93]",11,"[63, 69, 65, 72]",8
"[59.56, 42.47, 61.03, 44.02]",9,"[58, 40, 62, 46]",25
"[25.76, 59.16, 27.42, 61.08]",10,"[25, 59, 28, 62]",9
"[80.79, 84.63, 82.12, 86.34]",8,"[78, 81, 83, 87]",36
"[53.55, 66.91, 54.72, 68.04]",10,"[52, 66, 56, 69]",12
"[88.81, 30.54, 90.71, 32.44]",9,"[88, 28, 91, 33]",18
"[2.29, 30.37, 3.4, 31.97]",10,"[1, 29, 4, 32]",9
"[42.37, 4.01, 44.31, 5.24]",8,"[40, 2, 46, 8]",39
"[52.29, 41.11, 53.91, 42.25]",12,"[52, 41, 54, 43]",4
"[74.05, 13.49, 76.02, 15.35]",8,"[72, 12, 77, 18]",36
"[8.21, 93.99, 9.91, 95.19]",10,"[7, 93, 10, 96]",9
"[56.74, 60.42, 58.48, 61.71]",10,"[56, 59, 59, 62]",9
"[4.96, 25.79, 6.38, 27.33]",10,"[4, 25, 7, 28]",9
"[53.34, 57.02, 54.39, 58.84]",10,"[53, 56, 56, 59]",9
"[71.82, 69.06, 73.68, 70.16]",10,"[71, 68, 75, 71]",12
"[52.74, 95.92, 54.37, 96.97]",8,"[50, 93, 56, 99]",42
"[12.77, 71.99, 14.31, 73.67]",10,"[12, 71, 15, 75]",12
"[49.75, 74.04, 51.1, 75.77]",8,"[46, 71, 52, 78]",39
"[38.93, 43.98, 40.79, 45.55]",10,"[38, 43, 41, 46]",9
"[51.73, 5.89, 52.95, 7.62]",9,"[50, 3, 53, 8]",18
"[15.31, 63.81, 16.98, 65.14]",10,"[15, 63, 18, 66]",9
"[82.27, 6.04, 84.0, 7.25]",11,"[82, 6, 84, 9]",6
"[58.71, 57.68, 60.69, 59.57]",8,"[56, 56, 62, 62]",36
"[81.03, 31.51, 82.25, 32.77]",10,"[81, 31, 84, 34]",9
"[89.47, 29.93, 90.54, 31.44]",10,"[88, 29, 91, 32]",9
"[0.13, 69.64, 1.89, 71.45]",10,"[0, 69, 3, 72]",11
"[27.43, 61.71, 29.35, 63.28]",9,"[27, 59, 30, 65]",18
"[78.52, 79.62, 79.99, 80.65]",10,"[78, 78, 81, 81]",9
"[49.41, 51.13, 50.97, 52.65]",11,"[49, 51, 51, 53]",7
"[22.29, 68.66, 23.49, 69.82]",10,"[21, 68, 25, 71]",12
"[55.37, 48.77, 56.73, 49.86]",12,"[55, 48, 57, 50]",4
"[92.67, 20.97, 94.03, 22.48]",8,"[90, 18, 96, 25]",42
"[74.33, 86.64, 75.53, 87.82]",10,"[74, 85, 76, 88]",7
"[41.12, 79.99, 42.67, 81.33]",11,"[41, 79, 43, 82]",6
"[56.07, 74.89, 57.17, 76.53]",9,"[55, 72, 58, 77]",18
"[84.8, 80.53, 86.74, 82.36]",9,"[84, 78, 87, 83]",18
"[39.03, 49.69, 40.2, 51.14]",10,"[38, 49, 41, 52]",9
"[5.37, 42.08, 7.28, 43.19]",10,"[5, 41, 8, 44]",12
"[43.18, 84.58, 44.98, 85.85]",10,"[43, 84, 46, 87]",9
"[78.73, 37.34, 79.86, 38.75]",10,"[78, 37, 81, 40]",9
"[46.57, 60.78, 47.93, 62.32]",11,"[46, 60, 48, 63]",6
"[33.7, 91.58, 35.57, 92.6]",8,"[31, 87, 37, 93]",36
"[9.34, 36.12, 11.04, 37.22]",10,"[8, 35, 12, 38]",12
"[31.61, 62.69, 33.22, 64.43]",10,"[31, 62, 34, 65]",9
"[90.25, 44.81, 91.3, 46.05]",10,"[90, 44, 93, 47]",11
"[59.35, 93.58, 60.87, 95.33]",10,"[59, 93, 62, 96]",9
"[56.38, 49.36, 58.11, 50.97]",10,"[56, 48, 59, 51]",11
"[59.08, 43.7, 60.81, 45.08]",10,"[59, 43, 62, 46]",9
"[93.57, 96.37, 94.65, 97.74]",10,"[93, 96, 96, 99]",12
"[69.97, 56.14, 71.36, 58.05]",10,"[69, 56, 72, 59]",9
"[24.5, 3.86, 26.1, 5.65]",8,"[22, 2, 28, 8]",39
"[4.48, 15.09, 5.49, 17.06]",11,"[4, 15, 6, 18]",6
"[52.67, 72.18, 54.09, 73.34]",8,"[50, 68, 56, 75]",42
"[11.31, 89.8, 12.7, 91.19]",9,"[10, 87, 13, 93]",18
"[61.04, 83.85, 62.63, 85.61]",11,"[61, 83, 63, 87]",9
"[7.73, 44.57, 9.37, 46.17]",10,"[7, 44, 10, 47]",11
"[90.19, 76.99, 91.5, 78.73]",10,"[90, 76, 93, 79]",9
"[15.41, 60.99, 16.94, 62.94]",10,"[14, 60, 18, 63]",12
"[29.87, 42.58, 31.51, 43.81]",8,"[28, 40, 33, 46]",39
"[73.81, 91.74, 74.82, 93.07]",11,"[73, 91, 75, 94]",6
"[36.42, 37.44, 37.49, 38.67]",10,"[35, 37, 38, 40]",9
"[57.72, 95.71, 59.5, 97.19]",9,"[57, 93, 60, 99]",21
"[27.73, 41.32, 29.11, 42.76]",8,"[25, 37, 31, 43]",36
"[75.24, 48.34, 77.19, 49.96]",10,"[75, 46, 78, 50]",12
"[83.61, 49.61, 85.26, 51.17]",9,"[83, 47, 87, 52]",24
"[85.86, 86.92, 87.33, 88.5]",9,"[85, 83, 88, 90]",20
"[35.41, 4.34, 36.67, 5.54]",12,"[35, 4, 37, 6]",4
"[71.03, 23.97, 72.24, 25.19]",9,"[71, 21, 75, 26]",24
"[52.7, 58.4, 53.96, 59.92]",10,"[51, 57, 54, 60]",9
"[64.68, 95.74, 66.47, 97.49]",8,"[62, 93, 68, 99]",42
"[35.64, 3.41, 37.34, 5.14]",10,"[35, 3, 38, 6]",10
"[14.55, 16.76, 15.74, 18.04]",11,"[14, 16, 16, 19]",6
"[41.78, 22.45, 43.53, 23.84]",10,"[41, 21, 44, 25]",12
"[26.42, 64.94, 27.57, 66.33]",9,"[25, 62, 28, 68]",18
"[60.6, 4.51, 62.49, 6.02]",9,"[60, 2, 63, 8]",20
"[36.43, 48.26, 38.41, 49.45]",8,"[34, 43, 39, 50]",42
"[10.23, 85.9, 11.72, 87.42]",11,"[10, 85, 12, 88]",6
"[84.3, 38.03, 86.23, 39.13]",10,"[84, 37, 87, 40]",9
"[48.15, 67.66, 49.28, 69.57]",9,"[46, 65, 50, 71]",24
"[35.48, 77.24, 37.25, 79.1]",10,"[35, 77, 38, 80]",12
"[28.33, 2.08, 29.8, 3.72]",10,"[28, 1, 31, 4]",9
"[31.26, 52.54, 32.38, 53.88]",10,"[31, 51, 34, 54]",9
"[9.78, 75.25, 11.36, 76.5]",10,"[9, 75, 12, 78]",9
"[19.3, 94.17, 20.68, 96.01]",11,"[19, 94, 21, 97]",8
"[91.04, 74.92, 92.17, 76.8]",11,"[91, 74, 93, 77]",6
"[1.07, 64.7, 2.37, 66.47]",9,"[0, 62, 3, 68]",18
"[11.92, 4.17, 13.06, 5.25]",8,"[9, 2, 15, 8]",39
"[6.46, 1.88, 8.05, 3.43]",10,"[6, 1, 9, 4]",9
"[61.74, 18.35, 63.3, 19.98]",8,"[59, 18, 64, 25]",42
"[41.89, 54.45, 43.72, 55.88]",10,"[41, 53, 44, 56]",10
"[38.11, 13.74, 39.96, 15.34]",11,"[38, 13, 40, 16]",6
"[24.83, 82.51, 26.57, 84.24]",10,"[24, 82, 27, 85]",9
"[75.83, 21.29, 77.33, 22.34]",10,"[75, 21, 78, 25]",12
"[52.0, 84.65, 53.85, 86.62]",11,"[52, 84, 54, 87]",6
"[75.51, 61.49, 77.08, 63.03]",8,"[75, 59, 80, 65]",32
"[62.2, 38.96, 63.94, 40.02]",10,"[62, 38, 65, 41]",9
"[79.31, 70.59, 80.44, 72.07]",9,"[78, 68, 81, 75]",21
"[57.67, 45.67, 58.71, 47.28]",9,"[56, 43, 59, 50]",21
"[35.8, 67.76, 36.99, 69.05]",9,"[33, 65, 37, 71]",25
"[92.9, 15.88, 94.09, 17.75]",8,"[90, 12, 96, 18]",42
"[51.1, 55.05, 52.78, 56.77]",12,"[51, 55, 53, 57]",4
"[67.36, 64.43, 69.12, 65.97]",8,"[65, 62, 71, 68]",42
"[42.27, 96.84, 43.87, 98.61]",11,"[42, 96, 44, 99]",8
"[73.56, 48.5, 75.25, 49.55]",8,"[71, 43, 76, 50]",42
"[8.2, 28.52, 9.73, 29.83]",11,"[8, 28, 10, 31]",6
"[75.72, 9.07, 77.22, 10.08]",10,"[75, 9, 78, 12]",9
"[23.45, 37.78, 24.69, 38.84]",11,"[23, 37, 25, 40]",6
"[9.5, 58.58, 11.15, 60.49]",9,"[9, 56, 12, 62]",18
"[47.57, 51.96, 49.33, 53.73]",10,"[46, 51, 50, 54]",12
"[47.6, 53.62, 48.98, 54.87]",10,"[46, 53, 50, 56]",12
"[1.32, 79.39, 3.25, 80.55]",10,"[1, 78, 4, 81]",9
"[2.16, 36.71, 3.26, 38.37]",9,"[2, 34, 5, 40]",18
"[27.64, 17.41, 29.58, 19.35]",9,"[27, 15, 31, 21]",25
"[82.99, 79.24, 84.07, 81.06]",10,"[82, 79, 85, 82]",9
"[69.8, 10.13, 71.08, 11.68]",10,"[69, 9, 72, 12]",12
"[2.48, 41.24, 3.84, 42.43]",12,"[2, 41, 4, 43]",4
"[20.44, 2.61, 22.39, 3.69]",8,"[18, 0, 25, 6]",42
