,L2 Norm
0,-0.0713522507464539
1,-0.0635626597882796
2,-0.0396995450553448
3,-0.0460392444650498
4,-0.0321729480455767
5,-0.013195088933048299
6,-0.009790418991953799
7,-0.019772876130263198
8,-0.0228121334938598
9,-0.019239589851524703
10,-0.020165509087413998
11,-0.022740976563743798
12,-0.014957913834043398
13,-0.014517446091744799
14,-0.020327957200312004
15,-0.018952039591477798
16,-0.015504787427358802
17,-0.016177077959936198
18,-0.0154208170681131
19,-0.0143420197692539
20,-0.014033971299992499
21,-0.008135516478516699
22,-0.0102782072884377
23,-0.015457353113136101
24,-0.016066592867887898
25,-0.0155377016188536
26,-0.012507241324196502
27,-0.0072955830928733995
28,-0.0093834074090311
29,-0.008960589336968399
30,-0.0086641158745616
31,-0.0064341860229601994
32,-0.008979626426966997
33,-0.0055403506495056
34,-0.004214482005338201
35,-0.0011176817588909004
36,-0.0022483074560923997
37,-0.0037859981319836
38,-0.0027312281916097997
39,-0.0009354266965711008
40,-0.0031105950192945996
41,-0.0054987417569062995
42,-0.0037306902166804002
43,-0.0037269218858837
44,-0.004621561594847901
45,-0.005937791558784601
46,-0.007126642065001301
47,-0.0080765771572594
48,-0.0099002473202633
49,-0.008749376439769599
50,-0.007894221682092799
51,-0.0075715051593969
52,-0.0068561378598707996
53,-0.0073250439641528
54,-0.0056729268725515996
55,-0.0049319946492234
56,-0.0044732267413473996
57,-0.0029824417646699
58,-0.0040769593432392
59,-0.004658536537392901
60,-0.0046574113903458
61,-0.0037640718523201
62,-0.004107727993582299
63,-0.0045348302147874
64,-0.0042811901740751005
65,-0.004496415075595599
66,-0.0035619198440778
67,-0.0039450383681992
68,-0.0039593169644388
69,-0.0029155235634895004
70,-0.0017664623419645009
71,-0.0009998453518687
72,-0.00037850971987310033
73,0.0003979230376646003
74,0.0004908028650434998
75,0.0002673341936292005
76,-7.211872141079951e-05
77,0.0012135255495151999
78,0.0029672412772545
79,0.0031653414867670996
80,0.0020950031638047
81,0.002307044317743
82,0.0017677076891858003
83,0.002236570698565
84,0.0018163594021813998
85,0.0005142255667443
86,-0.000264710858808
87,-0.0002817269995969
88,0.00018474682196259994
89,-0.0006785280351349998
90,-0.0004968931295734999
91,-0.00017720984682970033
92,0.0002230580800553
93,0.0005052891521753998
94,7.95811583441e-05
95,0.00038995218137279986
96,0.0008266623054681
97,0.00030020518814539987
98,2.98998546182e-05
99,0.0
