,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,15,156,6,141,10.4,9.615384615384617
1,15,72,7,57,4.8,20.833333333333336
2,45,312,5,267,6.933333333333334,14.423076923076922
3,30,625,4,595,20.833333333333332,4.8
4,25,156,6,131,6.24,16.025641025641026
5,24,156,6,132,6.5,15.384615384615385
6,60,156,6,96,2.6,38.46153846153847
7,6,36,8,30,6.0,16.666666666666664
8,32,156,6,124,4.875,20.51282051282051
9,70,625,4,555,8.928571428571429,11.200000000000001
10,54,84,7,30,1.5555555555555556,64.28571428571429
11,2,21,9,19,10.5,9.523809523809524
12,56,300,5,244,5.357142857142857,18.666666666666668
13,6,78,7,72,13.0,7.6923076923076925
14,20,625,4,605,31.25,3.2
15,49,162,6,113,3.306122448979592,30.246913580246915
16,8,36,8,28,4.5,22.22222222222222
17,1,9,10,8,9.0,11.11111111111111
18,4,12,10,8,3.0,33.33333333333333
19,24,72,7,48,3.0,33.33333333333333
20,40,150,6,110,3.75,26.666666666666668
21,20,325,5,305,16.25,6.153846153846154
22,20,72,7,52,3.6,27.77777777777778
23,6,156,6,150,26.0,3.8461538461538463
24,6,42,8,36,7.0,14.285714285714285
25,6,81,7,75,13.5,7.4074074074074066
26,10,156,6,146,15.6,6.41025641025641
27,18,156,6,138,8.666666666666666,11.538461538461538
28,6,21,9,15,3.5,28.57142857142857
29,54,150,6,96,2.7777777777777777,36.0
30,72,312,5,240,4.333333333333333,23.076923076923077
31,100,625,4,525,6.25,16.0
32,48,156,6,108,3.25,30.76923076923077
33,48,156,6,108,3.25,30.76923076923077
34,54,144,6,90,2.6666666666666665,37.5
35,25,85,7,60,3.4,29.411764705882355
36,54,156,6,102,2.888888888888889,34.61538461538461
37,6,36,8,30,6.0,16.666666666666664
38,24,84,7,60,3.5,28.57142857142857
39,48,150,6,102,3.125,32.0
40,48,625,4,577,13.020833333333334,7.68
41,40,156,6,116,3.9,25.64102564102564
42,30,162,6,132,5.4,18.51851851851852
43,30,144,6,114,4.8,20.833333333333336
44,54,625,4,571,11.574074074074074,8.64
45,24,162,6,138,6.75,14.814814814814813
46,42,312,5,270,7.428571428571429,13.461538461538462
47,36,144,6,108,4.0,25.0
48,18,156,6,138,8.666666666666666,11.538461538461538
49,10,36,8,26,3.6,27.77777777777778
50,32,156,6,124,4.875,20.51282051282051
51,10,65,7,55,6.5,15.384615384615385
52,50,156,6,106,3.12,32.05128205128205
53,45,625,4,580,13.88888888888889,7.199999999999999
54,12,156,6,144,13.0,7.6923076923076925
55,18,156,6,138,8.666666666666666,11.538461538461538
56,42,156,6,114,3.7142857142857144,26.923076923076923
57,2,11,10,9,5.5,18.181818181818183
58,28,156,6,128,5.571428571428571,17.94871794871795
