BRC Query,Data Size
"[11.711160585149564, 28.869621682680087, 14.571372084246448, 29.735114726772107]",3
"[36.15569110061403, 64.61825939550991, 37.8446731542261, 65.59846291853027]",1
"[55.6981916890392, 78.4014945209877, 60.987833362751005, 79.13751382028535]",5
"[64.19309510997248, 81.2470405318178, 66.39307152007517, 81.76882428263941]",0
"[1.784816828255066, 88.639979812999, 3.990338642567527, 89.49680179316852]",2
"[33.815697036108446, 80.93735109369364, 34.80840114068064, 83.84603164584604]",3
"[69.07750388968526, 72.87697290323892, 70.32160399102754, 73.654139446124]",1
"[20.816828438541545, 3.1424442320859987, 27.93005508372346, 3.6999954451383474]",0
"[71.90269839781702, 81.88136869506862, 73.71451841466232, 82.58966173309275]",2
"[45.06535022238561, 46.32969467676731, 49.52805576902843, 47.07400295092984]",4
"[61.131386671859474, 30.063761342808284, 65.08511814916412, 30.836882820732228]",0
"[69.61681308782534, 16.94856614402501, 72.51392372120984, 17.60792123828756]",3
"[24.699517402899513, 78.50417264811607, 32.946662115311526, 79.3786444759716]",8
"[74.11881730699352, 95.30946709918665, 77.33747067677513, 96.28130905668446]",3
"[59.22390607459307, 73.81294635998381, 66.29160993879032, 74.42501213845895]",7
"[32.599487752005075, 2.6729164968411925, 33.88025269010699, 3.4739761275082746]",1
"[37.34039613370194, 83.26528228409082, 39.38456163727169, 84.22520986726673]",2
"[75.28325526697066, 57.84145799842057, 77.74561069731078, 58.87694929877813]",2
"[49.111585695896, 11.364121382374705, 53.58281587701307, 12.072363427959184]",4
"[56.79498472272174, 3.585400689998983, 61.764681767866136, 4.365171455295887]",5
"[68.93397841456944, 52.685952754988286, 71.33674031497495, 53.5548259406745]",3
"[65.12613820952156, 24.40372544263016, 68.31050251657125, 25.3925138852692]",3
"[88.45983734418317, 27.564498001774115, 93.46893432075491, 28.455653641635653]",5
"[33.170786768820136, 10.863695183325854, 37.490364261048086, 11.398578079505267]",4
"[35.640115563170745, 36.72111845668245, 38.96557448459059, 37.72086105409308]",3
"[89.48504318609965, 17.062900555988847, 92.36805247290474, 17.776297383343902]",0
"[2.3013601262300183, 41.068097677303925, 11.284962188604798, 41.719611927015876]",0
"[4.2245130609830275, 12.750236516650036, 7.706810910698869, 13.71291363372954]",3
"[23.301875872380762, 64.33147945159082, 25.939373846848305, 65.32256772249288]",2
"[10.782820539895596, 52.407767115309134, 13.160544895598768, 53.52979316060786]",3
"[76.88178074130687, 80.4836336774108, 79.14692386198409, 81.56502675666142]",3
"[62.819112150587074, 23.4001656106217, 66.39663485941621, 24.18976266162425]",4
"[35.97025841336452, 91.7208605178999, 37.019994827207256, 92.23610145016539]",2
"[76.3352204050763, 94.60041040425638, 77.82324382059711, 95.14828275756051]",1
"[32.630891608176846, 67.310415027833, 35.82040790755359, 68.04322171042996]",3
"[52.31164787539265, 91.15086211962614, 54.29274576849376, 92.17418159582778]",2
"[71.04242150483601, 82.46311707491871, 72.22774010279862, 84.75448978316945]",2
"[82.76634636176514, 1.3041107312946474, 86.42904199910477, 2.283965324361872]",4
"[14.866167161791976, 44.12079554729223, 20.151970678008094, 45.055355431102754]",6
"[2.126471219846968, 49.0463699948103, 10.176248841659904, 49.847118892941296]",0
"[81.81882747723871, 35.559087208561785, 83.73894298147756, 36.72340777326981]",2
"[36.96939021823459, 77.51122093470539, 38.447285054025876, 78.53165587322823]",2
"[62.859700617551496, 38.26354482324282, 69.348137935249, 39.08249543978252]",7
"[67.9268086835438, 52.12579454235968, 70.90754588547149, 52.896737380748654]",0
"[60.00003227028042, 34.556107558846996, 62.05945882159808, 35.57284555191419]",2
"[92.4342993782784, 84.90548940653817, 94.85415715273038, 85.9687221432884]",2
"[41.812796741601545, 2.8024513750627933, 47.280417854642415, 3.427650936578681]",6
"[71.56715941473924, 3.338366579891044, 73.53726698804869, 4.1615201501837875]",2
"[34.12524430758285, 42.04341721292079, 36.93414575680981, 42.55537425978644]",0
"[14.85748688160318, 69.98900154346182, 22.458908644573075, 70.58553326328044]",8
"[34.15137272637535, 49.39493037061299, 40.26090445204018, 50.012310373020085]",6
"[45.429500174953866, 58.9351219590272, 48.012407814148744, 59.9685783085279]",3
"[89.72537586433462, 43.84602373058463, 92.43198816653671, 44.84396331921764]",3
"[21.906704622890064, 22.285181763693068, 26.161370627597655, 23.280417149547254]",5
"[82.82084997069764, 8.86717890500101, 83.82702000288404, 10.53551413518747]",2
