SRC Query,Depth,BBoxes,Data Size
"[2.0306471107181996, 37.97011504269008, 56.78025285647704, 41.49806264628413]",0,"[0, 0, 99, 99]",10000
"[2.6406274759890564, 43.70292463753745, 62.270416549764356, 50.15684643721508]",0,"[0, 0, 99, 99]",10000
"[0, 67.40144656252401, 77.47948119731463, 70.59839027112234]",0,"[0, 0, 99, 99]",10000
"[15.153238676748321, 62.168152534897274, 26.477564629422808, 64.55811057071094]",4,"[12, 50, 37, 75]",625
"[17.880899124803463, 18.614459324841185, 26.264166993846057, 56.110557727007205]",1,"[0, 0, 50, 99]",5000
"[1.1126064820381747, 73.2539705452772, 9.469537530417869, 79.00032610756644]",6,"[0, 68, 12, 81]",156
"[0, 86.9385145016576, -12.825590800383008, 90.67979812649995]",7,"[0, 81, 6, 93]",78
"[22.635233058916125, 81.76716951108045, 27.74111287110199, 90.36317608100784]",6,"[18, 81, 30, 93]",156
"[24.615211742451034, 34.96603960704645, 56.084785558343064, 40.57159711232563]",0,"[0, 0, 99, 99]",10000
"[12.811565932671051, 17.752006101812444, 65.22947633561826, 24.89067378217068]",0,"[0, 0, 99, 99]",10000
"[15.265317994081768, 37.399281692189774, 25.766214366881535, 55.585482817901166]",4,"[12, 37, 37, 62]",625
"[0, 1.0506778390291804, 71.15963922985677, 7.111985786804784]",0,"[0, 0, 99, 99]",10000
"[34.850748515158344, 4.87567351843385, 53.37695424335466, 7.443778009415469]",2,"[25, 0, 74, 50]",2500
"[2.9951884431469966, 63.87984909088524, 74.29750186524119, 68.8954503867026]",0,"[0, 0, 99, 99]",10000
"[2.5936473788429106, 46.41373917607345, 22.052717048653438, 50.62861131240399]",4,"[0, 37, 25, 62]",625
"[15.531833464540933, 16.98218173828874, 25.66351453024228, 42.85568887796887]",3,"[12, 0, 37, 50]",1250
"[2.8744217284655744, 30.327747268782666, 17.45220980436204, 34.48073636334868]",4,"[0, 25, 25, 50]",625
"[12.27484120841031, 38.8558170840816, 59.17830912327498, 46.29099444511513]",0,"[0, 0, 99, 99]",10000
"[0, 15.666741657351714, 99, 18.38828181015092]",0,"[0, 0, 99, 99]",10000
"[12.271494267284925, 74.0719028180307, 49.99356203559502, 85.42928057510213]",2,"[0, 50, 50, 99]",2500
"[18.661510584311287, 15.905563214762374, 50.49228118384884, 30.605365644312712]",0,"[0, 0, 99, 99]",10000
"[71.92199435743481, 19.345975048656822, 80.03993693719902, 38.03462609536385]",3,"[62, 0, 87, 50]",1250
"[29.280787899225412, 47.82146650371432, 44.58051874624155, 51.473464551720895]",4,"[25, 37, 50, 62]",625
"[0, 33.302654065224104, 9.882575756360882, 38.00820267746511]",6,"[0, 31, 12, 43]",156
"[5.41451450901073, 15.271423156696375, 60.129107859583286, 17.464439880035115]",0,"[0, 0, 99, 99]",10000
"[74.51392418467952, 12.149377568117398, 79.06976942571478, 63.253736261352586]",1,"[50, 0, 99, 99]",5000
"[3.930094979119883, 48.91288730529359, 25.036214689923295, 56.94031043908543]",2,"[0, 25, 50, 74]",2500
"[0.6345649948417288, 48.18236015741524, 70.4308340130073, 54.38611114568885]",0,"[0, 0, 99, 99]",10000
"[2.6713059127493883, 79.8008271861337, 55.895004613216926, 82.49904922055207]",0,"[0, 0, 99, 99]",10000
"[6.694941048924208, 50.19558081110829, 17.640845258967968, 72.89236995447118]",5,"[6, 50, 18, 75]",312
"[20.84253487377355, 46.36838516516756, 50.65978805980585, 55.758113703507426]",0,"[0, 0, 99, 99]",10000
"[40.40772641915465, 62.25210634769049, 66.87514913119706, 73.18078348346783]",2,"[25, 50, 74, 99]",2500
"[0, 63.942900031350725, 8.6442993004204, 67.0588244611738]",6,"[0, 62, 12, 75]",156
"[72.36578737608176, 3.1857530326928116, 79.07061538767441, 39.26649961804955]",3,"[62, 0, 87, 50]",1250
"[68.29650758864612, 39.970214479596066, 77.50317752837162, 56.9104728655324]",5,"[68, 37, 81, 62]",312
"[0, 92.48199303244905, 8.616101896166253, 97.05791261658608]",6,"[0, 87, 12, 99]",156
"[32.23902312759827, 81.8411382276206, 45.11794962075037, 93.77478587258894]",4,"[25, 75, 50, 99]",625
"[0, 4.940276690078112, 0.5576563957432893, 9.578433288499287]",7,"[0, 0, 6, 12]",78
"[19.528426105640126, 77.71407138271871, 30.244008976132953, 83.68406228939357]",4,"[12, 75, 37, 99]",625
"[11.794610213552287, 37.88455011805786, 35.432237500069164, 39.8442912693505]",2,"[0, 0, 50, 50]",2500
"[58.4865029463061, 43.71225884490259, 75.91827401378137, 56.67025298431001]",2,"[50, 25, 99, 74]",2500
"[45.80550792798536, 18.275325254893517, 49.424953530478625, 32.79291162436295]",5,"[37, 12, 50, 37]",313
"[18.2958016570557, 52.67646856753139, 58.572617852651874, 60.02344874690725]",0,"[0, 0, 99, 99]",10000
"[16.188532001950456, 90.24027198494261, 58.55752015837645, 97.25402744417465]",0,"[0, 0, 99, 99]",10000
"[24.903489901031985, 67.44018681742746, 82.51232861271963, 77.36269852362054]",0,"[0, 0, 99, 99]",10000
"[7.581149043403172, 3.6037294598026226, 34.21821546263145, 5.891817179859451]",2,"[0, 0, 50, 50]",2500
"[0, 48.217942177218106, 84.34565772299527, 54.01647731164511]",0,"[0, 0, 99, 99]",10000
"[6.034568418484674, 33.73752663450882, 44.25777619616048, 40.6442772932184]",2,"[0, 0, 50, 50]",2500
"[0, 60.33532550482004, 8.607994046988697, 62.55402525662216]",6,"[0, 56, 12, 68]",156
"[0, 64.71324314768187, 88.15021560498165, 68.35627364976737]",0,"[0, 0, 99, 99]",10000
"[19.407255180020886, 29.34198532306332, 74.80153716653209, 38.61211369646023]",0,"[0, 0, 99, 99]",10000
"[0, 29.392202074402093, 35.0185336700393, 34.15852388293114]",2,"[0, 0, 50, 50]",2500
"[0, 8.749084374971057, 96.27958317516735, 11.799896597662322]",0,"[0, 0, 99, 99]",10000
"[0, 7.857888835488675, 83.12137391933976, 9.411706559800455]",0,"[0, 0, 99, 99]",10000
"[22.31789614031539, 38.47105160908932, 32.57326899098699, 57.59356156803913]",4,"[12, 37, 37, 62]",625
"[58.20970448731621, 28.567975895202597, 86.27528861844601, 40.25207730779554]",2,"[50, 0, 99, 50]",2500
"[21.373325738486333, 24.131128413291478, 44.84048166229835, 29.099072233760825]",2,"[0, 0, 50, 50]",2500
"[0, 37.539621424238895, 78.82228409902372, 41.05595486140393]",0,"[0, 0, 99, 99]",10000
"[0.03301780510906198, 72.51323151745413, 9.455951540251622, 76.84005673220028]",6,"[0, 68, 12, 81]",156
"[17.679735561420323, 7.168970345961171, 34.2948385206473, 36.08869715904443]",3,"[12, 0, 37, 50]",1250
"[0, 41.836097324528346, 42.41268985076871, 42.87928739458988]",2,"[0, 0, 50, 50]",2500
"[0, 83.00246724213923, 67.48549633556061, 87.68178964798149]",0,"[0, 0, 99, 99]",10000
"[16.03820504116965, 7.557818334416019, 60.59482881704275, 10.636697156200261]",0,"[0, 0, 99, 99]",10000
"[16.94654279965542, 40.07768206772154, 36.71156870817551, 43.93096508122855]",4,"[12, 25, 37, 50]",625
"[4.486945553016009, 61.21233403398012, 50.8712299660513, 62.32402941455428]",0,"[0, 0, 99, 99]",10000
"[1.4478213359419625, 44.51374294305356, 17.81383775120174, 53.37818146422418]",4,"[0, 37, 25, 62]",625
"[10.053716217922213, 55.537165278130885, 23.91138199663502, 64.48752434487191]",4,"[0, 50, 25, 75]",625
