,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,3,39,8,36,13.0,7.6923076923076925
1,1,5,11,4,5.0,20.0
2,5,156,6,151,31.2,3.205128205128205
3,0,10,10,10,inf,0.0
4,2,10,10,8,5.0,20.0
5,3,5,11,2,1.6666666666666667,60.0
6,1,5,11,4,5.0,20.0
7,0,156,6,156,inf,0.0
8,2,39,8,37,19.5,5.128205128205128
9,4,40,8,36,10.0,10.0
10,0,156,6,156,inf,0.0
11,3,39,8,36,13.0,7.6923076923076925
12,8,156,6,148,19.5,5.128205128205128
13,3,39,8,36,13.0,7.6923076923076925
14,7,156,6,149,22.285714285714285,4.487179487179487
15,1,10,10,9,10.0,10.0
16,2,9,10,7,4.5,22.22222222222222
17,2,10,10,8,5.0,20.0
18,4,156,6,152,39.0,2.564102564102564
19,5,39,8,34,7.8,12.82051282051282
20,3,39,8,36,13.0,7.6923076923076925
21,3,39,8,36,13.0,7.6923076923076925
22,5,156,6,151,31.2,3.205128205128205
23,4,156,6,152,39.0,2.564102564102564
24,3,10,10,7,3.3333333333333335,30.0
25,0,39,8,39,inf,0.0
26,0,156,6,156,inf,0.0
27,3,39,8,36,13.0,7.6923076923076925
28,2,39,8,37,19.5,5.128205128205128
29,3,39,8,36,13.0,7.6923076923076925
30,3,39,8,36,13.0,7.6923076923076925
31,4,39,8,35,9.75,10.256410256410255
32,2,39,8,37,19.5,5.128205128205128
33,1,5,11,4,5.0,20.0
34,3,39,8,36,13.0,7.6923076923076925
35,2,10,10,8,5.0,20.0
36,2,20,9,18,10.0,10.0
37,4,39,8,35,9.75,10.256410256410255
38,6,157,6,151,26.166666666666668,3.821656050955414
39,0,156,6,156,inf,0.0
40,2,10,10,8,5.0,20.0
41,2,10,10,8,5.0,20.0
42,7,157,6,150,22.428571428571427,4.45859872611465
43,0,39,8,39,inf,0.0
44,2,10,10,8,5.0,20.0
45,2,10,10,8,5.0,20.0
46,6,156,6,150,26.0,3.8461538461538463
47,2,10,10,8,5.0,20.0
48,0,10,10,10,inf,0.0
49,8,157,6,149,19.625,5.095541401273886
50,6,156,6,150,26.0,3.8461538461538463
51,3,39,8,36,13.0,7.6923076923076925
52,3,39,8,36,13.0,7.6923076923076925
53,5,156,6,151,31.2,3.205128205128205
54,2,19,9,17,9.5,10.526315789473683
55,4,156,6,152,39.0,2.564102564102564
56,3,39,8,36,13.0,7.6923076923076925
57,0,9,10,9,inf,0.0
58,1,5,11,4,5.0,20.0
59,6,156,6,150,26.0,3.8461538461538463
60,0,39,8,39,inf,0.0
61,3,39,8,36,13.0,7.6923076923076925
62,2,10,10,8,5.0,20.0
63,1,9,10,8,9.0,11.11111111111111
64,0,156,6,156,inf,0.0
65,0,3,12,3,inf,0.0
66,2,10,10,8,5.0,20.0
67,3,39,8,36,13.0,7.6923076923076925
68,2,5,11,3,2.5,40.0
69,0,39,8,39,inf,0.0
70,2,39,8,37,19.5,5.128205128205128
71,2,39,8,37,19.5,5.128205128205128
72,1,2,12,1,2.0,50.0
73,3,39,8,36,13.0,7.6923076923076925
74,4,20,9,16,5.0,20.0
75,6,156,6,150,26.0,3.8461538461538463
76,2,39,8,37,19.5,5.128205128205128
77,2,39,8,37,19.5,5.128205128205128
78,0,625,4,625,inf,0.0
79,7,78,7,71,11.142857142857142,8.974358974358974
80,5,156,6,151,31.2,3.205128205128205
81,2,9,10,7,4.5,22.22222222222222
82,3,39,8,36,13.0,7.6923076923076925
83,0,10,10,10,inf,0.0
84,1,5,11,4,5.0,20.0
85,3,5,11,2,1.6666666666666667,60.0
86,2,10,10,8,5.0,20.0
87,5,156,6,151,31.2,3.205128205128205
88,7,625,4,618,89.28571428571429,1.1199999999999999
89,4,39,8,35,9.75,10.256410256410255
90,5,157,6,152,31.4,3.1847133757961785
91,0,39,8,39,inf,0.0
92,0,156,6,156,inf,0.0
93,4,39,8,35,9.75,10.256410256410255
94,4,39,8,35,9.75,10.256410256410255
95,2,9,10,7,4.5,22.22222222222222
96,1,10,10,9,10.0,10.0
97,1,10,10,9,10.0,10.0
98,3,39,8,36,13.0,7.6923076923076925
99,7,625,4,618,89.28571428571429,1.1199999999999999
100,2,5,11,3,2.5,40.0
101,4,19,9,15,4.75,21.052631578947366
102,2,10,10,8,5.0,20.0
103,2,5,11,3,2.5,40.0
104,4,10,10,6,2.5,40.0
105,3,39,8,36,13.0,7.6923076923076925
106,2,39,8,37,19.5,5.128205128205128
107,4,39,8,35,9.75,10.256410256410255
108,2,10,10,8,5.0,20.0
109,7,625,4,618,89.28571428571429,1.1199999999999999
110,0,9,10,9,inf,0.0
111,8,157,6,149,19.625,5.095541401273886
112,3,39,8,36,13.0,7.6923076923076925
113,4,39,8,35,9.75,10.256410256410255
114,3,39,8,36,13.0,7.6923076923076925
115,3,10,10,7,3.3333333333333335,30.0
116,2,9,10,7,4.5,22.22222222222222
117,3,39,8,36,13.0,7.6923076923076925
118,2,39,8,37,19.5,5.128205128205128
119,2,10,10,8,5.0,20.0
120,2,39,8,37,19.5,5.128205128205128
121,1,1,13,0,1.0,100.0
122,2,4,11,2,2.0,50.0
123,3,39,8,36,13.0,7.6923076923076925
124,1,9,10,8,9.0,11.11111111111111
125,3,39,8,36,13.0,7.6923076923076925
126,0,9,10,9,inf,0.0
127,1,10,10,9,10.0,10.0
128,4,156,6,152,39.0,2.564102564102564
129,5,39,8,34,7.8,12.82051282051282
130,3,39,8,36,13.0,7.6923076923076925
131,1,10,10,9,10.0,10.0
132,3,39,8,36,13.0,7.6923076923076925
133,1,3,12,2,3.0,33.33333333333333
134,2,39,8,37,19.5,5.128205128205128
135,6,156,6,150,26.0,3.8461538461538463
136,3,39,8,36,13.0,7.6923076923076925
