BRC Query,Data Size
"[[(8.45, 9.67), (49.11, 50.11)]]",100
"[[(10.97, 12.24), (51.19, 52.41)]]",23
"[[(8.18, 9.19), (50.56, 51.76)]]",16
"[[(12.11, 13.28), (52.0, 53.08)]]",95
"[[(11.02, 12.22), (50.62, 51.82)]]",51
"[[(8.29, 9.35), (53.28, 54.51)]]",0
"[[(10.91, 12.07), (48.27, 49.44)]]",31
"[[(10.35, 11.54), (53.52, 54.62)]]",11
"[[(10.98, 12.25), (50.58, 51.66)]]",55
"[[(8.47, 9.54), (51.04, 52.19)]]",68
"[[(12.0, 13.25), (50.89, 51.93)]]",34
"[[(10.61, 11.79), (53.51, 54.59)]]",9
"[[(11.18, 12.25), (50.03, 51.16)]]",36
"[[(9.66, 10.79), (49.3, 50.37)]]",18
"[[(12.09, 13.12), (50.6, 51.87)]]",26
"[[(11.63, 12.68), (51.06, 52.29)]]",47
"[[(11.39, 12.58), (49.14, 50.34)]]",0
"[[(8.48, 9.67), (52.02, 53.29)]]",85
"[[(12.06, 13.32), (50.1, 51.27)]]",0
"[[(8.96, 10.22), (49.06, 50.07)]]",33
"[[(8.57, 9.66), (48.36, 49.53)]]",36
"[[(11.79, 12.97), (49.18, 50.26)]]",0
"[[(11.4, 12.54), (50.28, 51.41)]]",34
"[[(8.47, 9.57), (49.24, 50.36)]]",121
"[[(9.36, 10.38), (53.08, 54.14)]]",31
"[[(9.74, 11.01), (53.16, 54.37)]]",38
"[[(6.86, 8.08), (53.21, 54.39)]]",0
"[[(8.04, 9.06), (49.69, 50.92)]]",95
"[[(11.86, 12.9), (52.27, 53.52)]]",30
"[[(8.78, 9.85), (53.21, 54.41)]]",12
"[[(11.2, 12.23), (52.4, 53.47)]]",24
"[[(11.66, 12.85), (50.37, 51.48)]]",29
"[[(8.67, 9.7), (51.01, 52.02)]]",31
"[[(11.8, 12.91), (48.73, 49.82)]]",0
"[[(12.08, 13.22), (50.51, 51.78)]]",23
"[[(6.87, 7.93), (49.16, 50.22)]]",1
"[[(10.83, 11.91), (51.09, 52.3)]]",12
"[[(11.85, 12.89), (52.43, 53.43)]]",23
"[[(8.4, 9.44), (51.64, 52.83)]]",97
"[[(11.63, 12.84), (50.15, 51.33)]]",13
"[[(11.29, 12.41), (48.22, 49.23)]]",31
"[[(9.28, 10.4), (52.19, 53.32)]]",70
"[[(12.43, 13.43), (48.37, 49.58)]]",0
"[[(11.62, 12.79), (52.96, 54.22)]]",31
"[[(9.01, 10.12), (51.06, 52.27)]]",47
"[[(9.17, 10.2), (52.88, 54.04)]]",22
"[[(11.0, 12.03), (48.3, 49.46)]]",38
"[[(12.25, 13.48), (48.25, 49.28)]]",0
"[[(11.98, 13.02), (49.47, 50.63)]]",0
"[[(9.06, 10.32), (48.54, 49.81)]]",48
"[[(7.53, 8.7), (49.49, 50.73)]]",96
"[[(10.9, 12.07), (48.72, 49.96)]]",46
"[[(9.8, 10.82), (51.48, 52.73)]]",78
"[[(11.84, 13.01), (51.32, 52.55)]]",47
"[[(11.75, 12.92), (50.75, 51.85)]]",37
"[[(12.35, 13.5), (52.56, 53.79)]]",58
"[[(8.95, 10.2), (52.5, 53.71)]]",18
"[[(11.05, 12.15), (51.47, 52.53)]]",17
"[[(8.99, 10.11), (50.85, 52.09)]]",48
"[[(6.86, 8.1), (49.45, 50.56)]]",30
"[[(12.43, 13.53), (50.61, 51.85)]]",1
"[[(9.89, 11.1), (49.33, 50.46)]]",59
"[[(8.88, 10.08), (48.25, 49.43)]]",36
"[[(7.72, 8.93), (52.02, 53.21)]]",49
"[[(8.05, 9.1), (49.81, 50.94)]]",94
"[[(11.45, 12.57), (53.18, 54.43)]]",25
"[[(6.88, 8.05), (53.13, 54.31)]]",0
"[[(10.75, 11.82), (52.78, 53.87)]]",5
"[[(10.38, 11.4), (52.27, 53.39)]]",37
"[[(10.69, 11.8), (52.57, 53.74)]]",6
"[[(6.83, 8.01), (52.37, 53.54)]]",0
