,L2 Norm
0,0.07027332353034116
1,0.07014513525541168
2,0.06451103264817061
3,0.05039682529683789
4,0.04643210096474205
5,0.03593676545143025
6,0.04238084376658099
7,0.041008718585198445
8,0.037012100123548185
9,0.03193963055515828
10,0.030149646051401552
11,0.02937319261579245
12,0.02615582119239464
13,0.024412969119394105
14,0.021895357194315578
15,0.023439336594707632
16,0.0203580629393761
17,0.021272929531782815
18,0.021218604965357647
19,0.018031638860624956
20,0.01718222595849819
21,0.015536717374556945
22,0.015227068972379515
23,0.016351384582896263
24,0.018164250603864732
25,0.01734857735074189
26,0.01802611502918106
27,0.01642680735870485
28,0.015999180270321215
29,0.015753165466731514
30,0.016782837103061207
31,0.015034990438972693
32,0.015126047080300993
33,0.015312800805604139
34,0.013066439328856731
35,0.014820131453408113
36,0.013117201081307348
37,0.012775142501278721
38,0.012644565479304572
39,0.012016239012270018
40,0.012913281902535413
41,0.011162471544199195
42,0.01103008962932467
43,0.011238084599011773
44,0.011301884470856737
45,0.011502515546355065
46,0.010407910857616902
47,0.0084580090249814
48,0.006985984064141564
49,0.006571149062378672
50,0.006171592845192247
51,0.006013033181958777
52,0.006689658762138969
53,0.006292903225171333
54,0.005750702436433025
55,0.005960173946235776
56,0.007294209832190429
57,0.007300004072124355
58,0.008012514271241857
59,0.008003193806919289
60,0.007148126386013472
61,0.007819020806236953
62,0.007847363803831841
63,0.007758573886353088
64,0.00851877842174666
65,0.008015782182898518
66,0.008205185837436338
67,0.007428263615813638
68,0.0068382570977132545
69,0.0061086422553691625
70,0.005963220273688814
71,0.005721860830011932
72,0.006636782868646679
73,0.005792646657257487
74,0.005426068763130651
75,0.005815548935249583
76,0.006286785622986342
77,0.006196494311209322
78,0.005672862731907775
79,0.005699451728017354
80,0.005457694187999003
81,0.005213270715457547
82,0.004567238666590149
83,0.0046955954659707805
84,0.004709505957824251
85,0.004866228918082264
86,0.005112183939058446
87,0.005119453257223141
88,0.00461603803007122
89,0.0036534103803716714
90,0.0031184315584305133
91,0.0026927965238934546
92,0.002260895818414186
93,0.0018247158816897882
94,0.001968406979966589
95,0.0023637672967814203
96,0.0020316619113975192
97,0.001086308721727151
98,0.0006515221986933863
99,0.0
