BRC Query,Data Size
"[[(-5.75, 13.48), (70.12, 76.81)]]",2
"[[(-21.69, -4.34), (-114.99, -105.38)]]",0
"[[(-13.42, -10.4), (136.87, 156.6)]]",0
"[[(6.08, 10.38), (127.64, 145.99)]]",0
"[[(-42.69, -40.61), (-147.22, -123.5)]]",0
"[[(20.51, 22.66), (-9.97, -0.67)]]",0
"[[(10.91, 20.32), (-117.44, -110.86)]]",0
"[[(4.95, 12.94), (-61.45, -42.67)]]",0
"[[(-7.37, 6.79), (142.12, 163.01)]]",0
"[[(15.23, 18.37), (101.68, 116.08)]]",0
"[[(-39.84, -25.13), (139.71, 154.78)]]",111
"[[(38.35, 47.42), (119.91, 125.36)]]",0
"[[(35.91, 39.41), (100.02, 114.51)]]",0
"[[(-15.08, -1.58), (-66.51, -45.22)]]",0
"[[(21.97, 24.59), (-79.63, -58.25)]]",0
"[[(-2.87, 4.47), (147.29, 152.97)]]",0
"[[(31.69, 52.01), (7.34, 10.97)]]",308
"[[(38.54, 58.3), (-140.67, -122.1)]]",2986
"[[(-5.46, 11.98), (-56.05, -39.74)]]",1
"[[(27.59, 47.56), (-76.07, -58.68)]]",3479
"[[(29.11, 38.88), (-128.44, -115.59)]]",11151
"[[(13.07, 33.76), (81.58, 85.7)]]",0
"[[(31.34, 42.86), (-153.94, -143.04)]]",0
"[[(35.3, 53.26), (-7.11, -2.59)]]",34
"[[(12.6, 17.68), (30.82, 39.98)]]",0
"[[(8.16, 19.25), (-131.76, -114.39)]]",0
"[[(20.94, 43.65), (98.05, 99.7)]]",0
"[[(26.27, 32.92), (-95.25, -85.53)]]",366
"[[(-2.63, 14.23), (46.96, 64.3)]]",0
"[[(-9.05, -4.09), (-68.67, -54.79)]]",0
"[[(0.82, 18.19), (-124.28, -100.09)]]",0
"[[(-46.08, -28.85), (-46.96, -30.99)]]",0
"[[(17.82, 29.25), (147.44, 159.53)]]",0
"[[(-6.27, -2.5), (22.23, 43.74)]]",0
"[[(-34.56, -16.42), (83.21, 92.38)]]",0
"[[(6.66, 30.77), (-71.22, -62.4)]]",11
"[[(38.59, 43.81), (-20.23, 2.14)]]",3
"[[(22.47, 30.37), (123.11, 129.26)]]",0
"[[(-16.63, -2.35), (95.29, 102.22)]]",0
"[[(8.22, 24.94), (-8.52, 9.03)]]",0
"[[(11.51, 20.36), (-89.99, -78.46)]]",0
"[[(25.48, 47.76), (-99.48, -95.72)]]",8262
"[[(-32.3, -21.16), (-151.55, -144.58)]]",0
"[[(7.99, 28.59), (59.04, 69.18)]]",0
"[[(12.29, 19.31), (-35.26, -23.72)]]",0
