SRC Query,Depth,BBoxes,Data Size
"[[(-46.22, -44.77), (-87.88, -83.94)]]",11,"[[-48.2246696949, 27.8301483575], [-97.7233511209, -82.7828056333]]",19
"[[(-31.31, -26.66), (-150.42, -148.69)]]",15,"[[-48.2246696949, 20.68161082], [-156.44103819, -117.8483600167]]",1
"[[(10.41, 13.19), (133.87, 137.88)]]",15,"[[-27.2809503, 25.079669], [121.569266, 153.0325043]]",1
"[[(48.12, 52.97), (35.4, 37.29)]]",4,"[[41.8663969455, 63.40343715], [-0.2599596977, 177.45290404]]",2523
"[[(-25.54, -22.87), (-86.06, -81.29)]]",5,"[[-48.2246696949, 28.3730936], [-97.7233511209, 177.45290404]]",1261
"[[(33.08, 35.8), (62.87, 66.28)]]",6,"[[32.9279067112, 37.7596465333], [-92.3562192333, 177.45290404]]",631
"[[(45.46, 47.95), (126.32, 128.6)]]",10,"[[41.8663969455, 48.1725775333], [11.560262379, 177.45290404]]",40
"[[(-22.81, -21.69), (-85.21, -82.76)]]",9,"[[-48.2246696949, 27.8954912333], [-97.7233511209, -82.7036190033]]",78
"[[(13.68, 19.19), (-155.8, -151.83)]]",15,"[[-48.2246696949, 20.68161082], [-156.44103819, -117.8483600167]]",1
"[[(25.29, 31.93), (-122.29, -117.35)]]",3,"[[-48.2246696949, 34.0736532784], [-176.30859375, -97.80779924]]",5044
"[[(29.3, 34.4), (87.21, 90.77)]]",2,"[[-48.2246696949, 37.7596465333], [-97.80779924, 177.45290404]]",10089
"[[(14.0, 20.4), (-154.53, -149.85)]]",15,"[[-48.2246696949, 20.68161082], [-156.44103819, -117.8483600167]]",1
"[[(22.1, 26.76), (119.93, 126.55)]]",6,"[[-48.2246696949, 28.3730936], [-81.56045365, 177.45290404]]",631
"[[(-9.43, -3.36), (164.01, 168.0)]]",16,"[[-27.2354151833, 26.0722728814], [153.1070762667, 177.45290404]]",1
"[[(-19.77, -13.82), (131.22, 136.23)]]",15,"[[-27.2809503, 25.079669], [121.569266, 153.0325043]]",1
"[[(-3.65, 3.01), (-172.21, -169.19)]]",15,"[[-48.2246696949, 21.2973614902], [-176.30859375, -157.8613822167]]",1
"[[(-39.19, -37.08), (-21.65, -17.65)]]",15,"[[-48.2246696949, -25.43722915], [-49.26710212, 18.4074161167]]",1
"[[(-44.07, -42.46), (-110.37, -104.71)]]",11,"[[-48.2246696949, 23.0088264], [-117.8483600167, -98.6999058667]]",19
"[[(26.32, 31.47), (142.83, 143.9)]]",2,"[[-48.2246696949, 37.7596465333], [-97.80779924, 177.45290404]]",10089
