,DAG,KD
0,16,16
1,15,15
2,15,15
3,15,15
4,6,6
5,5,5
6,15,15
7,16,16
8,4,4
9,4,4
10,15,15
11,16,16
12,11,11
13,14,14
14,15,15
15,15,15
16,12,12
17,4,2
18,15,15
19,2,2
20,15,15
21,14,12
22,8,6
23,15,15
24,10,10
25,0,0
26,0,0
27,2,2
28,15,15
29,15,15
30,15,15
31,11,11
32,15,15
33,3,3
34,15,15
35,9,9
36,0,0
37,0,0
38,16,16
39,4,4
40,16,16
41,15,15
42,2,2
43,5,5
44,15,15
45,15,15
46,0,0
47,12,12
48,15,15
49,6,6
50,15,15
51,2,2
52,12,10
53,0,0
54,15,15
55,5,5
56,1,1
57,8,8
58,2,2
59,15,15
60,0,0
61,8,8
62,11,11
63,2,2
64,13,9
65,15,15
66,0,0
67,12,9
68,12,7
69,0,0
70,9,9
71,4,4
72,0,0
73,8,0
74,4,4
75,2,2
76,13,13
77,12,12
78,12,10
79,0,0
80,2,2
81,15,15
82,15,15
83,2,2
84,14,14
85,12,10
86,14,7
87,2,2
88,2,2
89,1,1
90,1,1
91,3,3
92,2,0
93,15,15
94,15,15
95,16,16
96,16,16
97,11,11
98,16,16
99,15,15
100,15,15
101,2,2
102,15,15
103,16,16
104,12,12
105,2,1
106,14,14
107,11,11
108,12,12
109,16,7
110,15,15
111,11,11
112,1,1
113,4,4
114,15,15
115,4,4
116,14,12
117,11,9
118,6,6
119,5,5
120,6,6
121,12,7
122,15,15
123,0,0
124,16,16
125,15,15
126,10,10
127,4,4
128,15,15
129,3,3
130,15,15
131,8,8
132,8,8
133,16,16
134,0,0
135,16,16
136,14,12
137,8,8
138,4,4
139,5,5
140,4,0
141,14,7
142,0,0
143,2,2
144,10,10
145,10,10
146,15,15
147,15,12
148,2,2
149,5,5
150,12,12
151,11,11
152,15,15
153,8,8
154,15,15
155,15,15
156,0,0
157,0,0
158,15,15
159,0,0
160,15,15
161,6,6
162,3,3
163,3,3
164,15,15
165,5,5
166,11,11
167,0,0
168,3,3
169,15,15
170,2,2
171,8,8
172,5,5
173,15,15
174,2,2
175,15,15
176,15,15
177,2,2
178,5,5
179,14,14
180,11,11
181,15,15
182,15,15
183,8,8
184,10,10
185,11,11
186,15,15
187,13,9
188,2,2
189,16,7
190,2,2
191,0,0
192,6,6
193,11,11
194,1,1
195,14,14
196,15,15
197,15,15
198,11,11
199,5,5
200,11,11
201,0,0
202,15,15
203,15,15
204,4,4
205,10,10
206,15,15
207,6,6
208,15,15
209,6,6
210,14,12
211,11,11
212,15,15
213,10,10
214,10,10
215,6,6
216,14,14
217,15,15
218,15,15
219,4,2
220,2,2
221,11,11
222,15,15
223,15,15
224,4,4
225,15,15
226,0,0
227,15,15
228,15,15
229,14,14
230,15,15
231,11,11
232,16,16
233,10,10
234,0,0
235,11,11
236,4,4
237,15,15
238,5,5
239,2,2
240,13,13
241,16,12
242,14,14
243,15,15
244,5,5
245,0,0
246,15,15
247,15,15
248,4,4
249,15,15
250,15,15
251,0,0
252,14,14
253,4,0
254,14,12
255,15,15
256,11,11
257,15,15
258,5,5
259,10,10
260,7,7
261,14,14
262,4,4
263,3,1
264,2,2
265,0,0
266,14,14
267,15,15
268,14,14
269,11,11
270,15,15
271,16,16
272,2,2
273,2,2
274,15,15
275,4,4
276,2,2
277,15,15
278,16,16
279,14,12
280,12,12
281,15,15
282,15,15
283,6,6
284,1,1
285,14,14
286,3,3
287,15,15
288,4,4
289,12,10
290,15,15
291,11,11
292,5,5
293,6,6
294,15,15
295,11,11
296,9,9
297,6,6
298,5,5
299,15,15
300,15,15
301,4,0
302,8,8
303,15,9
304,5,5
305,5,5
306,7,7
307,0,0
308,5,5
309,9,9
310,15,15
311,11,11
312,16,16
313,11,11
314,0,0
315,11,11
316,3,3
317,14,7
318,2,2
319,15,15
320,15,15
321,0,0
322,15,15
323,2,2
324,5,5
325,16,16
326,4,1
327,15,15
328,0,0
329,15,15
330,8,8
331,11,11
332,4,4
333,16,16
334,15,15
335,12,12
336,16,16
337,16,12
338,7,7
339,4,4
340,15,15
341,10,10
342,15,15
343,11,11
344,4,4
345,16,16
346,11,11
347,10,7
348,15,15
349,14,14
350,15,6
351,5,5
352,1,1
353,4,4
354,12,12
355,15,15
356,7,7
357,15,15
358,2,2
359,15,15
360,2,2
361,15,15
362,3,3
363,12,10
364,15,15
365,15,15
366,2,2
367,5,5
368,0,0
369,2,2
370,14,14
371,15,15
372,14,14
373,2,2
374,2,2
375,8,8
376,15,15
377,15,7
378,8,6
379,8,6
380,2,2
381,8,8
382,1,1
383,15,15
384,5,5
385,1,1
386,15,15
387,16,16
388,16,4
389,11,11
390,2,2
391,15,15
392,0,0
393,2,2
394,16,16
395,4,4
396,15,12
397,15,15
398,2,2
399,0,0
400,2,2
401,15,15
402,15,15
403,3,3
404,15,15
405,15,15
406,2,2
407,0,0
408,2,2
409,2,2
410,6,6
411,12,12
412,8,6
413,0,0
414,4,4
415,11,11
416,4,4
417,15,15
418,15,15
419,15,15
420,8,6
421,14,14
422,4,4
423,11,11
424,1,1
425,2,2
426,0,0
427,10,10
428,15,15
429,15,15
430,0,0
431,8,6
432,10,2
433,15,15
434,16,7
435,15,15
436,15,15
437,4,4
438,15,15
439,8,6
440,15,15
441,0,0
442,15,15
443,1,1
444,1,1
445,15,15
446,11,11
447,2,2
448,14,14
449,2,2
450,15,15
451,12,7
452,11,11
453,3,3
454,14,14
455,15,15
456,15,15
457,5,5
458,4,4
459,0,0
460,9,9
461,7,7
462,0,0
463,0,0
464,2,2
465,16,16
466,15,15
467,15,15
468,15,15
469,15,15
470,14,14
471,6,6
472,11,11
473,15,15
474,16,16
475,2,2
476,11,11
477,1,1
478,0,0
479,3,3
480,15,15
481,15,15
482,15,15
483,5,5
484,15,15
485,15,15
486,0,0
487,4,4
488,16,16
489,2,2
490,4,4
491,5,5
492,2,2
493,15,15
494,4,4
495,11,11
496,12,10
497,6,6
498,2,2
499,2,2
500,6,6
501,7,7
502,15,15
503,4,4
504,3,3
505,16,16
506,15,15
507,11,11
508,14,12
509,1,1
510,15,15
511,11,11
512,13,13
513,7,7
514,13,13
515,1,1
516,1,1
517,11,11
518,15,15
519,14,14
520,2,2
521,15,15
522,11,11
523,2,2
524,11,11
525,0,0
526,15,15
527,14,14
528,15,15
529,14,14
530,6,6
531,15,15
532,0,0
533,4,4
534,15,15
535,11,11
536,2,2
537,12,12
538,12,12
539,15,15
540,13,13
541,15,15
542,10,10
543,15,15
544,14,14
545,14,14
546,12,10
547,15,15
548,16,16
549,15,15
550,16,16
551,5,5
