BRC Query,Data Size
"[[(32.71, 33.68), (-121.96, -121.18)]]",0
"[[(33.98, 34.7), (-123.68, -122.73)]]",0
"[[(37.52, 38.38), (-115.88, -115.11)]]",0
"[[(40.72, 41.43), (-118.58, -117.65)]]",0
"[[(34.47, 35.34), (-121.91, -121.2)]]",0
"[[(39.44, 40.31), (-117.82, -117.0)]]",0
"[[(40.49, 41.38), (-116.08, -115.18)]]",0
"[[(34.7, 35.69), (-121.89, -121.0)]]",32
"[[(37.8, 38.46), (-123.83, -123.05)]]",19
"[[(38.78, 39.35), (-122.91, -122.21)]]",221
"[[(39.12, 39.81), (-117.16, -116.35)]]",0
"[[(37.82, 38.41), (-123.79, -123.07)]]",2
"[[(38.51, 39.23), (-116.26, -115.69)]]",0
"[[(35.83, 36.45), (-115.05, -114.294258)]]",0
"[[(34.96, 35.59), (-115.95, -115.25)]]",163
"[[(36.32, 36.89), (-124.28, -123.43)]]",0
"[[(33.31, 34.23), (-120.14, -119.37)]]",0
"[[(32.89, 33.84), (-122.58, -121.93)]]",0
"[[(38.87, 39.56), (-115.63, -114.64)]]",0
"[[(37.13, 37.98), (-117.93, -117.03)]]",37
"[[(33.87, 34.47), (-123.58, -122.71)]]",0
"[[(37.41, 38.05), (-115.69, -114.79)]]",0
"[[(36.75, 37.6), (-116.26, -115.36)]]",0
"[[(35.0, 35.79), (-123.88, -123.07)]]",0
"[[(39.76, 40.65), (-115.51, -114.73)]]",0
"[[(35.85, 36.51), (-115.25, -114.55)]]",0
"[[(39.75, 40.34), (-121.83, -121.06)]]",220
"[[(35.92, 36.86), (-118.11, -117.31)]]",215
"[[(37.84, 38.72), (-116.15, -115.56)]]",0
"[[(35.91, 36.88), (-123.96, -123.26)]]",0
"[[(33.63, 34.22), (-117.79, -117.0)]]",583
"[[(40.82, 41.65), (-118.72, -118.01)]]",0
"[[(38.54, 39.17), (-119.39, -118.59)]]",0
"[[(39.2, 39.88), (-117.71, -116.88)]]",0
"[[(38.84, 39.68), (-121.88, -121.27)]]",240
"[[(35.42, 36.38), (-117.35, -116.58)]]",216
"[[(34.56, 35.29), (-120.83, -120.01)]]",343
"[[(34.06, 34.7), (-118.03, -117.18)]]",473
"[[(38.69, 39.32), (-120.39, -119.59)]]",194
"[[(38.02, 38.71), (-124.36, -123.56)]]",0
"[[(35.77, 36.5), (-116.66, -115.9)]]",132
"[[(38.47, 39.07), (-119.77, -119.18)]]",51
"[[(41.31, 42.017231), (-118.07, -117.47)]]",0
"[[(37.26, 38.02), (-119.97, -119.03)]]",293
"[[(37.16, 38.09), (-115.31, -114.54)]]",0
"[[(36.34, 37.3), (-117.32, -116.57)]]",120
"[[(33.72, 34.65), (-117.74, -116.88)]]",801
"[[(32.62, 33.26), (-121.83, -120.89)]]",0
"[[(36.11, 36.93), (-116.7, -115.87)]]",36
"[[(34.8, 35.65), (-120.63, -120.05)]]",329
"[[(33.68, 34.27), (-123.39, -122.58)]]",0
"[[(39.84, 40.42), (-118.13, -117.29)]]",0
"[[(41.06, 41.66), (-120.38, -119.73)]]",101
"[[(38.02, 38.78), (-116.0, -115.23)]]",0
"[[(34.46, 35.19), (-115.57, -114.89)]]",162
"[[(39.4, 40.23), (-115.22, -114.32)]]",0
"[[(37.07, 37.69), (-121.37, -120.46)]]",247
"[[(33.07, 33.84), (-119.81, -118.84)]]",0
"[[(39.47, 40.05), (-115.9, -114.9)]]",0
"[[(39.07, 39.89), (-120.05, -119.21)]]",37
"[[(39.79, 40.37), (-115.75, -114.9)]]",0
"[[(36.63, 37.58), (-123.48, -122.79)]]",0
"[[(35.25, 36.22), (-115.2, -114.41)]]",0
"[[(40.98, 41.92), (-121.97, -121.33)]]",198
"[[(33.23, 34.19), (-118.02, -117.27)]]",781
"[[(35.14, 35.73), (-119.15, -118.51)]]",238
"[[(34.14, 34.98), (-122.55, -121.66)]]",0
"[[(40.55, 41.12), (-117.79, -117.09)]]",0
"[[(33.65, 34.54), (-124.01, -123.11)]]",0
"[[(36.08, 36.88), (-122.15, -121.31)]]",243
"[[(39.89, 40.52), (-123.06, -122.08)]]",264
"[[(38.93, 39.92), (-122.64, -121.77)]]",413
"[[(41.02, 41.92), (-119.62, -118.76)]]",0
"[[(37.49, 38.44), (-115.84, -115.06)]]",0
"[[(39.85, 40.72), (-118.51, -117.64)]]",0
"[[(33.22, 33.85), (-119.79, -119.01)]]",0
"[[(33.3, 34.16), (-115.27, -114.5)]]",166
"[[(39.41, 40.3), (-118.6, -117.82)]]",0
"[[(35.86, 36.78), (-122.55, -121.65)]]",111
"[[(39.78, 40.75), (-119.12, -118.13)]]",0
"[[(41.3, 42.01), (-121.97, -121.16)]]",213
"[[(37.73, 38.49), (-116.15, -115.35)]]",0
"[[(35.44, 36.29), (-115.47, -114.88)]]",18
"[[(32.8, 33.39), (-117.56, -116.8)]]",424
"[[(40.49, 41.35), (-120.9, -120.2)]]",229
"[[(36.89, 37.77), (-123.41, -122.51)]]",2
"[[(39.85, 40.52), (-117.13, -116.37)]]",0
"[[(40.46, 41.07), (-124.27, -123.47)]]",184
"[[(37.93, 38.89), (-115.37, -114.49)]]",0
"[[(41.12, 41.94), (-121.69, -120.95)]]",162
"[[(33.06, 33.72), (-122.52, -121.54)]]",0
"[[(37.1, 37.8), (-120.44, -119.66)]]",341
"[[(39.72, 40.65), (-116.62, -115.82)]]",0
"[[(36.32, 37.13), (-116.02, -115.27)]]",0
"[[(36.77, 37.66), (-123.17, -122.44)]]",22
"[[(33.3, 33.89), (-121.04, -120.23)]]",0
"[[(39.61, 40.24), (-122.77, -121.98)]]",242
"[[(39.63, 40.33), (-120.43, -119.79)]]",86
"[[(37.03, 37.71), (-118.34, -117.71)]]",106
"[[(41.43, 42.017231), (-116.0, -115.23)]]",0
"[[(37.79, 38.36), (-115.96, -115.39)]]",0
"[[(41.09, 41.93), (-121.57, -120.85)]]",185
"[[(40.69, 41.63), (-116.95, -115.99)]]",0
"[[(32.86, 33.78), (-123.22, -122.52)]]",0
"[[(33.43, 34.08), (-117.98, -117.31)]]",557
"[[(35.06, 35.69), (-119.64, -119.06)]]",170
"[[(40.17, 41.14), (-120.82, -120.1)]]",345
"[[(40.62, 41.52), (-124.22, -123.52)]]",260
"[[(36.69, 37.36), (-120.74, -120.0)]]",147
"[[(35.98, 36.97), (-120.83, -120.18)]]",228
"[[(40.69, 41.29), (-120.54, -119.93)]]",139
"[[(39.01, 39.69), (-123.49, -122.69)]]",263
"[[(36.52, 37.42), (-119.55, -118.69)]]",434
"[[(34.94, 35.57), (-116.54, -115.79)]]",88
"[[(34.53, 35.24), (-120.76, -119.95)]]",349
"[[(38.93, 39.78), (-121.4, -120.76)]]",297
"[[(36.11, 36.99), (-119.6, -118.64)]]",500
"[[(34.63, 35.27), (-119.39, -118.74)]]",136
"[[(34.38, 34.97), (-114.96, -114.34)]]",118
"[[(37.86, 38.57), (-117.19, -116.6)]]",0
"[[(40.87, 41.67), (-119.03, -118.07)]]",0
"[[(37.37, 38.11), (-123.14, -122.22)]]",392
"[[(40.74, 41.55), (-120.97, -120.04)]]",286
"[[(40.18, 40.78), (-117.55, -116.93)]]",0
"[[(38.27, 38.87), (-120.21, -119.25)]]",245
"[[(34.4, 35.34), (-117.81, -117.03)]]",182
"[[(39.26, 40.08), (-115.43, -114.46)]]",0
"[[(34.37, 35.16), (-117.24, -116.27)]]",211
"[[(35.22, 36.17), (-116.64, -116.06)]]",181
"[[(32.8, 33.73), (-120.06, -119.17)]]",0
"[[(36.62, 37.47), (-120.47, -119.72)]]",213
"[[(38.08, 39.01), (-121.44, -120.81)]]",344
"[[(36.03, 36.76), (-122.1, -121.16)]]",262
"[[(33.97, 34.76), (-123.53, -122.58)]]",0
"[[(35.98, 36.73), (-118.44, -117.63)]]",201
"[[(35.4, 35.99), (-117.7, -116.92)]]",131
"[[(33.33, 34.3), (-117.67, -117.01)]]",683
"[[(36.58, 37.43), (-117.15, -116.16)]]",35
"[[(34.42, 35.15), (-120.63, -119.95)]]",374
"[[(40.19, 40.99), (-122.9, -121.95)]]",312
"[[(36.83, 37.51), (-116.89, -116.03)]]",0
"[[(32.73, 33.37), (-115.44, -114.5)]]",170
"[[(36.03, 36.76), (-122.08, -121.13)]]",278
"[[(39.2, 39.83), (-118.32, -117.57)]]",0
"[[(39.54, 40.11), (-124.25, -123.45)]]",260
"[[(39.74, 40.52), (-119.52, -118.56)]]",0
