,DAG,KD
0,7,7
1,4,4
2,4,2
3,6,6
4,4,2
5,6,6
6,9,9
7,3,3
8,5,4
9,3,1
10,4,4
11,4,0
12,14,14
13,3,3
14,4,0
15,4,4
16,4,4
17,4,2
18,4,4
19,4,4
20,6,4
21,3,1
22,3,0
23,6,6
24,3,0
25,4,4
26,4,2
27,3,1
28,5,3
29,4,2
30,5,0
31,14,14
32,4,3
33,4,2
34,5,4
35,4,1
36,4,4
37,6,0
38,6,6
39,4,2
40,3,2
41,4,0
42,4,0
43,4,2
44,4,4
45,6,2
46,5,1
47,6,4
48,5,3
49,6,4
50,6,6
51,6,4
52,3,1
53,3,1
54,2,2
55,5,0
56,6,6
57,4,2
58,4,2
59,8,8
60,5,5
61,6,4
62,4,4
63,4,2
64,4,4
65,4,1
66,6,4
67,2,2
68,4,4
69,6,6
70,4,2
71,4,4
72,5,3
73,14,14
74,6,6
75,4,2
76,3,3
77,4,4
78,14,14
79,2,2
80,3,3
81,2,2
82,3,3
83,3,2
84,3,1
85,6,4
86,4,4
87,4,3
88,14,14
89,4,4
90,4,2
91,5,3
92,4,2
93,14,14
94,14,14
95,6,4
96,6,6
97,3,2
98,3,3
99,4,2
100,3,3
101,6,6
102,5,3
103,5,1
104,6,4
105,5,5
106,4,2
107,3,3
108,6,6
109,2,2
110,6,6
111,6,4
112,6,6
113,3,2
114,9,9
115,3,3
116,4,0
117,3,1
118,4,0
119,4,4
120,4,4
121,4,4
122,4,4
123,6,2
124,12,12
125,4,2
126,3,1
127,4,1
128,3,3
129,3,1
130,4,4
131,6,6
132,1,1
133,6,6
134,3,2
135,4,2
136,4,4
137,6,4
138,5,3
139,6,6
140,4,2
141,3,3
142,6,6
143,3,3
144,4,4
145,2,2
146,5,3
147,4,0
148,3,3
149,6,4
150,3,3
151,4,4
152,3,3
153,4,2
154,3,3
155,5,5
156,4,0
157,6,6
158,3,3
159,5,4
160,4,4
161,5,1
162,6,6
163,6,6
164,5,0
165,6,6
166,3,0
167,4,4
168,4,0
169,2,2
170,14,14
171,5,5
172,4,0
173,4,4
174,4,1
175,4,2
176,4,0
177,4,2
178,4,0
179,6,6
180,9,9
181,4,0
182,6,4
183,4,2
184,6,2
185,2,0
186,6,4
187,3,3
188,5,5
189,6,2
190,6,2
191,4,3
192,4,4
193,3,3
194,4,4
195,5,4
196,5,5
197,4,4
198,6,0
199,3,3
200,4,4
201,7,7
202,1,1
203,2,2
204,3,1
205,5,5
206,4,2
207,6,2
208,3,1
209,3,3
210,6,6
211,6,4
212,6,2
213,2,1
214,5,5
