,L2 Norm
0,0.09252859017622608
1,0.09179618728465798
2,0.07492949278414268
3,0.04685658971798951
4,0.04495709065319953
5,0.0413707626228959
6,0.037868585871647854
7,0.03760039893405388
8,0.034121920111546564
9,0.033620529442589094
10,0.0334506346528386
11,0.026745425361690885
12,0.02594580833996508
13,0.026220594803259813
14,0.025600911442108205
15,0.023184908884875965
16,0.02098484046667416
17,0.020803827995329604
18,0.019528793997936753
19,0.018315021157508937
20,0.01644003326874831
21,0.017363717277298386
22,0.019035270218395496
23,0.017611501923459002
24,0.017357995275952807
25,0.01982366943384815
26,0.019427493846267893
27,0.018908458316805408
28,0.018750731733640925
29,0.018763617277415715
30,0.018344374249270393
31,0.017362882465189935
32,0.01526343692904886
33,0.013992219785754934
34,0.014628083139172092
35,0.012218807603823677
36,0.01180602475852806
37,0.011479228501106241
38,0.010740937803779904
39,0.010575443253121833
40,0.009899036421298605
41,0.009490434377371881
42,0.009779047921884738
43,0.009278224751829121
44,0.009394206252319098
45,0.009359008478334799
46,0.009067471548878669
47,0.008595363737374809
48,0.006028446380641118
49,0.006208059278067509
50,0.006161030810959709
51,0.006267347522709599
52,0.005304802126026721
53,0.005364193126765155
54,0.006176963334281471
55,0.006638570045190303
56,0.006563313822671608
57,0.007145185385795382
58,0.006523172404945923
59,0.00693028779264533
60,0.00767546410720234
61,0.008107494509504404
62,0.008143371684600297
63,0.007441501024658936
64,0.007214982767225493
65,0.007311390914063824
66,0.00590692379492838
67,0.005826071934575752
68,0.005780300654496672
69,0.005638171653278819
70,0.005551817901150772
71,0.005861298048624954
72,0.005110317256859247
73,0.004368211418959748
74,0.005328539512224088
75,0.005236363374045158
76,0.005669700027136026
77,0.004967702392569814
78,0.004811211403320488
79,0.00439417227700508
80,0.004218320701200895
81,0.004418253468518537
82,0.004182494329751828
83,0.004601991090328698
84,0.005221813443636067
85,0.005110274489129271
86,0.004611964370210827
87,0.004380379809186332
88,0.003926646239228131
89,0.002979228502336771
90,0.0024573831685745563
91,0.002173547795403532
92,0.0026807523409772024
93,0.0026791500851601952
94,0.0018717464847161094
95,0.001724536974894352
96,0.0014759869817892403
97,0.0011662225211180764
98,0.0007344997263271755
99,0.0
