,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,165,7,165,inf,0.0
1,364,1315,4,951,3.6126373626373627,27.680608365019012
2,66,5262,2,5196,79.72727272727273,1.2542759407069555
3,0,329,6,329,inf,0.0
4,345,5262,2,4917,15.252173913043478,6.556442417331813
5,0,329,6,329,inf,0.0
6,0,41,9,41,inf,0.0
7,327,2631,3,2304,8.045871559633028,12.428734321550742
8,326,1316,4,990,4.03680981595092,24.772036474164132
9,546,10524,1,9978,19.274725274725274,5.188141391106043
10,0,1315,4,1315,inf,0.0
11,4,21048,0,21044,5262.0,0.019004180919802355
12,0,1,14,1,inf,0.0
13,610,2631,3,2021,4.31311475409836,23.185100722158875
14,489,21048,0,20559,43.04294478527607,2.3232611174458384
15,0,1315,4,1315,inf,0.0
16,316,1316,4,1000,4.1645569620253164,24.012158054711247
17,598,5262,2,4664,8.799331103678929,11.36450019004181
18,66,1316,4,1250,19.939393939393938,5.015197568389058
19,313,1315,4,1002,4.201277955271565,23.802281368821294
20,0,1316,4,1316,inf,0.0
21,706,10524,1,9818,14.906515580736544,6.708475864690231
22,328,21048,0,20720,64.17073170731707,1.5583428354237931
23,0,329,6,329,inf,0.0
24,368,21048,0,20680,57.19565217391305,1.7483846446218168
25,0,1315,4,1315,inf,0.0
26,0,5262,2,5262,inf,0.0
27,539,10524,1,9985,19.525046382189238,5.121626757886736
28,239,2631,3,2392,11.00836820083682,9.083998479665526
29,0,5262,2,5262,inf,0.0
30,265,21048,0,20783,79.42641509433962,1.259026985936906
31,0,1,14,1,inf,0.0
32,387,2631,3,2244,6.7984496124031,14.709236031927023
33,0,5262,2,5262,inf,0.0
34,388,1315,4,927,3.3891752577319587,29.50570342205323
35,500,10524,1,10024,21.048,4.75104522995059
36,382,1315,4,933,3.4424083769633507,29.04942965779468
37,0,21048,0,21048,inf,0.0
38,0,329,6,329,inf,0.0
39,0,5262,2,5262,inf,0.0
40,975,5262,2,4287,5.396923076923077,18.529076396807298
41,353,21048,0,20695,59.626062322946176,1.6771189661725578
42,299,21048,0,20749,70.39464882943143,1.4205625237552262
43,0,5262,2,5262,inf,0.0
44,504,1315,4,811,2.609126984126984,38.326996197718636
45,0,5262,2,5262,inf,0.0
46,308,10524,1,10216,34.16883116883117,2.9266438616495627
47,0,1316,4,1316,inf,0.0
48,305,2631,3,2326,8.62622950819672,11.592550361079438
49,0,1316,4,1316,inf,0.0
50,0,329,6,329,inf,0.0
51,0,1316,4,1316,inf,0.0
52,1007,10524,1,9517,10.450844091360477,9.568605093120487
53,415,10524,1,10109,25.35903614457831,3.9433675408589894
54,830,5262,2,4432,6.339759036144578,15.773470163435958
