BRC Query,Data Size
"[[(9.31, 34.63), (52.93, 61.25)]]",225
"[[(34.33, 48.23), (45.16, 68.8)]]",322
"[[(6.5, 8.31), (57.92, 71.34)]]",28
"[[(52.83, 53.89), (30.87, 52.58)]]",22
"[[(15.85, 43.98), (62.47, 64.35)]]",56
"[[(1.76, 18.3), (65.08, 77.02)]]",204
"[[(15.01, 28.12), (2.01, 9.37)]]",91
"[[(30.35, 45.58), (16.15, 23.78)]]",105
"[[(15.16, 29.35), (20.08, 21.7)]]",14
"[[(58.04, 75.01), (44.51, 50.85)]]",102
"[[(68.78, 94.46), (8.38, 18.93)]]",260
"[[(50.0, 71.41), (64.9, 78.01)]]",308
"[[(57.52, 77.76), (21.02, 38.88)]]",340
"[[(61.16, 86.45), (35.02, 52.92)]]",425
"[[(2.39, 10.36), (55.26, 68.15)]]",104
"[[(11.99, 28.74), (48.72, 69.08)]]",357
"[[(25.97, 39.57), (35.23, 58.57)]]",322
"[[(36.1, 48.39), (33.94, 35.79)]]",24
"[[(3.01, 24.2), (68.13, 86.15)]]",378
"[[(27.28, 33.17), (34.81, 64.0)]]",180
"[[(53.4, 69.89), (59.62, 67.28)]]",128
"[[(35.6, 63.94), (40.04, 54.22)]]",392
"[[(18.66, 35.39), (66.33, 67.49)]]",17
"[[(54.31, 78.86), (61.41, 83.66)]]",528
"[[(56.07, 71.96), (38.9, 52.13)]]",210
"[[(3.89, 29.86), (39.5, 46.24)]]",182
"[[(34.98, 49.9), (24.73, 35.66)]]",165
"[[(37.32, 56.21), (42.44, 56.59)]]",266
"[[(1.94, 9.53), (12.28, 30.05)]]",144
"[[(59.67, 83.59), (55.24, 79.67)]]",576
"[[(17.69, 42.85), (46.65, 50.04)]]",100
"[[(1.16, 2.58), (52.36, 60.52)]]",8
"[[(7.59, 26.52), (23.87, 26.87)]]",57
"[[(11.06, 27.2), (11.65, 20.48)]]",144
"[[(49.31, 63.36), (22.31, 36.91)]]",196
"[[(1.64, 13.73), (29.17, 35.57)]]",72
"[[(7.54, 34.36), (35.35, 42.35)]]",189
"[[(41.97, 66.42), (1.44, 2.95)]]",25
"[[(10.15, 31.78), (11.1, 32.32)]]",441
"[[(47.0, 63.63), (15.29, 44.29)]]",493
"[[(55.29, 71.12), (15.47, 35.08)]]",320
"[[(27.37, 44.9), (22.26, 41.37)]]",323
"[[(4.07, 13.64), (67.08, 93.21)]]",234
"[[(21.23, 46.87), (21.51, 49.47)]]",700
"[[(51.55, 64.49), (17.49, 18.73)]]",13
"[[(60.9, 62.99), (56.79, 85.41)]]",58
"[[(39.52, 45.44), (60.14, 89.09)]]",174
"[[(48.79, 64.39), (26.19, 37.15)]]",176
"[[(14.26, 34.61), (30.0, 36.57)]]",140
"[[(7.24, 27.35), (20.52, 35.86)]]",300
"[[(22.55, 48.57), (62.35, 63.87)]]",26
"[[(13.92, 24.33), (68.4, 91.86)]]",253
"[[(23.5, 30.61), (46.74, 71.78)]]",175
"[[(64.6, 75.47), (61.15, 81.87)]]",220
"[[(33.58, 62.86), (16.26, 38.08)]]",638
"[[(5.87, 11.74), (63.13, 70.24)]]",42
"[[(52.61, 70.84), (58.29, 69.85)]]",198
"[[(23.58, 32.94), (60.11, 78.44)]]",162
"[[(66.13, 92.59), (9.38, 26.2)]]",442
"[[(7.23, 9.35), (5.07, 30.93)]]",50
"[[(54.62, 79.4), (23.62, 42.28)]]",475
"[[(54.19, 66.04), (39.56, 46.98)]]",84
"[[(5.66, 14.31), (61.73, 78.93)]]",153
"[[(64.11, 78.25), (19.21, 42.8)]]",322
"[[(57.36, 58.72), (46.46, 50.09)]]",4
"[[(7.98, 34.38), (2.77, 10.65)]]",216
"[[(68.48, 81.56), (8.01, 13.81)]]",65
"[[(16.73, 39.08), (7.13, 34.27)]]",621
"[[(26.21, 55.06), (63.01, 72.45)]]",261
"[[(17.56, 32.25), (6.94, 26.65)]]",300
"[[(2.75, 4.05), (68.09, 77.57)]]",18
"[[(41.34, 55.25), (21.71, 24.52)]]",42
"[[(63.3, 92.13), (67.21, 71.41)]]",116
"[[(14.91, 33.64), (67.91, 84.49)]]",323
"[[(47.69, 67.68), (17.95, 34.49)]]",340
"[[(21.3, 29.37), (5.64, 14.7)]]",72
"[[(68.15, 82.0), (45.18, 64.65)]]",266
"[[(65.19, 77.4), (21.26, 31.65)]]",120
"[[(21.95, 47.26), (61.92, 71.61)]]",260
"[[(23.17, 39.79), (40.12, 58.22)]]",288
"[[(16.99, 18.57), (16.89, 19.97)]]",6
"[[(38.2, 41.24), (5.21, 24.45)]]",57
"[[(20.15, 43.89), (34.18, 59.94)]]",575
"[[(10.68, 26.07), (55.09, 58.3)]]",48
"[[(65.78, 71.75), (53.79, 83.06)]]",180
"[[(56.93, 67.11), (7.41, 23.17)]]",176
"[[(63.71, 73.13), (61.94, 67.01)]]",60
"[[(63.1, 65.01), (21.9, 48.82)]]",54
"[[(55.71, 82.75), (58.26, 80.68)]]",594
"[[(47.79, 53.9), (29.98, 35.51)]]",36
"[[(49.54, 69.71), (17.5, 20.35)]]",60
"[[(66.76, 90.96), (38.06, 54.6)]]",384
"[[(58.99, 73.0), (27.42, 38.14)]]",165
"[[(17.88, 19.58), (44.8, 57.76)]]",26
"[[(39.54, 42.33), (24.6, 29.57)]]",15
"[[(8.67, 17.11), (57.45, 69.87)]]",108
"[[(27.79, 46.37), (16.18, 17.39)]]",19
"[[(36.64, 52.02), (44.96, 58.54)]]",224
"[[(47.58, 69.57), (16.52, 31.73)]]",330
"[[(33.18, 40.64), (28.57, 45.65)]]",119
"[[(62.85, 90.19), (19.07, 38.62)]]",532
"[[(3.34, 6.39), (35.46, 61.64)]]",78
"[[(11.05, 34.03), (61.19, 71.14)]]",230
"[[(47.99, 73.36), (25.75, 46.88)]]",546
"[[(51.03, 69.09), (59.34, 86.07)]]",486
"[[(66.53, 83.92), (12.22, 20.41)]]",136
"[[(15.08, 32.43), (52.51, 55.01)]]",51
"[[(47.24, 68.82), (24.12, 39.9)]]",315
"[[(11.42, 33.37), (2.82, 31.98)]]",638
"[[(55.99, 75.03), (18.54, 45.74)]]",540
"[[(66.49, 71.48), (53.76, 78.92)]]",125
"[[(45.72, 66.82), (30.84, 58.37)]]",588
"[[(67.3, 79.27), (55.63, 69.05)]]",168
"[[(11.42, 21.76), (8.75, 35.83)]]",270
"[[(66.49, 70.91), (41.63, 54.35)]]",52
"[[(8.18, 17.66), (17.2, 39.71)]]",198
"[[(0.28, 6.73), (30.41, 32.01)]]",12
"[[(43.49, 61.87), (57.89, 64.82)]]",126
"[[(19.74, 36.31), (18.93, 36.74)]]",306
"[[(17.39, 38.01), (54.82, 79.03)]]",525
"[[(67.47, 84.12), (34.01, 59.57)]]",425
"[[(53.3, 70.67), (26.56, 35.71)]]",153
"[[(7.49, 31.67), (8.18, 30.63)]]",528
"[[(37.79, 66.48), (52.74, 81.68)]]",841
"[[(9.47, 24.83), (39.68, 49.61)]]",150
"[[(34.86, 46.1), (36.62, 37.64)]]",12
"[[(30.65, 44.55), (21.12, 33.58)]]",168
"[[(54.27, 74.88), (34.12, 53.71)]]",380
"[[(26.16, 33.01), (0.27, 9.24)]]",63
"[[(41.45, 67.75), (57.48, 73.14)]]",416
"[[(68.4, 82.65), (57.84, 70.58)]]",182
"[[(51.6, 80.94), (21.16, 27.05)]]",174
"[[(42.97, 59.21), (24.91, 26.01)]]",34
"[[(26.97, 40.19), (28.08, 53.8)]]",350
"[[(40.5, 62.56), (62.23, 84.72)]]",484
"[[(34.14, 56.54), (44.38, 64.0)]]",440
"[[(43.64, 56.32), (43.61, 62.8)]]",247
"[[(64.94, 88.4), (58.65, 81.68)]]",552
"[[(56.5, 74.88), (24.22, 32.81)]]",144
"[[(49.07, 75.15), (37.72, 43.08)]]",156
"[[(57.73, 72.64), (32.37, 34.67)]]",30
"[[(35.36, 57.73), (29.29, 40.48)]]",242
"[[(45.52, 47.09), (35.15, 63.3)]]",56
"[[(47.85, 60.39), (47.74, 66.1)]]",247
"[[(14.48, 21.44), (61.4, 70.12)]]",63
"[[(5.19, 30.03), (36.26, 47.83)]]",275
"[[(35.45, 57.59), (11.68, 31.42)]]",440
"[[(49.44, 73.83), (18.69, 37.19)]]",456
"[[(16.09, 33.19), (11.94, 35.61)]]",408
"[[(60.06, 70.52), (15.41, 44.07)]]",290
"[[(48.97, 74.19), (2.12, 28.93)]]",676
"[[(43.14, 53.22), (29.92, 52.78)]]",230
"[[(54.43, 60.88), (43.37, 49.12)]]",36
"[[(67.43, 81.16), (63.28, 85.18)]]",308
"[[(42.01, 50.53), (36.49, 41.47)]]",40
"[[(9.57, 31.11), (25.02, 47.58)]]",484
"[[(16.67, 38.28), (49.79, 59.56)]]",220
"[[(7.37, 19.76), (34.12, 37.99)]]",36
"[[(12.94, 15.53), (41.41, 67.92)]]",78
"[[(15.01, 17.01), (48.78, 73.17)]]",50
"[[(66.81, 85.41), (23.73, 48.78)]]",475
"[[(8.18, 29.06), (6.6, 19.07)]]",273
"[[(34.31, 46.16), (11.68, 19.33)]]",96
"[[(56.84, 71.12), (40.19, 47.27)]]",105
"[[(49.54, 60.01), (41.14, 68.24)]]",297
"[[(68.91, 71.24), (55.26, 80.87)]]",75
"[[(22.15, 34.15), (40.21, 67.58)]]",324
"[[(27.72, 53.98), (52.57, 57.94)]]",130
"[[(63.32, 64.76), (10.06, 30.14)]]",20
"[[(3.96, 15.85), (9.01, 23.29)]]",168
"[[(58.21, 85.21), (2.46, 5.21)]]",81
"[[(58.26, 60.49), (18.96, 23.33)]]",10
"[[(6.31, 8.1), (44.18, 66.55)]]",44
"[[(47.59, 72.86), (45.95, 58.13)]]",325
"[[(43.73, 72.56), (44.46, 52.44)]]",232
"[[(4.17, 32.01), (40.92, 51.95)]]",308
"[[(41.95, 59.03), (36.19, 38.94)]]",36
"[[(24.48, 37.32), (13.82, 40.08)]]",351
"[[(29.39, 49.4), (49.45, 71.78)]]",440
"[[(49.97, 72.56), (17.43, 46.45)]]",667
"[[(10.46, 37.83), (59.22, 84.68)]]",675
"[[(3.66, 7.28), (56.34, 70.81)]]",56
"[[(25.66, 54.92), (2.78, 19.03)]]",493
"[[(30.72, 35.4), (27.39, 48.7)]]",105
