SRC Query,Depth,BBoxes,Data Size
"[[(9.31, 34.63), (52.93, 61.25)]]",2,"[[0, 50], [50, 99]]",2500
"[[(34.33, 48.23), (45.16, 68.8)]]",1,"[[0, 50], (0, 99)]",5000
"[[(6.5, 8.31), (57.92, 71.34)]]",5,"[[0, 12], [50, 75]]",300
"[[(52.83, 53.89), (30.87, 52.58)]]",1,"[[50, 99], (0, 99)]",5000
"[[(15.85, 43.98), (62.47, 64.35)]]",2,"[[0, 50], [50, 99]]",2500
"[[(1.76, 18.3), (65.08, 77.02)]]",3,"[[0, 25], [50, 99]]",1250
"[[(15.01, 28.12), (2.01, 9.37)]]",2,"[[0, 50], [0, 50]]",2500
"[[(30.35, 45.58), (16.15, 23.78)]]",4,"[[25, 50], [0, 25]]",625
"[[(15.16, 29.35), (20.08, 21.7)]]",2,"[[0, 50], [0, 50]]",2500
"[[(58.04, 75.01), (44.51, 50.85)]]",1,"[[50, 99], (0, 99)]",5000
"[[(68.78, 94.46), (8.38, 18.93)]]",2,"[[50, 99], [0, 50]]",2500
"[[(50.0, 71.41), (64.9, 78.01)]]",3,"[[50, 75], [50, 99]]",1250
"[[(57.52, 77.76), (21.02, 38.88)]]",2,"[[50, 99], [0, 50]]",2500
"[[(61.16, 86.45), (35.02, 52.92)]]",1,"[[50, 99], (0, 99)]",5000
"[[(2.39, 10.36), (55.26, 68.15)]]",5,"[[0, 12], [50, 75]]",300
"[[(11.99, 28.74), (48.72, 69.08)]]",1,"[[0, 50], (0, 99)]",5000
"[[(25.97, 39.57), (35.23, 58.57)]]",1,"[[0, 50], (0, 99)]",5000
"[[(36.1, 48.39), (33.94, 35.79)]]",4,"[[25, 50], [25, 50]]",625
"[[(3.01, 24.2), (68.13, 86.15)]]",3,"[[0, 25], [50, 99]]",1250
"[[(27.28, 33.17), (34.81, 64.0)]]",1,"[[0, 50], (0, 99)]",5000
"[[(53.4, 69.89), (59.62, 67.28)]]",4,"[[50, 75], [50, 75]]",625
