BRC Query,Data Size
"[[(77.1420192438206, 82.00372000719142), (26.222329748583974, 27.58202720202566)]]",5
"[[(15.522012407926013, 16.923499027000954), (68.03471142087186, 69.24653490934142)]]",1
"[[(12.650637437908388, 25.48167327645367), (29.926052254151006, 31.80166967503575)]]",26
"[[(55.16315675484391, 60.95504106771166), (4.915189607349457, 5.9440007797284355)]]",5
"[[(68.94993793721562, 74.18172249646398), (24.925857433026152, 26.06347201183895)]]",12
"[[(68.55015807275427, 76.38715411374875), (30.275974782933773, 31.403473143669608)]]",8
"[[(4.037498799718761, 5.532243069998488), (73.89370552002877, 75.49021140154923)]]",2
"[[(64.3346822226875, 79.53497580298767), (92.49331056249507, 93.96272849543585)]]",15
"[[(16.27750953072498, 17.903544861395453), (69.2097839866561, 74.96958182921601)]]",5
"[[(59.727295460643425, 74.65485845076594), (77.0883231847259, 78.32886221879227)]]",15
"[[(77.0224213508334, 89.92948405439319), (90.37145461200384, 91.73039849541547)]]",12
"[[(76.96430307863208, 80.23614284362972), (47.339547625206585, 48.6878180927705)]]",4
"[[(0.6161005289617065, 7.1484635903699125), (0.2493542063817753, 2.875815542803899)]]",14
"[[(38.84690022016776, 56.65015856242047), (92.96575353576547, 94.0411849954252)]]",36
"[[(56.73991666280896, 74.47382152970388), (78.4640652812791, 79.90608641601874)]]",18
"[[(44.84105399070494, 58.5733363401355), (57.78115563801431, 58.96270475016734)]]",14
"[[(30.669931058784528, 39.273042080993726), (50.5750441557956, 51.69279220095358)]]",9
"[[(39.380569272391696, 41.33258741960184), (56.69218937701959, 60.280160229746734)]]",8
"[[(40.276937726034795, 58.5111365467253), (37.37495138840209, 38.50141852399228)]]",18
"[[(71.4425999762495, 75.43483241853694), (16.473944103263033, 19.997763174695688)]]",12
"[[(21.598309030766412, 31.15421776067761), (73.11623052350267, 75.39821997296535)]]",20
"[[(27.736679877438526, 33.34179881877922), (82.44550003881834, 83.51993247204888)]]",6
"[[(89.39083968354528, 90.91711504920129), (37.775854983696384, 41.82686410343056)]]",4
"[[(40.54802774335675, 47.875176641474496), (83.47215935213714, 84.80138125486026)]]",7
"[[(78.5541935252282, 88.04082657754358), (48.08237575087599, 50.101661986100524)]]",20
"[[(38.768582804716885, 63.53924091803732), (90.1384506050747, 91.4044817679305)]]",25
"[[(36.98477562233995, 43.86047707486648), (3.6067364339519026, 4.635024324444773)]]",7
"[[(6.0822703305266765, 9.737842424017135), (38.433713001353354, 45.812977433378784)]]",21
"[[(53.23206373830947, 54.600650373341786), (72.81705958836008, 75.82138899622375)]]",3
"[[(18.240949680267235, 22.22268867151743), (53.53148103569269, 55.471817866644386)]]",8
"[[(21.17170515136267, 33.08277082223083), (37.23837137515444, 38.50604785864814)]]",12
"[[(91.135065823579, 97.37086605836612), (77.53412666866461, 79.3987140100855)]]",12
"[[(83.70943558164285, 85.66021984445312), (79.04001425349072, 84.98754677902078)]]",10
"[[(5.38764862607266, 28.1766672581651), (97.28984337598399, 98.57143730025528)]]",23
"[[(60.89683807941246, 65.63791001577526), (39.31406395553321, 40.53302661413088)]]",5
"[[(80.37061591642724, 88.81719653314961), (12.729914605086591, 14.13507552047332)]]",16
"[[(15.054666011712719, 22.158426628289064), (79.39515287980542, 81.24196818900637)]]",14
"[[(61.26544420155966, 67.2307735300847), (29.796517807511275, 32.199273829721875)]]",18
"[[(13.912055530605642, 25.08773959731976), (59.5639817866328, 60.811356453067766)]]",12
"[[(27.00339318739759, 48.308638218399466), (50.441646468058345, 51.46525913706465)]]",21
"[[(27.716891474322768, 38.79977629045473), (22.90809331783402, 24.109396492400716)]]",22
"[[(54.70281646408201, 59.64394687229779), (74.98714280781124, 77.62978221446453)]]",15
"[[(28.497213902257425, 30.12811080925236), (0.6439532412814191, 3.0844364004216507)]]",6
"[[(2.3512073366384945, 15.597513160930166), (83.26719031511053, 85.66561445454731)]]",26
"[[(69.04359026267277, 79.31915261497339), (14.415585550943565, 16.450704041169125)]]",20
"[[(91.44154343740658, 92.89427435108936), (18.826007765668034, 21.478387205072153)]]",3
"[[(62.07867064177153, 76.90535199835551), (13.64935810665144, 15.05920991181681)]]",28
"[[(15.329104377672191, 18.62411078813045), (29.545428436360833, 31.59655289356194)]]",6
"[[(42.73954970795524, 50.64124989316476), (39.49857346755383, 40.68748207902394)]]",8
"[[(52.41378031092275, 56.800196770037836), (14.739250159605461, 19.428510982860857)]]",20
"[[(24.009956430257823, 33.11558910620508), (33.144031572762024, 34.436152604837766)]]",9
"[[(43.22185960197807, 62.33630972074012), (80.3850316814261, 81.6902923907878)]]",19
"[[(43.00079377048831, 44.7528445786834), (87.53149901575732, 92.09821555880727)]]",5
"[[(25.49850388906791, 28.149773292464584), (42.313898754555176, 43.57151272536166)]]",3
"[[(65.60833183816712, 74.19066102222367), (37.77606276725282, 38.87600812421635)]]",9
"[[(24.353411779411474, 35.65068578244879), (88.62648777364352, 89.76949500112048)]]",11
"[[(10.70711064244063, 12.37968457953806), (6.668221193090377, 19.276912333323956)]]",26
"[[(21.18559706538883, 24.590823408863756), (78.63539642273038, 84.43906646238426)]]",18
"[[(44.21180515140337, 57.8419685699304), (56.44096678463861, 57.55453795837026)]]",13
"[[(28.301901929221028, 34.999804405172995), (92.52716611145343, 95.35849134424966)]]",18
"[[(42.91819414770819, 44.99544642362882), (60.69102437522813, 62.05868722228757)]]",4
"[[(70.07940610354785, 80.10205937418448), (13.499983492263146, 15.473527245614049)]]",20
"[[(66.04320411276677, 71.38376952581149), (81.6315583320012, 82.80158312272434)]]",5
"[[(20.527098002570458, 24.857618287104337), (42.249122917681035, 43.92355539455683)]]",4
"[[(53.76528910095084, 56.12121893764765), (57.79924979158203, 64.36710920064803)]]",21
"[[(79.40234927998705, 84.40636057857128), (21.314798091717694, 24.043202495940644)]]",15
"[[(3.9871099886470596, 15.876931319065113), (9.254360446680991, 10.369596653590378)]]",12
"[[(52.14999391427458, 54.110761570352025), (93.12466412655648, 94.51422628206225)]]",2
"[[(49.626325142084326, 51.30437317282434), (39.99311905502637, 42.87479279668002)]]",6
"[[(7.083585770706483, 22.88524989578909), (8.947955805711064, 9.976350090978745)]]",15
"[[(63.21777359654742, 72.56584546222984), (74.87498825253756, 77.8312764580098)]]",27
"[[(45.95721062123803, 49.96840725068025), (20.16722453139473, 22.840322234857187)]]",8
"[[(76.16708518925425, 78.79273369064781), (0.6905764951636841, 2.410113328617226)]]",4
"[[(1.605443729920814, 22.680558584617756), (97.01766937729045, 98.45188485044537)]]",21
"[[(69.20339085549301, 78.24869992024473), (91.75954721223599, 94.2179844928267)]]",27
"[[(6.893100762403132, 12.056031553558022), (74.07812789470312, 75.43045321662684)]]",6
"[[(30.72075119736533, 32.316505915616716), (32.115293077962825, 47.74792822013735)]]",30
"[[(15.340773939262638, 29.351054881781135), (77.51144341812004, 78.65510959062196)]]",14
"[[(94.59356247488631, 96.22598986121076), (87.24593970941461, 92.77616510535896)]]",10
"[[(52.18218078605975, 55.0213655604671), (63.124440015203206, 66.27637864667238)]]",9
"[[(0.6593151138330882, 4.618355135222584), (36.55710459338436, 40.61005018634478)]]",16
"[[(45.8410449074835, 50.148990750648395), (17.59996128039167, 19.43604838135338)]]",10
"[[(13.279614438399197, 15.5685522024052), (15.581006437606506, 26.3843898319707)]]",22
"[[(14.456658561545142, 18.67295156602865), (68.80145503556523, 69.94353814906208)]]",4
"[[(25.596523129751912, 33.31972995103718), (91.59495278275973, 94.39158165911145)]]",24
"[[(38.20349258217867, 50.12021179907238), (7.115149747529271, 8.146829265759946)]]",12
"[[(9.904847876856113, 19.163375725402112), (58.757517140475194, 59.93195451715409)]]",10
"[[(3.5554394044248423, 11.23030444276004), (46.87433294978768, 48.028731678765205)]]",16
"[[(26.546068386854056, 34.602525237422185), (81.20391065839499, 83.12639402785261)]]",16
"[[(50.45987468544353, 55.47181447545687), (25.505150267578763, 27.22699429972406)]]",10
"[[(78.13787686119541, 81.31615076647432), (48.69104399260419, 50.17005894770364)]]",6
"[[(14.352038754325921, 30.027346636926076), (50.25060127644303, 51.303621921754136)]]",16
"[[(70.49764361799805, 73.90734291778539), (1.5920992606410962, 2.6658222227821997)]]",3
"[[(29.22472474847606, 37.29134971936499), (90.00945646731059, 92.06774859637129)]]",16
"[[(25.90086958787856, 44.393567874483296), (52.29383330881932, 53.64051158820798)]]",19
"[[(13.444736154263394, 18.066234989304057), (82.26359724718691, 85.54059507229469)]]",15
"[[(52.07444067061177, 59.74227497323108), (86.72753861428535, 88.09266519741325)]]",14
"[[(18.10604649487394, 19.44175748813925), (54.26270616198302, 60.18971483114975)]]",6
