SRC Query,Depth,BBoxes,Data Size
"[[(27.494216308991497, 64.68865957707919), (84.28066584392896, 87.58938324560202)]]",0,"[(0, 99), (0, 99)]",10000
"[[(12.402305698447245, 52.36503192487084), (22.35989932204994, 25.27363215327555)]]",0,"[(0, 99), (0, 99)]",10000
"[[(68.82960593999964, 82.21175380306518), (0.16736775207999405, 19.196477935915627)]]",2,"[[50, 99], [0, 50]]",2500
"[[(38.37515215014272, 59.01577682477965), (62.84907690433716, 69.28820146537427)]]",0,"[(0, 99), (0, 99)]",10000
"[[(55.799240367134345, 63.36082280649139), (78.60981115505344, 96.99280614936202)]]",4,"[[50, 75], [75, 99]]",625
"[[(50.725660800433936, 72.17831309665628), (5.1649001101634, 18.573242778356473)]]",4,"[[50, 75], [0, 25]]",625
"[[(74.84496041015635, 84.58549674948054), (25.728634883066444, 30.67705734526336)]]",2,"[[50, 99], [0, 50]]",2500
"[[(35.097293585359395, 49.77673091678594), (72.84011489920248, 74.6415133085735)]]",4,"[[25, 50], [50, 75]]",625
"[[(33.24461730627501, 44.19936927477633), (48.00259334965483, 49.787461874900806)]]",4,"[[25, 50], [25, 50]]",625
"[[(20.51431396765487, 60.05276972972393), (68.82815642114203, 70.74029277160982)]]",0,"[(0, 99), (0, 99)]",10000
"[[(18.244614641921, 29.46349491258182), (63.02175578859854, 69.32827499601474)]]",2,"[[0, 50], [50, 99]]",2500
"[[(24.66343524529184, 67.2224929652317), (94.02655297066451, 96.3086404938262)]]",0,"[(0, 99), (0, 99)]",10000
"[[(17.076734059246082, 68.85488498373002), (83.56411332702126, 87.0573634549957)]]",0,"[(0, 99), (0, 99)]",10000
"[[(12.631965352673362, 83.35321673655666), (64.11101816649702, 65.79285557414974)]]",0,"[(0, 99), (0, 99)]",10000
"[[(1.2134059587015449, 19.123115884039997), (60.37465175983931, 64.33555428772353)]]",4,"[[0, 25], [50, 75]]",625
"[[(5.354968892121786, 23.371574734957903), (86.23037242083439, 89.51403200665322)]]",4,"[[0, 25], [75, 99]]",625
"[[(12.127444435018182, 13.258291157952632), (13.396653552948422, 15.802485297211229)]]",9,"[[12, 15], [12, 18]]",18
"[[(21.553253936393112, 53.52441409846577), (77.30003949458002, 80.00337140770593)]]",0,"[(0, 99), (0, 99)]",10000
"[[(32.410725357604655, 44.69614814658888), (38.05515270710748, 57.87330720781564)]]",1,"[[0, 50], (0, 99)]",5000
"[[(37.79299494114642, 43.859477435652565), (41.528871234753126, 64.3259047561009)]]",1,"[[0, 50], (0, 99)]",5000
"[[(6.473107686140739, 33.27888592748227), (43.90399016268252, 47.40029027888376)]]",2,"[[0, 50], [0, 50]]",2500
"[[(9.630602532439461, 15.46797495239319), (36.76307181862634, 65.31722608644111)]]",1,"[[0, 50], (0, 99)]",5000
"[[(12.13497116314415, 49.115630438253085), (1.6404659738938598, 5.30896370223331)]]",2,"[[0, 50], [0, 50]]",2500
"[[(61.00638595246204, 74.10952844353372), (17.874564512053595, 31.579294699425795)]]",3,"[[50, 75], [0, 50]]",1250
"[[(11.36329285939743, 20.995548224957624), (20.365713106120825, 23.533662687463945)]]",4,"[[0, 25], [0, 25]]",625
"[[(56.51595151889007, 80.46052492780899), (67.18955951449965, 74.93433429086697)]]",2,"[[50, 99], [50, 99]]",2500
"[[(42.850445319402596, 61.91280341757598), (19.852324166706023, 25.99462043229263)]]",0,"[(0, 99), (0, 99)]",10000
"[[(13.689985410455701, 45.666469024955205), (1.9072515118561313, 3.7885803523153045)]]",2,"[[0, 50], [0, 50]]",2500
"[[(5.553988049625723, 6.782453286896179), (38.14397578225224, 41.5674605573259)]]",6,"[[0, 12], [37, 50]]",156
"[[(52.20795169771795, 57.67735240485099), (79.84407832152024, 87.84852953463323)]]",5,"[[50, 62], [75, 99]]",300
"[[(56.505302882362315, 80.54700559770885), (34.20917332175142, 42.64137714234909)]]",2,"[[50, 99], [0, 50]]",2500
"[[(18.81831088575338, 36.78616335728596), (63.40086067250508, 65.10965435718347)]]",2,"[[0, 50], [50, 99]]",2500
"[[(54.58621639214062, 75.45482303943044), (38.618822507061886, 40.131147472155384)]]",2,"[[50, 99], [0, 50]]",2500
"[[(26.92449163236448, 31.573517517005964), (47.03405125821739, 54.695988411676105)]]",1,"[[0, 50], (0, 99)]",5000
"[[(5.774454821562814, 74.95101124296929), (4.671233083721964, 8.035724678785908)]]",0,"[(0, 99), (0, 99)]",10000
"[[(16.13447095422686, 72.40957696435132), (46.88209764875012, 49.2731784726295)]]",0,"[(0, 99), (0, 99)]",10000
"[[(73.23891620565088, 74.81296009641476), (13.105855469995014, 46.29463850361554)]]",3,"[[50, 75], [0, 50]]",1250
"[[(14.47661727439395, 17.176867706495784), (11.570935108551925, 12.986832609660294)]]",5,"[[12, 25], [0, 25]]",325
"[[(16.749786051969856, 36.56055626743343), (30.734667232047443, 40.56600357547282)]]",2,"[[0, 50], [0, 50]]",2500
"[[(16.39634662789088, 47.127252007978576), (2.894555191262188, 6.160786909824571)]]",2,"[[0, 50], [0, 50]]",2500
"[[(66.59860473581445, 76.1134756636996), (59.35214065767428, 60.527794247756205)]]",2,"[[50, 99], [50, 99]]",2500
"[[(32.03367174068143, 44.42573128102176), (15.408522115422926, 21.09779720572279)]]",4,"[[25, 50], [0, 25]]",625
"[[(2.387857406239701, 32.364778812188526), (38.612829684648446, 41.44670846387267)]]",2,"[[0, 50], [0, 50]]",2500
"[[(29.501497124163333, 69.47993672343206), (22.650917961657022, 24.027083770376215)]]",0,"[(0, 99), (0, 99)]",10000
"[[(32.093740458526256, 36.432078102148054), (62.029882806541615, 65.02207438427801)]]",8,"[[31, 37], [62, 68]]",36
"[[(40.885457404400306, 43.3953388106609), (1.3167213509501141, 6.522975109641207)]]",6,"[[37, 50], [0, 12]]",156
"[[(78.67445153230038, 80.35467190629029), (1.6739732460092178, 5.090180436403081)]]",9,"[[78, 81], [0, 6]]",18
"[[(8.671507381072782, 75.2068754420019), (1.9063622896756598, 4.462228713433468)]]",0,"[(0, 99), (0, 99)]",10000
"[[(48.62035836038709, 86.92980141125247), (50.3277120342532, 51.57617177608178)]]",0,"[(0, 99), (0, 99)]",10000
"[[(57.62540452245978, 64.01965537373827), (69.55003249488465, 70.73096712916059)]]",4,"[[50, 75], [50, 75]]",625
"[[(32.34927312923234, 72.03775925050101), (29.497570952760192, 31.204810551055157)]]",0,"[(0, 99), (0, 99)]",10000
"[[(30.37982725001983, 37.471494046936115), (47.84727558871419, 60.53493116286418)]]",1,"[[0, 50], (0, 99)]",5000
"[[(9.298009556078416, 19.9923840967424), (54.24470998590001, 60.86632876763879)]]",4,"[[0, 25], [50, 75]]",625
"[[(32.08633844420564, 36.38681980494584), (43.90506692588602, 47.982210268242056)]]",8,"[[31, 37], [43, 50]]",42
"[[(20.6827426984286, 26.484264250447445), (59.19842371593827, 62.25098305155849)]]",2,"[[0, 50], [50, 99]]",2500
"[[(40.794143907768266, 79.24377047611304), (68.72555004338021, 70.34480549808362)]]",0,"[(0, 99), (0, 99)]",10000
"[[(44.961328262203864, 58.66965746054669), (70.19647569915088, 84.39661977401448)]]",0,"[(0, 99), (0, 99)]",10000
"[[(19.9767801626432, 38.12642089905819), (23.712825235109584, 26.713591651764855)]]",2,"[[0, 50], [0, 50]]",2500
"[[(0.3241481119396949, 28.042578806336085), (88.67314107859566, 91.97155432031917)]]",2,"[[0, 50], [50, 99]]",2500
"[[(24.904965096479557, 71.66708754925), (87.06949505342578, 89.78500769709206)]]",0,"[(0, 99), (0, 99)]",10000
"[[(2.3157656247329035, 5.702107238753024), (92.52703055406744, 94.384666275727)]]",7,"[[0, 6], [87, 99]]",78
"[[(6.086660057078716, 11.294097988062639), (66.06990471034553, 69.65682665574498)]]",7,"[[6, 12], [62, 75]]",78
"[[(0.7492114172062787, 7.007404057443525), (0.6673030541217192, 5.180037264615482)]]",6,"[[0, 12], [0, 12]]",144
"[[(41.08752415158742, 42.471669796865676), (7.602449354828884, 18.363706842077136)]]",5,"[[37, 50], [0, 25]]",325
"[[(17.43722718653758, 32.03861483003531), (5.961760898697412, 8.31878583246101)]]",2,"[[0, 50], [0, 50]]",2500
"[[(5.252203772235518, 17.87717129046616), (8.796989939506394, 26.063144223196772)]]",3,"[[0, 25], [0, 50]]",1250
"[[(50.423075551692946, 70.07199334100005), (69.18322018289687, 72.04769880274829)]]",4,"[[50, 75], [50, 75]]",625
"[[(78.51161077032147, 79.7316398667583), (47.879857496488555, 56.69624068106202)]]",1,"[[50, 99], (0, 99)]",5000
"[[(29.15704187873943, 70.57381665334515), (79.16638056003383, 83.89339538566234)]]",0,"[(0, 99), (0, 99)]",10000
"[[(5.10217011118682, 19.867415074140254), (13.268804792139878, 24.065224766426155)]]",4,"[[0, 25], [0, 25]]",625
"[[(34.33714981457544, 63.1462876388862), (31.20373953763695, 34.89866458687629)]]",0,"[(0, 99), (0, 99)]",10000
"[[(4.599782761684218, 31.62907194898552), (80.73794036918659, 83.73886321340869)]]",2,"[[0, 50], [50, 99]]",2500
"[[(41.161179101426384, 42.354945327712265), (33.50086393132104, 85.36683698985037)]]",1,"[[0, 50], (0, 99)]",5000
"[[(39.86035402414641, 71.91135428017559), (24.60613203753675, 27.72751367667026)]]",0,"[(0, 99), (0, 99)]",10000
"[[(59.26162138552861, 60.48020375646727), (66.70513072462752, 83.76544392378982)]]",3,"[[50, 75], [50, 99]]",1250
"[[(10.191595888279501, 17.50393296142944), (54.96102613192288, 57.59598477984214)]]",4,"[[0, 25], [50, 75]]",625
"[[(41.22575909468656, 44.804308287568645), (65.47823407820214, 70.02090432748898)]]",6,"[[37, 50], [62, 75]]",169
"[[(34.87416163684945, 59.59269552130778), (66.87520093550839, 69.61368284512469)]]",0,"[(0, 99), (0, 99)]",10000
"[[(13.745916498690512, 65.76378303481191), (33.887448014022134, 38.793918429685874)]]",0,"[(0, 99), (0, 99)]",10000
"[[(24.28224382051259, 33.38926936975698), (59.682470363211486, 63.70749973854325)]]",2,"[[0, 50], [50, 99]]",2500
"[[(67.0889948969228, 68.89632851834499), (10.703082188152234, 28.63018225300302)]]",3,"[[50, 75], [0, 50]]",1250
"[[(4.448271366882281, 51.953963046637405), (57.584820928120536, 61.804689578922115)]]",0,"[(0, 99), (0, 99)]",10000
"[[(12.824660246944013, 70.36828386560293), (46.185191130123435, 48.26180610777403)]]",0,"[(0, 99), (0, 99)]",10000
"[[(52.96758298472796, 81.66158311529202), (2.0129603246625907, 6.744819867994198)]]",2,"[[50, 99], [0, 50]]",2500
"[[(0.04830957921191636, 3.0775217511949693), (45.20918726658546, 60.45840549885216)]]",1,"[[0, 50], (0, 99)]",5000
"[[(23.05542814302433, 44.74131893894277), (77.00827895490991, 83.84015528133894)]]",2,"[[0, 50], [50, 99]]",2500
"[[(1.5817502477999186, 33.15460030499067), (46.57334883057938, 53.55762200501815)]]",1,"[[0, 50], (0, 99)]",5000
"[[(74.68428065415895, 77.27824560287912), (74.49318298734636, 87.69351594842537)]]",2,"[[50, 99], [50, 99]]",2500
"[[(12.639009903497238, 32.05946455817924), (29.235499505462, 32.49992546102913)]]",2,"[[0, 50], [0, 50]]",2500
"[[(9.27469218218493, 11.862954638693733), (7.37924737827685, 12.814826130485375)]]",5,"[[0, 12], [0, 25]]",300
"[[(7.582109924244227, 63.622000354114796), (28.70987594492402, 32.40434124844591)]]",0,"[(0, 99), (0, 99)]",10000
"[[(1.5807007145879735, 27.69313186970239), (62.45334020687494, 68.65663712341332)]]",2,"[[0, 50], [50, 99]]",2500
"[[(66.4240276174556, 74.01699015117809), (57.56245891955242, 61.98771453214199)]]",6,"[[62, 75], [50, 62]]",156
"[[(11.169536380841999, 46.813129705071034), (83.11685198653659, 87.19574871203382)]]",2,"[[0, 50], [50, 99]]",2500
"[[(25.406591143956074, 80.57280138811466), (5.450921475158289, 8.621295475799819)]]",0,"[(0, 99), (0, 99)]",10000
"[[(29.742947825296927, 52.192912031612735), (89.80458784513023, 94.26824986494482)]]",0,"[(0, 99), (0, 99)]",10000
"[[(7.126723981884543, 66.19947106176855), (92.72050056362917, 94.29737542499815)]]",0,"[(0, 99), (0, 99)]",10000
"[[(11.262474489774, 22.07966708898001), (64.62880256413915, 73.4839439056831)]]",4,"[[0, 25], [50, 75]]",625
"[[(6.272057734231794, 21.905905886837978), (14.78088270014447, 16.110406656384484)]]",4,"[[0, 25], [0, 25]]",625
"[[(4.362471793553068, 69.91006725433893), (84.66484598974017, 87.42281721518417)]]",0,"[(0, 99), (0, 99)]",10000
"[[(10.156907888591007, 34.63228693433889), (57.53480051133482, 61.590149494762336)]]",2,"[[0, 50], [50, 99]]",2500
"[[(9.083324591979135, 16.761910404399607), (15.41326121081308, 27.29909737420534)]]",3,"[[0, 25], [0, 50]]",1250
"[[(26.840006887689285, 40.4514382310835), (29.337311305514447, 31.341246208381584)]]",4,"[[25, 50], [25, 50]]",625
"[[(28.833175174897395, 34.8991214233172), (82.34245231857132, 86.4799945994782)]]",6,"[[25, 37], [75, 87]]",144
"[[(64.0147137172204, 66.29732160484335), (19.051543200485654, 28.055163832755536)]]",3,"[[50, 75], [0, 50]]",1250
"[[(12.511395393908648, 76.94670170820983), (83.54319662807985, 86.96172344073464)]]",0,"[(0, 99), (0, 99)]",10000
"[[(28.279095743004664, 32.98096359815068), (46.70088426754365, 49.223001639824176)]]",6,"[[25, 37], [37, 50]]",156
"[[(34.914221327956234, 41.38983293172267), (23.476361159777564, 30.017335518555235)]]",3,"[[25, 50], [0, 50]]",1250
"[[(9.490422264042792, 21.527260953650767), (7.755288306047091, 10.649240342673309)]]",4,"[[0, 25], [0, 25]]",625
"[[(7.12910025991102, 85.0406935702562), (75.8227504002033, 77.41826903560155)]]",0,"[(0, 99), (0, 99)]",10000
"[[(1.9041764535178718, 72.9291548844299), (48.385838680443335, 49.62033518152215)]]",0,"[(0, 99), (0, 99)]",10000
"[[(5.257078538983123, 35.675571805796025), (37.54913810465062, 40.87312525894968)]]",2,"[[0, 50], [0, 50]]",2500
"[[(31.402705405426754, 36.21901573162666), (19.712877935387077, 26.330427420202795)]]",3,"[[25, 50], [0, 50]]",1250
"[[(43.79639788883202, 58.484320083053476), (43.840136076106006, 49.36877154887705)]]",0,"[(0, 99), (0, 99)]",10000
"[[(22.68444104207835, 25.63038636772856), (19.882136323116477, 32.628785269032505)]]",2,"[[0, 50], [0, 50]]",2500
"[[(52.44561202474333, 65.51281029442629), (78.81633967850091, 87.41698934754862)]]",4,"[[50, 75], [75, 99]]",625
"[[(10.958621674071846, 14.041002570420227), (44.078313540892786, 46.36372414685336)]]",4,"[[0, 25], [25, 50]]",625
"[[(53.01050327615908, 69.44871217030077), (77.96513103419638, 91.87322113408908)]]",4,"[[50, 75], [75, 99]]",625
"[[(2.397377835520121, 48.79875112166255), (74.84816790954818, 76.78504686417956)]]",2,"[[0, 50], [50, 99]]",2500
"[[(18.90086737634964, 82.2824950719245), (26.137218839136874, 28.8276314677226)]]",0,"[(0, 99), (0, 99)]",10000
"[[(8.040612048644515, 75.61229508254556), (4.222807645944145, 5.734001239552578)]]",0,"[(0, 99), (0, 99)]",10000
"[[(17.855982178349276, 48.28431906179789), (81.12233228972413, 86.4440667110074)]]",2,"[[0, 50], [50, 99]]",2500
"[[(27.07760080203319, 40.83678790638112), (35.94832369420564, 38.009823131700166)]]",4,"[[25, 50], [25, 50]]",625
"[[(16.60491903959904, 27.476272625325045), (53.14953424826459, 54.46141637487631)]]",2,"[[0, 50], [50, 99]]",2500
"[[(0.9571513896432581, 36.31660327362802), (12.90504159592003, 14.543646043685165)]]",2,"[[0, 50], [0, 50]]",2500
"[[(1.069868263158805, 53.56867976876555), (18.392791465573474, 19.623734899919178)]]",0,"[(0, 99), (0, 99)]",10000
"[[(21.15775497473487, 77.83562374809982), (27.904835565932775, 30.75564837383308)]]",0,"[(0, 99), (0, 99)]",10000
"[[(22.935323002720793, 73.8678247451096), (34.69734274117671, 39.71826499343288)]]",0,"[(0, 99), (0, 99)]",10000
"[[(8.061226833160445, 9.840609057776136), (17.938348317726454, 28.325223639893192)]]",3,"[[0, 25], [0, 50]]",1250
