,DAG,KD
0,2,0
1,0,0
2,4,2
3,4,0
4,4,4
5,4,4
6,6,2
7,4,4
8,4,4
9,0,0
10,4,2
11,0,0
12,0,0
13,0,0
14,4,4
15,4,4
16,9,9
17,0,0
18,4,1
19,3,1
20,2,2
21,3,1
22,2,2
23,4,3
24,4,4
25,2,2
26,4,0
27,2,2
28,9,6
29,5,5
30,2,2
31,4,2
32,2,2
33,6,1
34,0,0
35,0,0
36,3,3
37,8,5
38,4,2
39,2,2
40,4,2
41,4,4
42,2,2
43,2,0
44,8,8
45,7,6
46,7,9
47,0,0
48,0,0
49,6,4
50,2,0
51,4,1
52,4,4
53,8,8
54,6,2
55,0,0
56,4,0
57,2,2
58,2,2
59,0,0
60,9,7
61,8,7
62,6,6
63,5,5
64,4,2
65,3,3
66,4,4
67,5,1
68,2,0
69,4,4
70,2,0
71,2,2
72,1,1
73,2,0
74,5,3
75,6,4
76,7,6
77,2,0
78,0,0
79,4,2
80,3,3
81,0,0
82,0,0
83,2,2
84,5,1
85,2,2
86,2,1
87,3,2
88,4,2
89,7,5
90,0,0
91,2,2
92,6,6
93,2,2
94,0,0
95,2,0
96,0,0
97,4,4
98,4,4
99,0,0
100,2,2
101,5,3
102,4,4
103,6,6
104,7,3
105,0,0
106,8,6
107,5,3
108,4,4
109,0,0
110,0,0
111,2,2
112,7,3
113,4,0
114,5,2
115,4,4
116,8,4
117,4,4
118,2,2
119,0,0
120,0,0
121,2,2
122,4,4
123,4,2
124,2,2
125,0,0
126,0,0
127,0,0
128,5,3
129,2,2
130,0,0
131,4,2
132,0,0
133,9,6
134,0,0
135,0,0
136,4,4
137,0,0
138,4,4
139,6,6
140,2,2
141,2,2
142,0,0
143,2,2
144,2,2
145,2,0
146,4,2
147,2,2
148,0,0
149,4,4
150,4,4
151,2,0
152,5,5
153,0,0
154,4,4
155,5,2
156,0,0
157,4,0
158,0,0
159,0,0
160,2,2
161,4,4
162,6,4
163,7,6
164,6,5
165,4,0
166,3,0
167,2,0
168,2,2
169,0,0
170,0,0
171,4,3
172,6,5
173,0,0
174,6,2
175,4,2
176,4,2
177,6,5
178,2,1
179,4,0
180,0,0
181,2,2
182,2,2
183,2,2
184,2,0
185,8,8
186,3,3
187,0,0
188,2,2
189,2,0
190,0,0
191,5,5
192,6,6
193,0,0
194,5,5
195,3,1
196,2,0
197,2,2
198,6,6
199,7,4
200,4,2
201,3,2
202,0,0
203,2,2
204,2,2
205,2,1
206,2,1
207,0,0
208,1,1
209,4,4
210,2,2
211,9,9
212,0,0
213,0,0
214,4,4
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,5,5
221,0,0
222,4,2
223,3,2
224,0,0
225,0,0
226,2,0
227,3,3
228,7,5
229,2,0
230,2,2
231,4,2
232,0,0
233,2,2
234,2,0
235,6,4
236,6,1
237,6,2
238,4,2
239,3,3
240,2,2
241,2,0
242,0,0
243,0,0
244,2,2
245,6,4
246,0,0
247,0,0
248,0,0
249,2,0
250,6,6
251,4,2
252,4,2
253,6,2
254,4,4
255,2,0
256,3,3
257,0,0
258,6,4
259,2,2
260,2,2
261,2,1
262,4,2
263,2,0
264,4,1
265,4,4
266,4,2
267,4,3
268,8,0
269,0,0
270,0,0
271,2,0
272,8,2
273,0,0
274,0,0
275,4,2
276,2,2
277,2,0
278,0,0
279,4,4
280,4,2
281,2,2
282,0,0
283,0,0
284,0,0
285,5,3
286,3,1
287,6,6
288,0,0
289,7,4
290,0,0
291,0,0
292,4,3
293,0,0
294,0,0
295,7,7
296,2,0
297,8,8
298,0,0
299,4,2
300,2,2
301,9,6
302,2,2
303,0,0
304,3,1
305,4,2
306,4,4
307,4,0
308,1,1
309,0,0
310,0,0
311,2,2
312,2,2
313,0,0
314,2,0
315,2,2
316,7,7
317,4,2
318,4,2
319,2,2
320,5,5
321,2,2
322,4,4
323,4,4
324,3,1
325,0,0
326,2,2
327,2,2
328,2,2
329,2,2
330,0,0
331,4,2
332,0,0
333,2,2
334,2,2
335,2,1
336,0,0
337,2,0
338,7,7
339,4,4
340,2,2
341,0,0
342,4,1
343,0,0
344,3,3
345,2,2
346,4,0
347,0,0
348,4,4
349,6,2
350,0,0
351,2,2
352,2,0
353,0,0
354,0,0
355,4,2
356,0,0
357,9,7
358,2,2
359,2,0
360,4,3
361,2,2
362,2,0
363,0,0
364,0,0
365,6,0
366,6,4
367,6,4
368,2,2
369,2,1
370,5,3
371,0,0
372,8,3
373,0,0
374,4,4
375,0,0
376,3,3
377,4,4
378,0,0
379,2,2
380,0,0
381,7,7
382,4,4
383,2,2
384,2,2
385,2,2
386,0,0
387,4,2
388,4,2
389,5,1
390,4,4
391,6,6
392,3,3
393,6,0
394,0,0
395,6,6
396,5,2
397,12,8
398,0,0
399,8,8
400,6,2
401,3,3
402,0,0
403,0,0
404,0,0
405,1,1
406,2,0
407,6,3
408,6,1
409,7,7
410,2,2
411,2,2
412,8,5
413,6,1
414,0,0
415,4,2
416,2,2
417,2,2
418,2,2
419,3,2
420,0,0
421,4,3
422,2,2
423,4,2
424,6,6
425,3,3
426,2,0
427,3,1
428,4,0
429,2,2
430,2,2
431,0,0
432,6,2
433,4,2
434,6,6
435,2,2
436,1,1
437,8,4
438,6,5
439,4,2
440,2,2
441,5,1
442,4,0
443,5,3
444,2,2
445,0,0
446,4,4
447,2,0
448,0,0
449,6,6
450,8,5
451,0,0
452,0,0
453,2,2
454,0,0
455,6,3
456,0,0
457,2,2
458,0,0
459,2,0
460,4,4
461,2,2
462,4,1
463,1,1
464,6,6
465,2,2
466,0,0
467,2,2
468,2,0
469,3,1
470,4,2
471,4,2
472,8,8
473,4,4
474,9,0
475,2,2
476,4,2
477,0,0
478,0,0
479,0,0
480,4,4
481,4,2
482,2,2
483,7,7
484,5,5
485,0,0
486,2,2
487,4,4
488,2,2
489,0,0
490,7,7
491,1,1
492,8,8
493,0,0
494,7,3
495,0,0
496,6,6
497,2,2
498,7,3
499,0,0
500,2,2
501,0,0
502,2,2
503,0,0
504,9,9
505,0,0
506,6,6
507,0,0
508,2,0
509,8,8
510,2,0
511,6,4
512,0,0
513,2,0
514,0,0
515,4,4
516,8,7
517,0,0
518,2,2
519,8,7
520,0,0
521,0,0
522,4,4
523,2,2
524,2,2
525,4,4
526,5,2
527,0,0
528,3,1
529,0,0
530,5,5
531,7,4
532,6,5
533,2,2
534,0,0
535,0,0
536,0,0
537,4,2
538,0,0
539,6,3
540,4,1
541,0,0
542,7,5
543,4,4
544,0,0
545,0,0
546,4,0
547,4,0
548,4,4
549,2,0
550,6,4
551,6,4
552,8,8
553,5,4
554,6,3
555,0,0
556,0,0
557,4,4
558,2,2
559,0,0
560,5,2
561,0,0
562,5,0
563,6,4
564,1,0
565,0,0
566,4,2
567,0,0
568,4,4
569,4,1
570,0,0
571,2,2
572,2,0
573,4,4
574,2,0
575,2,2
576,0,0
577,2,2
578,2,2
579,7,4
580,5,3
581,5,5
582,0,0
583,2,0
584,0,0
585,3,3
586,2,2
587,2,0
588,0,0
589,5,4
590,6,6
591,4,4
592,4,4
593,5,1
594,2,2
595,4,4
596,2,2
597,2,0
598,2,0
599,5,1
600,10,1
601,6,0
602,0,0
603,0,0
604,4,2
605,3,1
606,6,4
607,6,2
608,0,0
609,6,5
610,4,0
611,2,2
612,4,2
613,0,0
614,2,2
615,2,2
616,4,4
617,3,0
618,3,3
619,3,3
620,0,0
621,0,0
622,4,0
623,6,2
624,4,3
625,0,0
626,2,0
627,2,2
628,4,2
629,0,0
630,2,0
631,2,2
632,4,2
633,6,6
634,2,2
635,2,2
636,2,2
637,4,4
638,0,0
639,2,2
640,3,3
641,5,1
642,7,1
643,2,2
644,6,6
645,2,2
646,0,0
647,4,4
648,2,2
649,0,0
650,4,2
651,4,2
652,7,6
653,4,4
654,2,0
655,4,4
656,8,8
657,4,3
658,0,0
659,0,0
660,2,1
661,8,8
662,2,2
663,0,0
664,2,2
665,6,4
666,3,3
667,6,6
668,4,2
669,7,7
670,2,2
671,2,0
672,2,2
673,4,4
674,5,3
675,0,0
676,0,0
677,5,5
678,2,2
679,0,0
680,8,8
681,2,2
682,5,3
683,0,0
684,4,2
685,5,1
686,4,2
687,4,2
688,4,2
689,4,4
690,0,0
691,4,0
692,3,3
693,4,4
694,0,0
695,3,3
696,7,7
697,0,0
698,4,2
699,4,2
700,2,2
701,0,0
702,2,2
703,4,4
704,4,4
705,2,2
706,2,2
707,6,2
708,4,1
709,4,4
710,2,0
711,4,4
712,7,3
713,0,0
714,7,3
715,8,8
716,2,2
717,0,0
718,0,0
719,0,0
720,5,2
721,3,3
722,5,4
723,2,0
724,4,4
725,2,0
726,4,4
727,2,2
728,4,4
729,0,0
730,4,4
731,4,3
732,0,0
733,6,2
734,2,2
735,0,0
736,7,3
737,4,4
738,2,2
739,2,2
740,2,2
741,6,6
742,0,0
743,6,4
744,2,2
745,6,6
746,5,1
747,2,2
748,7,4
749,4,4
750,4,2
751,0,0
752,10,9
753,2,2
754,4,4
755,0,0
756,0,0
757,2,2
758,2,2
759,4,2
760,2,2
761,4,4
762,2,0
763,0,0
764,6,4
765,0,0
766,6,6
767,0,0
768,4,0
769,2,0
770,2,2
771,5,1
772,4,4
773,4,4
774,4,4
775,2,2
776,2,2
777,6,4
778,5,5
779,0,0
780,4,0
781,4,2
782,6,6
783,2,2
784,2,2
785,2,2
786,2,2
787,2,2
788,6,4
789,0,0
790,2,2
791,0,0
792,1,1
793,2,2
794,4,4
795,4,2
796,6,0
797,2,2
798,6,5
799,4,2
800,4,4
801,3,3
802,0,0
803,2,0
804,4,4
805,4,4
806,4,0
807,4,2
808,0,0
809,5,0
810,4,1
811,8,8
812,3,1
813,2,2
814,2,0
815,2,2
816,1,1
817,4,4
818,0,0
819,5,3
820,0,0
821,5,3
822,2,2
823,4,4
824,0,0
825,2,0
826,0,0
827,2,2
828,0,0
829,2,0
830,0,0
831,3,1
832,4,4
833,6,0
834,2,2
835,2,2
836,2,2
837,0,0
838,2,2
839,6,6
840,2,2
841,4,2
842,6,2
843,6,2
844,2,0
845,4,0
846,2,2
847,2,0
848,4,2
849,3,1
850,2,0
851,5,1
852,0,0
853,2,2
854,0,0
855,6,6
856,0,0
857,10,6
858,0,0
859,5,1
860,7,7
861,0,0
862,4,0
863,6,3
864,0,0
865,0,0
866,5,5
867,3,3
868,2,2
869,2,0
870,7,4
871,2,2
872,2,2
873,0,0
874,4,4
875,4,4
876,0,0
877,6,4
878,0,0
879,4,2
880,4,4
881,4,0
882,4,4
883,4,4
884,5,5
885,10,6
886,0,0
887,0,0
888,4,4
889,6,5
890,2,2
891,4,4
892,2,2
893,0,0
894,9,3
895,7,6
896,4,2
897,5,3
898,2,2
899,2,0
900,3,1
901,0,0
902,4,2
903,2,0
904,2,0
905,0,0
906,4,4
907,4,4
908,0,0
909,2,2
910,0,0
911,4,2
912,2,2
913,5,3
914,5,1
915,4,0
916,5,5
917,2,2
918,2,0
919,0,0
920,2,0
921,2,2
922,2,2
923,2,2
924,4,4
925,4,4
926,0,0
927,0,0
928,0,0
929,3,3
930,2,2
931,2,2
932,3,1
933,4,3
934,4,1
935,8,6
936,2,2
937,2,0
938,6,6
939,0,0
940,4,2
941,5,5
942,0,0
943,2,2
944,2,2
945,2,2
946,0,0
947,6,2
948,2,2
949,0,0
950,6,5
951,6,5
952,2,2
953,0,0
954,2,2
955,0,0
956,0,0
957,2,0
958,0,0
959,7,7
960,8,8
961,2,2
962,4,4
963,10,9
964,0,0
965,0,0
966,0,0
967,4,4
968,8,6
969,6,6
970,6,5
971,4,2
972,2,0
973,0,0
974,2,2
975,4,4
976,4,2
977,0,0
978,4,4
979,2,2
980,3,1
981,4,2
982,10,10
983,5,1
984,7,5
985,2,0
986,0,0
987,3,2
988,2,0
989,6,2
990,2,2
991,0,0
992,7,7
993,2,0
994,0,0
995,0,0
996,4,2
997,4,4
998,6,5
999,4,4
1000,0,0
1001,0,0
1002,0,0
1003,4,4
1004,4,4
1005,2,2
1006,6,3
1007,0,0
1008,2,2
1009,8,8
1010,7,5
1011,3,1
1012,0,0
1013,0,0
1014,0,0
1015,9,7
1016,4,4
1017,4,1
1018,0,0
1019,2,2
1020,6,5
1021,2,2
1022,0,0
1023,2,2
1024,6,3
1025,2,2
1026,2,2
1027,0,0
1028,7,7
1029,0,0
1030,4,2
1031,6,3
1032,8,7
1033,2,2
1034,1,1
1035,4,4
1036,4,2
1037,6,6
1038,4,4
1039,2,0
1040,2,0
1041,2,2
1042,0,0
1043,1,1
1044,2,2
1045,6,3
1046,2,0
1047,6,2
1048,0,0
1049,7,3
1050,6,6
1051,2,2
1052,2,2
1053,0,0
1054,6,4
1055,4,4
1056,6,1
1057,6,4
1058,6,6
1059,4,4
1060,0,0
1061,4,4
1062,3,3
1063,2,0
1064,5,3
1065,6,6
1066,2,2
1067,3,3
1068,4,0
1069,2,2
1070,0,0
1071,0,0
1072,2,0
1073,0,0
1074,4,4
1075,2,2
1076,0,0
1077,4,4
1078,4,1
1079,2,0
1080,2,2
1081,9,7
1082,0,0
1083,3,1
1084,2,0
1085,2,2
1086,3,1
1087,6,6
1088,0,0
1089,4,4
1090,10,8
1091,8,6
1092,4,4
1093,6,2
1094,2,2
1095,0,0
1096,2,1
1097,4,2
1098,0,0
1099,4,2
1100,4,4
1101,4,4
1102,0,0
1103,0,0
1104,4,0
1105,6,6
1106,2,2
1107,1,1
1108,0,0
1109,2,2
1110,0,0
1111,0,0
1112,4,1
1113,4,2
1114,8,7
1115,0,0
1116,5,5
1117,2,0
1118,4,4
1119,2,2
1120,5,1
1121,8,8
1122,0,0
1123,0,0
1124,0,0
1125,3,1
1126,10,12
1127,10,10
1128,2,0
1129,5,1
1130,0,0
1131,4,2
1132,0,0
1133,0,0
1134,4,4
1135,0,0
1136,4,1
1137,3,2
1138,0,0
1139,0,0
1140,6,6
1141,7,4
1142,2,2
1143,4,4
1144,2,2
1145,2,2
1146,2,2
1147,5,5
1148,3,0
1149,4,2
1150,0,0
1151,0,0
1152,3,0
1153,4,4
1154,4,4
1155,0,0
1156,2,0
1157,0,0
1158,2,2
1159,6,3
1160,2,0
1161,1,1
1162,0,0
1163,5,4
1164,3,0
1165,3,3
1166,3,1
1167,8,6
1168,2,2
1169,2,2
1170,3,1
1171,9,4
1172,0,0
1173,2,2
1174,9,8
1175,9,9
1176,10,8
1177,2,2
1178,4,2
1179,8,8
1180,4,4
1181,0,0
1182,2,2
1183,0,0
1184,0,0
1185,2,0
1186,8,4
1187,7,5
1188,0,0
1189,0,0
1190,0,0
1191,0,0
1192,3,0
1193,6,6
1194,5,1
1195,4,4
1196,8,8
1197,5,3
1198,0,0
1199,2,2
1200,0,0
1201,0,0
1202,2,2
1203,2,2
1204,4,4
1205,7,5
1206,2,0
1207,2,0
1208,2,2
1209,2,0
1210,7,7
1211,1,1
1212,2,0
1213,2,2
1214,0,0
1215,3,3
1216,0,0
1217,2,0
1218,4,4
1219,0,0
1220,7,1
1221,6,6
1222,0,0
1223,0,0
1224,0,0
1225,4,2
1226,5,5
1227,0,0
1228,4,0
1229,0,0
1230,2,0
1231,0,0
1232,1,1
1233,2,2
1234,2,2
1235,2,0
1236,4,2
1237,6,5
1238,2,2
1239,0,0
1240,4,3
1241,7,7
1242,2,0
1243,7,7
1244,7,3
1245,4,4
1246,6,0
1247,1,1
1248,2,2
1249,2,2
1250,6,2
1251,2,2
1252,6,6
1253,6,3
1254,2,2
1255,5,5
1256,4,4
1257,0,0
