,L2 Norm
0,0.018464574553601606
1,0.01672803231667981
2,0.0015728301173695974
3,-0.009283394894709904
4,-0.0195386550465299
5,-0.012557837972358502
6,-0.0102503207550361
7,-0.017250035423286403
8,-0.0154102853864647
9,-0.009359272557771501
10,-0.0163567282493167
11,-0.005690238841554802
12,-0.007506427647712401
13,-0.0121226530232881
14,-0.010566797873321898
15,-0.009937284631484099
16,-0.008331904518399899
17,-0.0088532045072785
18,-0.005741764799907201
19,-0.0071505260213968
20,-0.004416400322620402
21,-0.0014910304862453
22,-0.00032124095515480115
23,-0.0005207862203104006
24,-0.0009991692679183987
25,-0.0015688948843370007
26,-0.0044167548776216994
27,-0.0050381959402268
28,-0.0063414471259787
29,-0.0038155768494276994
30,-0.002836350862506101
31,-0.0032471969122571005
32,-0.0026511957274995
33,-8.760798823610055e-05
34,0.0007431543345510997
35,0.0012297626100550001
36,0.0006226096953801993
37,0.00017175649743809973
38,0.001968314346826601
39,0.0012047716585527994
40,0.00029710591668700125
41,-0.0017697073253586
42,-0.003172001876007101
43,-0.003256267287121
44,-0.0033318402488963002
45,-0.0025907266787589013
46,-0.0017216331052818997
47,-0.0024488128811012005
48,-0.0022644215449885005
49,-0.0027382718411046005
50,-0.0023358595274726992
51,-0.0010956170939960003
52,-0.0006168235250471003
53,-0.0013937696123945999
54,-0.002145371579854299
55,-0.0016917132620325
56,-0.002154635725999
57,-0.0015795025492891003
58,-0.0017529447070711995
59,-0.0015908279773331003
60,-0.0023262136854467
61,-0.0017037601058733998
62,-0.0011467548786010997
63,-6.623501902399982e-05
64,-0.0009873991536967002
65,-0.0002632998531465003
66,-0.0005155566274887002
67,-0.0010363919874156
68,-0.0009457179763661004
69,-0.0018272256162191998
70,-0.0021087356225216996
71,-0.0003411872208207
72,-0.0002627554448954997
73,-0.00039073223801049974
74,-4.3067282675800234e-05
75,-0.0005859088330772999
76,-0.0005537609098431994
77,-0.00025602256534429987
78,-0.0002199766710195999
79,-0.00010896864220270039
80,-0.0011263327414968998
81,-0.0003197724142209998
82,-0.00041354998356559966
83,-0.0005248884006038
84,-0.0008482128853014997
85,-0.0015227452431046
86,-0.0009496347286522999
87,-0.0012057128958371
88,-0.0017339358568711001
89,-0.0024569831253996
90,-0.0018114353564817002
91,-0.0015249407129997
92,-0.0017392086229903
93,-0.0012832564417712
94,-0.0009451965529583999
95,-0.0011511796843107001
96,-0.0005623662028306001
97,-0.00039400999285009995
98,1.835269443179995e-05
99,0.0
