,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,5,144,6,139,28.8,3.4722222222222223
1,1,9,10,8,9.0,11.11111111111111
2,26,2500,2,2474,96.15384615384616,1.04
3,5,144,6,139,28.8,3.4722222222222223
4,12,1250,3,1238,104.16666666666667,0.96
5,8,2500,2,2492,312.5,0.32
6,2,1250,3,1248,625.0,0.16
7,15,2500,2,2485,166.66666666666666,0.6
8,5,21,9,16,4.2,23.809523809523807
9,15,625,4,610,41.666666666666664,2.4
10,12,625,4,613,52.083333333333336,1.92
11,4,42,8,38,10.5,9.523809523809524
12,14,144,6,130,10.285714285714286,9.722222222222223
13,36,10000,0,9964,277.77777777777777,0.36
14,18,625,4,607,34.72222222222222,2.88
15,14,10000,0,9986,714.2857142857143,0.13999999999999999
16,9,625,4,616,69.44444444444444,1.44
17,8,36,8,28,4.5,22.22222222222222
18,18,10000,0,9982,555.5555555555555,0.18
19,12,2500,2,2488,208.33333333333334,0.48
20,20,2500,2,2480,125.0,0.8
21,6,144,6,138,24.0,4.166666666666666
22,4,36,8,32,9.0,11.11111111111111
23,7,156,6,149,22.285714285714285,4.487179487179487
24,20,5000,1,4980,250.0,0.4
25,25,10000,0,9975,400.0,0.25
26,7,625,4,618,89.28571428571429,1.1199999999999999
27,21,78,7,57,3.7142857142857144,26.923076923076923
28,3,1250,3,1247,416.6666666666667,0.24
29,8,42,8,34,5.25,19.047619047619047
30,12,2500,2,2488,208.33333333333334,0.48
31,12,156,6,144,13.0,7.6923076923076925
32,10,72,7,62,7.2,13.88888888888889
33,23,2500,2,2477,108.69565217391305,0.9199999999999999
34,5,625,4,620,125.0,0.8
35,16,625,4,609,39.0625,2.56
36,14,156,6,142,11.142857142857142,8.974358974358974
37,18,625,4,607,34.72222222222222,2.88
38,12,2500,2,2488,208.33333333333334,0.48
39,21,625,4,604,29.761904761904763,3.36
40,22,625,4,603,28.40909090909091,3.52
41,15,1250,3,1235,83.33333333333333,1.2
42,6,18,9,12,3.0,33.33333333333333
43,26,625,4,599,24.03846153846154,4.16
44,20,2500,2,2480,125.0,0.8
45,3,21,9,18,7.0,14.285714285714285
46,28,2500,2,2472,89.28571428571429,1.1199999999999999
47,6,156,6,150,26.0,3.8461538461538463
48,8,10000,0,9992,1250.0,0.08
49,20,156,6,136,7.8,12.82051282051282
50,9,2500,2,2491,277.77777777777777,0.36
51,19,10000,0,9981,526.3157894736842,0.19
52,5,18,9,13,3.6,27.77777777777778
53,3,78,7,75,26.0,3.8461538461538463
54,9,169,6,160,18.77777777777778,5.325443786982249
55,11,2500,2,2489,227.27272727272728,0.44
56,26,625,4,599,24.03846153846154,4.16
57,18,84,7,66,4.666666666666667,21.428571428571427
58,13,10000,0,9987,769.2307692307693,0.13
