BRC Query,Data Size
"[[(19144769.94, 19902934.9), (-90.0, -501495.91), (-176.30859375, -277579.92)]]",0
"[[(12222108.86, 13161337.13), (-90.0, 405.658498), (-176.30859375, -435113.63)]]",0
"[[(42781017.24, 43808739.47), (-90.0, -387834.34), (-176.30859375, -468816.89)]]",0
"[[(15496606.92, 16370895.21), (-90.0, 405.658498), (-176.30859375, -84733.58)]]",0
"[[(38242051.73, 39122698.78), (-90.0, -359275.99), (-176.30859375, 177.462490797)]]",0
"[[(12768890.09, 12882999.1), (-90.0, -13859.1), (-176.30859375, -246110.69)]]",0
"[[(20941884.36, 21335549.78), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",4062
"[[(21651733.09, 22145883.09), (-90.0, -335135.25), (-176.30859375, -169158.03)]]",0
"[[(13082793.44, 13991709.95), (-90.0, -547305.23), (-176.30859375, 177.462490797)]]",0
"[[(15993628.34, 16509222.03), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",226
"[[(16261567.56, 16822915.72), (-90.0, -181993.62), (-176.30859375, -401715.75)]]",0
"[[(24895816.62, 25777867.71), (-90.0, -156798.43), (-176.30859375, -214901.58)]]",0
"[[(22296585.48, 22800452.64), (-90.0, 405.658498), (-176.30859375, -395629.27)]]",0
"[[(38536048.9, 39305702.6), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",166237
"[[(37934010.82, 38084371.87), (-90.0, -534902.42), (-176.30859375, 177.462490797)]]",0
"[[(5416722.98, 6329377.72), (-90.0, 405.658498), (-176.30859375, -544914.29)]]",0
"[[(27905119.8, 28384875.09), (-90.0, 405.658498), (-176.30859375, -487032.1)]]",0
"[[(21747876.6, 22305972.73), (-90.0, -295957.58), (-176.30859375, -429944.85)]]",0
"[[(22035330.55, 22099407.71), (-90.0, 405.658498), (-176.30859375, -36227.08)]]",0
"[[(49506962.71, 49890702.94), (-90.0, -419371.74), (-176.30859375, 177.462490797)]]",0
"[[(27862953.93, 28553453.7), (-90.0, -120403.28), (-176.30859375, 177.462490797)]]",0
"[[(36325135.9, 36812167.17), (-90.0, -664866.22), (-176.30859375, 177.462490797)]]",0
"[[(46898612.84, 47758383.8), (-90.0, 405.658498), (-176.30859375, -573252.39)]]",0
"[[(3323502.95, 4013298.15), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",586
"[[(5299316.26, 5635971.08), (-90.0, -540581.31), (-176.30859375, -8248.74)]]",0
"[[(30503171.1, 30733470.87), (-90.0, 405.658498), (-176.30859375, -44299.18)]]",0
"[[(30780248.65, 30995561.73), (-90.0, -448623.71), (-176.30859375, 177.462490797)]]",0
"[[(16976441.28, 17808566.19), (-90.0, 405.658498), (-176.30859375, -372210.27)]]",0
"[[(34034536.37, 34853999.96), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",116164
"[[(48692562.33, 49346895.45), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",223536
"[[(51479615.74, 52326574.72), (-90.0, -524954.3), (-176.30859375, -567194.14)]]",0
"[[(2050441.4, 2753919.65), (-90.0, 405.658498), (-176.30859375, -394248.01)]]",0
"[[(52797126.26, 53696817.91), (-90.0, -727186.46), (-176.30859375, 177.462490797)]]",0
"[[(12065655.75, 13038539.29), (-90.0, -54819.07), (-176.30859375, 177.462490797)]]",0
"[[(34157619.05, 34869149.26), (-90.0, -398878.57), (-176.30859375, 177.462490797)]]",0
"[[(18357097.85, 18631818.31), (-90.0, 405.658498), (-176.30859375, -484255.78)]]",0
"[[(32919645.77, 33839648.34), (-90.0, -92623.58), (-176.30859375, -164096.06)]]",0
"[[(13407687.85, 14200771.48), (-90.0, -11439.41), (-176.30859375, 177.462490797)]]",0
"[[(51903311.42, 51969045.25), (-90.0, -324268.4), (-176.30859375, -886380.19)]]",0
"[[(26459555.17, 27386086.1), (-90.0, -406888.92), (-176.30859375, 177.462490797)]]",0
"[[(24016990.69, 24900783.99), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",26075
"[[(27006450.27, 27131008.85), (-90.0, 405.658498), (-176.30859375, -155369.63)]]",0
"[[(19360074.41, 19897057.7), (-90.0, -139878.45), (-176.30859375, 177.462490797)]]",0
"[[(42789999.45, 42958835.85), (-90.0, -664411.11), (-176.30859375, -143568.64)]]",0
"[[(12216899.12, 13292092.86), (-90.0, -821730.55), (-176.30859375, -461590.35)]]",0
"[[(4813645.39, 5843569.39), (-90.0, -273579.77), (-176.30859375, 177.462490797)]]",0
"[[(37540320.73, 38215315.9), (-90.0, 405.658498), (-176.30859375, -225636.11)]]",0
"[[(45307943.09, 46303108.33), (-90.0, 405.658498), (-176.30859375, -239277.17)]]",0
"[[(20290250.87, 21165039.06), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",6640
"[[(15137502.43, 15411392.0), (-90.0, -276232.6), (-176.30859375, -3488.59)]]",0
"[[(43529041.31, 43716822.0), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",44948
