,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,1610327,2,1610327,inf,0.0
1,0,4,20,4,inf,0.0
2,0,4,20,4,inf,0.0
3,0,4,20,4,inf,0.0
4,752,3220655,1,3219903,4282.785904255319,0.02334928764490453
5,0,1610324,2,1610324,inf,0.0
6,0,1610324,2,1610324,inf,0.0
7,0,1610324,2,1610324,inf,0.0
8,0,100638,6,100638,inf,0.0
9,0,12564,9,12564,inf,0.0
10,0,6441311,0,6441311,inf,0.0
11,0,100628,6,100628,inf,0.0
12,0,1610324,2,1610324,inf,0.0
13,0,3220655,1,3220655,inf,0.0
14,33924,3220655,1,3186731,94.9373599811343,1.053326109129975
15,0,3220655,1,3220655,inf,0.0
16,594748,3220656,1,2625908,5.415160706719485,18.466672628185066
17,0,6441311,0,6441311,inf,0.0
18,0,4,20,4,inf,0.0
19,0,195,15,195,inf,0.0
20,0,3220655,1,3220655,inf,0.0
21,0,1572,12,1572,inf,0.0
22,0,1610324,2,1610324,inf,0.0
23,0,3220655,1,3220655,inf,0.0
24,0,4,20,4,inf,0.0
25,0,3220655,1,3220655,inf,0.0
26,0,4,20,4,inf,0.0
27,0,6441311,0,6441311,inf,0.0
28,0,4,20,4,inf,0.0
29,0,3220655,1,3220655,inf,0.0
30,0,6441311,0,6441311,inf,0.0
31,0,1610324,2,1610324,inf,0.0
32,0,12577,9,12577,inf,0.0
33,0,3220655,1,3220655,inf,0.0
34,0,1610324,2,1610324,inf,0.0
35,0,3220655,1,3220655,inf,0.0
36,636713,3220655,1,2583942,5.058252305198732,19.769674181183643
37,5,3220655,1,3220650,644131.0,0.0001552479231709078
38,0,3220655,1,3220655,inf,0.0
39,0,1610324,2,1610324,inf,0.0
40,0,3220655,1,3220655,inf,0.0
41,1059,3220655,1,3219596,3041.222851746931,0.03288151012759827
42,9365,3220655,1,3211290,343.903363587827,0.2907793600991103
43,0,3220656,1,3220656,inf,0.0
44,1674,3220655,1,3218981,1923.9277180406214,0.051977004677619926
45,0,4,20,4,inf,0.0
46,698627,3220655,1,2522028,4.609977856567238,21.692078164224355
47,0,4,20,4,inf,0.0
48,0,6441311,0,6441311,inf,0.0
49,0,6441311,0,6441311,inf,0.0
50,51585,3220655,1,3169070,62.433943975962,1.6016928233542556
51,0,4,20,4,inf,0.0
52,0,4,20,4,inf,0.0
53,781,3220655,1,3219874,4123.7580025608195,0.024249725599295793
54,0,4,20,4,inf,0.0
55,118738,3220655,1,3101917,27.124046219407436,3.6867655802934496
56,0,4,20,4,inf,0.0
57,1346601,6441311,0,5094710,4.783384981891444,20.90569761342062
58,0,3220655,1,3220655,inf,0.0
59,1518,3220655,1,3219137,2121.643610013175,0.0471332694746876
60,624138,3220655,1,2596517,5.160164899429293,19.379225654408806
61,207077,6441311,0,6234234,31.105873660522413,3.2148269195510046
62,0,4,20,4,inf,0.0
63,0,4,20,4,inf,0.0
64,0,4,20,4,inf,0.0
65,0,1610324,2,1610324,inf,0.0
66,0,1610324,2,1610324,inf,0.0
67,0,3220655,1,3220655,inf,0.0
68,0,6441311,0,6441311,inf,0.0
69,0,3220655,1,3220655,inf,0.0
70,0,4,20,4,inf,0.0
71,0,4,20,4,inf,0.0
72,0,4,20,4,inf,0.0
73,0,6441311,0,6441311,inf,0.0
74,35928,3220655,1,3184727,89.6419227343576,1.115549476736875
75,0,6441311,0,6441311,inf,0.0
76,555,3220655,1,3220100,5802.981981981982,0.017232519471970763
77,0,1610327,2,1610327,inf,0.0
78,5117,3220655,1,3215538,629.4029704905217,0.15888072457310704
79,0,1610324,2,1610324,inf,0.0
80,0,6441311,0,6441311,inf,0.0
81,0,1610324,2,1610324,inf,0.0
82,987191,3220656,1,2233465,3.2624446535675466,30.651860987326806
83,0,100628,6,100628,inf,0.0
84,0,3220655,1,3220655,inf,0.0
85,0,4,20,4,inf,0.0
86,0,1566,12,1566,inf,0.0
87,0,805160,3,805160,inf,0.0
88,0,19,18,19,inf,0.0
89,0,1610324,2,1610324,inf,0.0
