SRC Query,Depth,BBoxes,Data Size
"[[(42607034.14, 44113327.24), (45.01, 46.03), (-72.26, -45.65)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(48401090.87, 50971951.42), (35.65, 37.13), (-120.73, -118.95)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(46133572.24, 47807369.9), (39.66, 42.37), (-32.37, -7.03)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(48973302.89, 49943844.59), (40.45, 42.66), (-71.4, -70.39)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(45948050.47, 48342280.13), (44.43, 48.42), (-43.9, -28.26)]]",7,"[[45286384.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(49460420.32, 51019689.4), (45.77, 47.85), (-93.33, -82.43)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(51080359.61, 53907666.14), (32.75, 36.92), (-62.28, -38.26)]]",1,"[[50885836.0, 54173030.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47180561.17, 48324805.39), (33.29, 36.98), (-87.56, -66.66)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47448244.61, 48718588.28), (43.62, 46.22), (-91.17, -75.12)]]",7,"[[45286384.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(43849835.58, 45364404.35), (33.45, 35.99), (-99.05, -71.0)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45635678.52, 46868794.72), (34.85, 39.06), (-94.16, -91.5)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(43218733.95, 44007700.17), (44.63, 49.06), (-77.62, -67.6)]]",7,"[[41050144.0, 45286384.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(45223777.4, 46725727.33), (30.22, 31.86), (-121.74, -118.79)]]",8,"[[41050144.0, 50517327.0], [30.2015573297, 34.0298476833], [-122.4271774292, -118.4270811081]]",3
"[[(47743031.07, 49865106.36), (39.39, 40.75), (-94.84, -76.78)]]",5,"[[41050144.0, 50388181.0], [38.9852462167, 50.381005442], [-118.28350965, 6.740224373]]",32
"[[(44373175.66, 44635696.26), (40.23, 41.76), (-85.94, -82.17)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(50643697.25, 52393877.56), (39.95, 44.24), (-57.63, -30.67)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(47215764.15, 49653692.63), (45.1, 46.87), (-35.31, -9.07)]]",7,"[[45286384.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(42333097.68, 42670139.94), (32.4, 35.04), (-82.53, -71.74)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49521154.51, 49798284.21), (41.5, 42.5), (-50.04, -27.24)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(43756544.91, 44269852.78), (44.74, 48.51), (-74.38, -72.74)]]",7,"[[41050144.0, 45286384.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(42560274.21, 43727173.05), (41.62, 43.62), (-28.2, -9.14)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(41653529.05, 44525256.43), (34.84, 38.84), (-46.12, -24.92)]]",8,"[[41050144.0, 50382548.0], [34.1675683167, 38.9852462167], [-118.2270631833, 6.740224373]]",4
"[[(44310981.86, 46991964.37), (32.69, 35.99), (-24.42, 1.15)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42852646.91, 43265178.09), (43.11, 46.94), (-87.2, -63.92)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(47567564.22, 50337331.05), (40.79, 44.7), (-65.27, -43.29)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(44982299.95, 47556789.49), (35.22, 39.09), (-85.76, -83.44)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(49994424.18, 51540337.42), (34.41, 37.26), (-114.2, -103.8)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(43404069.37, 45244409.68), (41.42, 44.52), (-68.17, -60.32)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(45885289.18, 48417959.89), (36.1, 39.52), (-32.39, -24.58)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(47016132.35, 48216639.25), (40.54, 41.7), (-120.15, -112.15)]]",2,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], (-122.4271774292, 6.740224373)]",251
"[[(49552245.7, 50592633.4), (36.65, 40.65), (-71.82, -57.93)]]",3,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",126
"[[(49608172.79, 51393445.06), (41.49, 44.87), (-42.38, -38.8)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
