SRC Query,Depth,BBoxes,Data Size
"[[(42685206.93, 44649877.53), (37.66, 41.42), (-42.86, -25.31)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48473036.12, 51636770.44), (41.42, 44.4), (-102.46, -75.92)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(42918868.45, 43130952.43), (34.34, 35.4), (-80.2, -64.59)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47528032.04, 48239165.67), (43.39, 45.68), (-114.31, -86.52)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46203326.93, 48453105.7), (32.75, 34.46), (-102.05, -87.31)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43505216.76, 46145220.43), (32.49, 35.86), (-32.85, -21.15)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48458050.44, 51630526.89), (41.77, 45.95), (-100.35, -78.75)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(41602502.72, 42372702.24), (40.31, 43.12), (-122.0, -119.9)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47709027.11, 49761165.33), (42.18, 45.05), (-52.22, -20.87)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42473424.22, 43716062.26), (42.96, 47.18), (-68.59, -40.38)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(50543685.35, 52448956.2), (34.37, 37.5), (-94.87, -84.31)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(46156007.4, 46367216.66), (31.02, 33.59), (-111.47, -94.05)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(43717131.72, 46140004.34), (31.03, 36.2), (-90.06, -77.7)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48507182.76, 51836574.52), (37.52, 41.75), (-115.97, -101.67)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(45613496.78, 48437252.67), (36.37, 39.22), (-78.79, -61.06)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(41845375.92, 43577610.13), (35.87, 37.72), (-63.16, -60.94)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42439081.39, 45801269.43), (35.47, 39.87), (-29.57, -0.66)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48773948.43, 49094010.35), (42.95, 44.97), (-27.43, -25.85)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47590314.12, 49073067.22), (34.17, 36.62), (-53.78, -50.07)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48286581.6, 49203385.15), (36.56, 41.59), (-27.0, 0.98)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49136338.65, 50403534.89), (39.44, 43.69), (-99.84, -75.7)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42751395.47, 45031644.97), (44.52, 49.58), (-41.17, -33.88)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47161748.68, 47949583.9), (36.38, 40.49), (-108.65, -85.68)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45577897.04, 48413347.46), (39.12, 43.75), (-32.04, -4.93)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47960050.0, 48301564.04), (33.0, 34.27), (-67.8, -59.73)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44142169.75, 45476728.28), (32.76, 35.0), (-95.74, -66.01)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43267391.03, 43674740.93), (44.36, 45.96), (-33.55, -21.09)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46847668.65, 48866962.76), (43.67, 46.89), (-113.79, -98.65)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44341033.56, 46134262.19), (38.27, 43.42), (-72.77, -62.46)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46067509.04, 47168500.5), (32.42, 33.85), (-59.29, -53.34)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(43210758.97, 44242876.47), (36.5, 41.35), (-97.24, -75.77)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47113641.54, 50074123.36), (39.77, 44.72), (-80.12, -77.28)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46491392.61, 46492259.69), (44.27, 46.54), (-74.53, -52.58)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42145067.0, 43383126.18), (35.67, 40.72), (-108.06, -80.45)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47559088.46, 50043883.04), (42.26, 45.34), (-30.69, -11.85)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44471583.19, 44661532.7), (31.96, 35.07), (-56.81, -52.77)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(41643785.79, 44140203.08), (31.28, 32.33), (-65.58, -32.68)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(47012775.75, 50292962.02), (33.65, 37.7), (-69.45, -55.23)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46701101.32, 49072822.89), (32.54, 36.4), (-41.79, -38.97)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(41334804.38, 44485737.18), (40.13, 43.05), (-119.08, -95.11)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48782163.81, 50087162.86), (39.86, 44.12), (-118.79, -100.69)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42839839.63, 44933116.98), (34.41, 35.91), (-67.36, -60.34)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46810118.46, 48442731.29), (41.56, 43.64), (-38.81, -19.72)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48956610.46, 51268211.64), (32.18, 34.16), (-90.28, -74.93)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(44433754.14, 47048111.1), (40.87, 41.92), (-34.36, -9.5)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46594947.88, 49465561.63), (30.42, 33.74), (-50.51, -20.34)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(43908586.44, 47153347.21), (39.54, 44.73), (-69.73, -39.3)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46653898.29, 48373816.7), (43.06, 46.99), (-69.62, -52.34)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45634876.37, 46810637.1), (36.3, 40.18), (-112.99, -85.21)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(48889691.58, 49593724.08), (40.69, 44.25), (-66.27, -63.33)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(50700438.4, 51455878.28), (43.26, 48.46), (-46.9, -33.62)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(41550774.62, 41725149.23), (41.58, 46.3), (-38.11, -12.66)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43746799.31, 46735386.01), (38.86, 42.82), (-112.54, -83.8)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44429556.33, 46022310.6), (41.09, 43.87), (-55.0, -24.82)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(50136754.47, 50226937.38), (41.39, 46.56), (-39.71, -16.98)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42832396.58, 43108472.04), (39.13, 43.3), (-63.94, -62.08)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(42902533.61, 45815490.26), (31.11, 33.8), (-96.66, -81.92)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(49988411.48, 53023522.26), (36.95, 38.25), (-102.56, -100.56)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(45049702.27, 47912825.25), (36.77, 38.53), (-104.12, -100.1)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47797017.95, 49031957.69), (43.98, 47.87), (-71.8, -52.63)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
