BRC Query,Data Size
"[[(50811470.47, 50962166.97), (33.22, 34.03), (-81.61, -79.26)]]",0
"[[(44474299.5, 44711165.31), (46.69, 47.56), (-14.08, -12.55)]]",0
"[[(53240621.69, 53370519.72), (45.22, 45.82), (-104.85, -103.73)]]",0
"[[(46649516.39, 46760408.26), (36.48, 36.9), (-99.65, -98.24)]]",0
"[[(50456243.79, 50594118.94), (35.97, 36.79), (-64.85, -63.08)]]",0
"[[(51342911.13, 51502952.96), (35.09, 35.73), (-63.03, -61.79)]]",0
"[[(46186033.34, 46332306.5), (41.61, 42.14), (-15.31, -13.11)]]",0
"[[(53124461.66, 53348543.37), (41.97, 42.66), (-109.57, -107.2)]]",0
"[[(43320805.35, 43471038.87), (48.25, 48.95), (-110.06, -108.26)]]",0
"[[(46220106.46, 46348348.34), (44.48, 45.07), (-19.87, -18.69)]]",0
"[[(48679733.94, 48835730.44), (32.05, 32.93), (-39.62, -37.32)]]",0
"[[(42487912.26, 42720945.94), (47.97, 48.41), (-32.45, -31.04)]]",0
"[[(50863292.14, 50890240.26), (31.17, 31.89), (-46.49, -45.3)]]",0
"[[(48768006.42, 48962384.4), (42.45, 42.9), (-76.4, -74.22)]]",0
"[[(43906040.99, 43970666.93), (34.93, 35.93), (-116.97, -114.86)]]",0
"[[(46705673.29, 46850171.74), (48.93, 49.78), (-57.79, -55.96)]]",0
"[[(50325187.34, 50339575.32), (35.2, 36.05), (-117.37, -114.86)]]",0
"[[(42515923.09, 42755201.77), (48.92, 49.89), (-70.12, -68.28)]]",0
"[[(49184367.86, 49388837.57), (32.75, 33.24), (-12.34, -9.91)]]",0
"[[(53261155.79, 53436505.27), (46.65, 47.06), (-93.95, -92.9)]]",0
"[[(45503330.4, 45734204.63), (47.75, 48.61), (-116.36, -115.23)]]",0
"[[(44079648.85, 44183538.83), (31.55, 32.23), (-19.83, -17.69)]]",0
"[[(42224187.8, 42311316.51), (34.49, 35.01), (-40.29, -38.36)]]",0
"[[(53402168.88, 53566666.27), (41.06, 41.8), (-32.55, -31.23)]]",0
"[[(50895697.61, 51019251.39), (31.17, 31.73), (-113.47, -111.86)]]",0
"[[(46522888.07, 46528746.03), (39.25, 39.97), (0.54, 2.65)]]",0
"[[(44149237.84, 44311517.05), (38.19, 39.02), (-94.41, -92.46)]]",0
"[[(49508957.9, 49725554.14), (45.91, 46.86), (-82.43, -80.23)]]",0
"[[(48275908.34, 48381439.58), (34.81, 35.54), (-8.15, -5.74)]]",0
"[[(50398516.34, 50485852.7), (30.58, 31.48), (-40.97, -39.31)]]",0
"[[(48207627.72, 48255039.74), (47.96, 48.68), (-44.58, -42.08)]]",0
"[[(47924665.93, 47997842.44), (48.17, 48.91), (-26.91, -25.36)]]",0
"[[(49176045.71, 49430609.81), (48.61, 49.43), (-41.45, -39.01)]]",0
"[[(41396230.22, 41410693.02), (49.66, 50.26), (-10.47, -8.0)]]",0
"[[(47845232.68, 47892607.19), (33.76, 34.62), (-30.78, -29.09)]]",0
"[[(51635846.79, 51890454.85), (40.39, 41.08), (-93.1, -91.68)]]",0
"[[(49998189.23, 50248464.35), (34.6, 35.53), (-66.35, -64.85)]]",0
"[[(45199289.3, 45245332.76), (32.52, 33.25), (-72.34, -69.96)]]",0
"[[(50734272.83, 50895922.57), (33.94, 34.65), (-37.07, -35.7)]]",0
"[[(45944260.44, 46206082.68), (31.11, 31.9), (-20.4, -18.67)]]",0
"[[(53576953.31, 53632644.17), (34.1, 34.56), (-101.62, -99.04)]]",0
"[[(47008797.99, 47095517.22), (43.56, 44.55), (-113.76, -111.97)]]",0
"[[(42257201.33, 42420402.04), (48.79, 49.66), (-86.64, -84.51)]]",0
"[[(53629740.7, 53725808.56), (33.5, 34.13), (-28.77, -27.28)]]",0
"[[(45535971.37, 45744185.62), (35.44, 35.87), (-103.03, -100.81)]]",0
"[[(45251154.48, 45331287.09), (49.13, 49.78), (-16.75, -15.45)]]",0
"[[(44376664.23, 44541503.11), (37.91, 38.33), (-118.15, -117.11)]]",0
"[[(46734864.41, 46854334.47), (45.48, 45.97), (-31.88, -29.92)]]",0
"[[(51179242.03, 51204726.43), (36.86, 37.33), (-106.52, -104.58)]]",0
"[[(52809847.43, 52964590.45), (45.7, 46.62), (-22.28, -20.6)]]",0
"[[(48090670.16, 48138641.29), (36.89, 37.71), (-109.64, -107.61)]]",0
"[[(52595451.12, 52809144.28), (45.98, 46.6), (-57.81, -55.83)]]",0
"[[(50243511.19, 50498243.41), (44.82, 45.48), (-71.92, -70.34)]]",0
"[[(46951285.62, 47122898.76), (31.13, 31.82), (-111.24, -109.13)]]",0
"[[(53364569.81, 53521344.03), (45.49, 46.47), (-95.07, -93.28)]]",0
"[[(46960253.1, 46961466.67), (42.0, 42.92), (-27.26, -24.83)]]",0
"[[(42642571.46, 42847905.12), (40.08, 40.94), (-63.47, -61.63)]]",0
"[[(42843751.22, 42858125.47), (34.53, 35.14), (-1.4, -0.15)]]",0
"[[(52075471.03, 52151523.3), (46.98, 47.64), (-73.55, -72.44)]]",0
"[[(48437973.3, 48481114.09), (35.66, 36.2), (-24.04, -22.15)]]",0
"[[(47426847.71, 47557300.43), (43.51, 44.08), (-45.4, -44.35)]]",0
"[[(51155736.1, 51279689.57), (39.35, 40.15), (-15.42, -13.5)]]",0
"[[(48825043.38, 48947764.19), (47.29, 47.85), (-106.13, -103.8)]]",0
"[[(49764738.98, 49837552.63), (44.46, 45.14), (-37.82, -36.25)]]",0
"[[(50618882.21, 50762253.04), (36.64, 37.06), (-88.7, -87.12)]]",0
"[[(48121253.53, 48310585.67), (32.53, 33.05), (-95.28, -93.82)]]",0
"[[(52870170.14, 53057073.95), (47.35, 48.15), (-23.54, -21.46)]]",0
"[[(42132550.13, 42198638.53), (46.83, 47.82), (-88.95, -87.55)]]",0
"[[(49680314.32, 49891000.11), (42.08, 42.96), (-72.27, -70.86)]]",0
"[[(47808823.21, 47968393.85), (32.0, 32.55), (-106.35, -105.08)]]",0
"[[(47650560.56, 47886297.09), (37.11, 37.89), (-104.32, -102.33)]]",0
"[[(44901560.33, 44928122.26), (41.93, 42.66), (-101.51, -99.68)]]",0
"[[(41997969.29, 42236303.64), (31.22, 32.03), (-122.16, -121.07)]]",0
"[[(48701195.74, 48830189.47), (39.31, 39.88), (-94.73, -93.69)]]",0
"[[(44912084.35, 44959232.18), (47.88, 48.5), (-17.98, -16.22)]]",0
"[[(46265513.05, 46271152.05), (41.46, 42.2), (-4.14, -2.22)]]",0
"[[(42044147.12, 42227983.46), (36.32, 37.1), (3.26, 5.74)]]",0
"[[(41798393.48, 42042167.32), (33.78, 34.74), (-79.71, -78.26)]]",0
"[[(52448260.57, 52498332.14), (34.05, 35.02), (-119.45, -117.2)]]",0
"[[(42717006.44, 42962103.15), (38.27, 38.98), (-41.29, -38.97)]]",0
"[[(49830663.62, 50074902.79), (33.15, 34.06), (-119.56, -117.87)]]",0
"[[(48254736.93, 48452129.98), (38.07, 38.86), (-65.79, -63.93)]]",0
"[[(47412584.3, 47493649.17), (41.35, 41.91), (-80.14, -77.82)]]",0
"[[(43807425.13, 43916174.13), (37.98, 38.84), (-21.25, -19.97)]]",0
"[[(52505789.72, 52760805.48), (48.98, 49.38), (-91.67, -90.17)]]",0
"[[(52162342.85, 52208353.06), (34.68, 35.24), (-44.5, -42.44)]]",0
"[[(43961361.9, 44122525.41), (44.96, 45.47), (-64.95, -63.7)]]",0
"[[(41387184.95, 41443067.0), (31.01, 31.65), (-61.81, -60.43)]]",0
"[[(44719968.16, 44825551.35), (47.59, 48.43), (-95.91, -93.52)]]",0
"[[(42301159.47, 42366078.95), (32.5, 32.93), (-66.05, -64.89)]]",0
"[[(50977110.77, 51212141.28), (37.25, 37.74), (-77.65, -75.21)]]",0
"[[(52056066.69, 52195365.54), (44.62, 45.32), (-116.31, -114.0)]]",0
"[[(43642031.0, 43807474.81), (31.37, 31.81), (-66.63, -64.08)]]",0
"[[(51088507.32, 51106343.94), (45.6, 46.03), (-118.44, -116.8)]]",0
"[[(42704464.03, 42732403.18), (44.47, 45.47), (-79.77, -78.4)]]",0
"[[(53868890.93, 54087883.22), (45.93, 46.47), (-68.0, -65.53)]]",0
"[[(49124213.36, 49238115.31), (47.05, 47.48), (-5.3, -2.75)]]",0
"[[(41642121.9, 41800785.06), (33.74, 34.68), (-11.66, -10.26)]]",0
"[[(46224717.97, 46455196.75), (34.02, 34.88), (-22.34, -20.21)]]",0
"[[(45078293.02, 45267274.94), (41.33, 41.88), (-28.95, -26.71)]]",0
"[[(45082548.57, 45208832.47), (46.53, 46.96), (-17.73, -16.51)]]",0
"[[(43974289.33, 44116233.81), (41.92, 42.77), (-43.3, -41.07)]]",0
"[[(44091502.72, 44297296.23), (30.4, 30.95), (-112.87, -111.41)]]",0
"[[(43127246.96, 43282000.46), (39.09, 39.84), (-91.37, -90.0)]]",0
"[[(47677557.23, 47789597.95), (39.66, 40.22), (-8.07, -5.79)]]",0
"[[(51177304.33, 51351870.72), (36.79, 37.76), (-82.11, -80.35)]]",0
"[[(51127238.11, 51235584.75), (49.75, 50.381005442), (-103.17, -100.68)]]",0
"[[(53107891.76, 53306566.48), (48.15, 49.12), (-59.61, -58.03)]]",0
"[[(46462739.02, 46569781.18), (37.16, 37.9), (-13.68, -12.51)]]",0
"[[(52943746.9, 53168188.72), (46.3, 46.72), (-46.03, -44.89)]]",0
"[[(45968945.09, 46114178.35), (30.82, 31.33), (-77.36, -75.98)]]",0
"[[(42167946.58, 42332709.08), (30.3, 30.94), (-5.85, -4.67)]]",0
"[[(44317084.36, 44505471.99), (34.72, 35.68), (-117.84, -116.42)]]",0
"[[(41321202.95, 41399004.09), (44.76, 45.39), (-3.37, -0.85)]]",0
"[[(41848992.78, 41886240.83), (36.31, 36.78), (-80.78, -79.7)]]",0
"[[(45253296.41, 45303727.81), (33.17, 33.95), (-64.07, -62.52)]]",0
"[[(51262772.55, 51516041.15), (43.66, 44.3), (-87.94, -85.78)]]",0
"[[(41200034.54, 41289211.43), (37.06, 37.76), (-112.05, -110.02)]]",0
"[[(45468578.9, 45677972.34), (43.7, 44.52), (-21.04, -19.87)]]",0
"[[(46587600.55, 46713879.33), (36.04, 36.99), (-40.77, -38.73)]]",0
"[[(50967096.69, 51210099.47), (31.51, 32.2), (-58.07, -55.9)]]",0
"[[(47033056.82, 47126477.09), (40.63, 41.4), (-116.56, -114.06)]]",0
"[[(53023194.44, 53132735.32), (31.49, 32.34), (-79.33, -78.1)]]",0
"[[(51278392.55, 51345865.05), (34.48, 35.07), (-36.43, -34.05)]]",0
"[[(45718776.96, 45913825.2), (47.66, 48.32), (-74.55, -73.17)]]",0
"[[(50844304.53, 50863829.83), (40.3, 41.3), (1.03, 2.73)]]",0
"[[(41622153.82, 41731305.85), (43.74, 44.17), (-97.82, -95.47)]]",0
"[[(51869470.91, 52052112.08), (44.84, 45.47), (-81.53, -79.21)]]",0
"[[(41588065.9, 41654093.22), (49.7, 50.381005442), (-86.12, -84.48)]]",0
"[[(48129205.26, 48363596.97), (38.68, 39.39), (-6.52, -4.81)]]",0
"[[(42875686.29, 42995847.44), (44.28, 44.9), (-3.61, -2.2)]]",0
"[[(47229132.48, 47383387.34), (43.5, 44.01), (-49.26, -47.45)]]",0
"[[(50936751.58, 51161224.31), (47.27, 48.2), (-112.37, -110.06)]]",0
"[[(49976705.19, 50058828.91), (43.82, 44.24), (-49.63, -47.72)]]",0
"[[(43504547.24, 43715181.82), (31.89, 32.53), (-92.36, -90.96)]]",0
"[[(42651742.89, 42741065.92), (44.09, 44.58), (-90.73, -88.43)]]",0
"[[(49261716.87, 49307844.47), (48.27, 49.18), (-74.6, -73.46)]]",0
"[[(42741705.64, 42972299.89), (42.96, 43.38), (-114.15, -112.29)]]",0
