SRC Query,Depth,BBoxes,Data Size
"[[(43557730.08, 44660981.39), (41.44, 42.72), (-111.63, -107.31)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43090254.46, 43154980.66), (43.19, 44.27), (-66.11, -63.32)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(51031186.49, 51437524.96), (41.96, 43.71), (-39.03, -35.32)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(41646131.17, 41709532.1), (44.97, 46.91), (-101.39, -97.35)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44684065.63, 45730942.09), (46.79, 48.09), (-86.34, -82.14)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47710898.94, 47775725.75), (30.75, 32.53), (-55.96, -48.37)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(50311631.51, 51479377.74), (47.53, 48.97), (-120.44, -117.45)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(52009760.04, 53175195.73), (34.51, 36.21), (-33.58, -24.22)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(50406647.56, 50862553.05), (38.56, 40.49), (-18.41, -6.25)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43941813.77, 44471719.05), (46.4, 47.6), (-65.23, -61.9)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45018162.19, 45027326.46), (40.49, 41.49), (-39.39, -26.97)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47559353.94, 48360777.1), (47.47, 48.79), (-47.11, -37.59)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(51641512.65, 52700791.14), (40.3, 42.25), (-49.09, -42.45)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(48032520.05, 48935188.85), (43.24, 44.64), (-79.64, -72.45)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43259823.57, 43574807.63), (38.06, 39.2), (-52.77, -42.68)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(51239787.19, 51961720.32), (42.83, 44.22), (-82.51, -79.37)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(50153387.48, 50892876.52), (33.4, 34.96), (-84.36, -80.45)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(51658539.83, 52661695.33), (40.1, 41.81), (-80.98, -77.26)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(51054000.06, 51201000.04), (32.42, 34.38), (-105.76, -99.84)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(46547469.27, 46869407.93), (38.31, 40.21), (-19.95, -17.77)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45306081.53, 46483696.99), (44.93, 46.44), (-65.41, -54.18)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47292927.2, 48558172.02), (46.97, 48.69), (-31.07, -24.23)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(44121548.76, 44170091.86), (31.24, 32.36), (-114.95, -104.89)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(46030208.33, 47252038.18), (32.18, 33.75), (-109.43, -98.87)]]",2,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], (-122.4271774292, 6.740224373)]",249
"[[(44331905.56, 45012412.67), (34.19, 35.39), (-58.13, -47.86)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(50217385.27, 50584496.16), (39.08, 40.47), (-61.78, -58.28)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(52770748.89, 53885213.56), (45.17, 46.39), (-110.19, -98.67)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(44571065.09, 45716195.74), (42.31, 44.24), (-113.71, -102.79)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(52811037.12, 54046985.49), (39.3, 41.04), (-92.39, -86.55)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(43071252.69, 43834435.95), (48.17, 49.62), (-107.17, -101.27)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45824643.43, 46053604.89), (39.66, 41.5), (-66.97, -62.11)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49219408.1, 49910656.13), (35.86, 37.46), (-40.11, -36.97)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46948057.4, 47750991.3), (37.11, 39.06), (-78.27, -68.28)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
