,L2 Norm
0,0.04914712606043208
1,0.04753356708684932
2,0.031395257957567826
3,0.02952016260117823
4,0.019168724527208397
5,0.022128312683578524
6,0.012898789691680552
7,0.013585470179570522
8,0.015324731886966498
9,0.01664451861725056
10,0.015193582812414131
11,0.01357063823931
12,0.014925725379575648
13,0.010898942094327816
14,0.012189977668378064
15,0.017134650565447784
16,0.016222305119526124
17,0.01625135891753875
18,0.019403703561726476
19,0.018415754125204856
20,0.018999047595177232
21,0.017128160563747656
22,0.014979744357658241
23,0.01149618294140375
24,0.009834632682515386
25,0.006738285912709515
26,0.009698313459082286
27,0.007677239087067662
28,0.008200014500726669
29,0.007499333303701068
30,0.007599348238661338
31,0.006167150881890282
32,0.0066712215844501686
33,0.005432874429569805
34,0.005689517751523228
35,0.004366878705623685
36,0.0042785892283841
37,0.005017929073668306
38,0.0011638427361675445
39,0.003494996423460209
40,0.002197104795509514
41,0.0014293965870865104
42,0.0018547236990991364
43,0.0008343850113151886
44,0.002061522869921607
45,0.0016848934044915156
46,0.0022898757628977114
47,0.002916499995237758
48,0.002607412622330861
49,0.0027276363393971556
50,0.0022002271736192183
51,0.0012483361707754325
52,0.002220888567807001
53,0.0024633834227576375
54,0.0015583419881611531
55,0.0013734731782705718
56,0.000889831756017172
57,0.0010910074542185865
58,0.0006098492568320398
59,0.0006377042156570155
60,0.0003263242304201623
61,0.0014970800577362667
62,0.0012782814742211119
63,0.0015689118442410704
64,0.002207786114329754
65,0.0007029780544848067
66,0.0011799694541281217
67,0.0007971836238306709
68,0.0011821894681768876
69,0.0017874848365276791
70,0.0016574921723879808
71,0.0009907909298468049
72,0.0010184781806529338
73,0.0021200906853821215
74,0.0016357125528513863
75,0.0023942104684661803
76,0.00339822659692494
77,0.003219785970565853
78,0.00248672295584471
79,0.00165340557637863
80,0.0021092635045499722
81,0.0020520647311710605
82,0.002536943181936865
83,0.0022251601893977808
84,0.0015816420883062489
85,0.0008091419247622111
86,0.0009276481626961525
87,0.000772673794940963
88,0.00016825444087488988
89,0.00024944382578490933
90,0.0013634630607143236
91,0.0016281200960797746
92,0.000713946106274071
93,0.001167106127755746
94,0.000796529869995468
95,0.0003318717958623505
96,0.00025146187527281595
97,0.0002853058304865487
98,0.00027909513152245263
99,0.0
